Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва													
Дата голосования: 07.12.2003 0:00:00													
													
Наименование Избирательной комиссии:    Тугуро-Чумиканская													
													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)													
													
		Сумма	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724					
1	"Число избирателей, внесенных в списки"	1803	323	86	907	86	69	332					
2	"Число бюллетеней, полученных участковыми комиссиями"	1809	330	85	915	86	68	325					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	13	0	0	13	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	838	173	50	379	51	46	139					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	69	5	0	46	0	0	18					
6	Число погашенных бюллетеней	889	152	35	477	35	22	168					
7	Число бюллетеней в переносных ящиках для голосования	82	5	0	59	0	0	18					
8	Число бюллетеней в стационарных ящиках для голосования	838	173	50	379	51	46	139					
9	Число недействительных бюллетеней	14	2	2	3	1	2	4					
10	Число действительных бюллетеней	906	176	48	435	50	44	153					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	65	15	5	20	5	5	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	24	3	0	18	2	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	15	1	2	5	2	2	3					
14	Число погашенных открепительных удостоверений	41	12	5	2	3	5	14					
15	Число открепительных удостоверений выданных ТИК	3	0	0	3	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0					
													
18	"1. ""ЕДИНЕНИЕ"""	24	4	4	7	2	1	6					
		2.60%	2.24%	8.0%	1.59%	3.92%	2.17%	3.82%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	21	5	0	8	0	2	6					
		2.28%	2.80%	0.0%	1.82%	0.0%	4.34%	3.82%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	50	8	3	21	3	1	14					
		5.43%	4.49%	6.0%	4.79%	5.88%	2.17%	8.91%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	29	5	0	12	0	1	11					
		3.15%	2.80%	0.0%	2.73%	0.0%	2.17%	7.00%					
22	"5. ""За Русь Святую"""	4	2	0	1	1	0	0					
		0.43%	1.12%	0.0%	0.22%	1.96%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	8	3	0	3	0	0	2					
		0.86%	1.68%	0.0%	0.68%	0.0%	0.0%	1.27%					
24	"7. ""Новый курс - Автомобильная Россия"""	1	0	0	1	0	0	0					
		0.10%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	5	1	0	0	0	1	3					
		0.54%	0.56%	0.0%	0.0%	0.0%	2.17%	1.91%					
26	"9. ""Российская экологическая партия ""Зеленые"""	5	0	3	2	0	0	0					
		0.54%	0.0%	6.0%	0.45%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	20	3	1	10	0	1	5					
		2.17%	1.68%	2.0%	2.28%	0.0%	2.17%	3.18%					
28	"11. ""Истинные патриоты России"""	2	0	0	2	0	0	0					
		0.21%	0.0%	0.0%	0.45%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	8	0	0	4	0	2	2					
		0.86%	0.0%	0.0%	0.91%	0.0%	4.34%	1.27%					
30	"13. ""Демократическая партия России"""	1	0	0	1	0	0	0					
		0.10%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	1	0	0	0	0	0	1					
		0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.63%					
32	"15. ""Партия СЛОН"""	2	1	0	1	0	0	0					
		0.21%	0.56%	0.0%	0.22%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	37	4	0	25	1	3	4					
		4.02%	2.24%	0.0%	5.70%	1.96%	6.52%	2.54%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	2	0	0	1	1	0	0					
		0.21%	0.0%	0.0%	0.22%	1.96%	0.0%	0.0%					
35	"18. ""ЛДПР"""	109	43	0	49	5	1	11					
		11.84%	24.15%	0.0%	11.18%	9.80%	2.17%	7.00%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	6	1	0	3	1	0	1					
		0.65%	0.56%	0.0%	0.68%	1.96%	0.0%	0.63%					
37	"20. ""Политическая партия ""Единая Россия"""	451	74	22	237	34	25	59					
		49.02%	41.57%	44.0%	54.10%	66.66%	54.34%	37.57%					
38	"21. ""Российская Конституционно-демократическая партия"""	1	1	0	0	0	0	0					
		0.10%	0.56%	0.0%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	2	1	0	1	0	0	0					
		0.21%	0.56%	0.0%	0.22%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	59	10	5	23	0	2	19					
		6.41%	5.61%	10.0%	5.25%	0.0%	4.34%	12.10%					
													
41	Против всех	58	10	10	23	2	4	9					
		6.30%	5.61%	20.0%	5.25%	3.92%	8.69%	5.73%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
