Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																									
Дата голосования: 07.12.2003 0:00:00																																									
																																									
Наименование Избирательной комиссии:    Щербинская городская																																									
																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																									
																																									
		Сумма	УИК №3169	УИК №3170	УИК №3171	УИК №3172	УИК №3173	УИК №3174	УИК №3175	УИК №3176	УИК №3177	УИК №3178	УИК  5009	УИК  5010	УИК  5011	УИК  5012	УИК  5030	УИК  5041	УИК  5043	УИК  5044	УИК  5045	УИК  5046	УИК  5047	УИК  5053	УИК  5058	УИК  5059	УИК  5060	УИК  5062	УИК  5063	УИК  5076	УИК  5077	УИК  5078	УИК  5144	УИК  5246	УИК  5247	УИК  5248					
1	"Число избирателей, внесенных в списки"	26560	2427	2470	2191	2225	2425	2075	2355	1958	2153	2621	572	107	654	179	183	91	38	100	73	233	37	73	49	19	69	25	565	19	403	46	47	154	243	335					
2	"Число бюллетеней, полученных участковыми комиссиями"	64370	2400	2400	2100	2200	2400	2000	2300	1900	2100	2600	900	150	650	400	200	100	45	139	190	360	50	300	48	25	150	25	503	30	1000	200	150	27005	7000	3000					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	410	0	0	0	0	0	0	0	0	0	0	200	0	389	0	37	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	14225	1179	1277	1150	1146	1241	1070	1215	834	1209	1395	216	77	201	179	60	50	33	99	73	48	21	73	31	15	69	25	208	18	403	46	45	154	242	324					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	200	10	11	12	41	11	9	12	23	20	14	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	11					
6	Число погашенных бюллетеней	49531	1211	1112	938	1013	1148	921	1073	1039	871	1191	484	73	60	221	103	26	12	40	117	312	29	227	17	10	81	0	122	12	597	154	104	26851	6757	2665					
7	Число бюллетеней в переносных ящиках для голосования	573	10	11	12	41	11	9	12	23	20	14	200	0	388	0	0	24	0	0	0	0	0	0	0	0	0	0	173	0	0	0	1	0	1	11					
8	Число бюллетеней в стационарных ящиках для голосования	14217	1163	1257	1150	1141	1241	1070	1215	834	1209	1392	216	77	201	178	97	50	33	99	73	48	21	73	31	15	69	25	208	18	403	46	45	154	242	324					
9	Число недействительных бюллетеней	281	13	31	40	36	26	6	35	31	22	19	0	2	4	2	2	0	0	0	1	1	0	0	0	0	0	0	3	0	0	2	0	3	4	2					
10	Число действительных бюллетеней	14509	1160	1237	1122	1146	1226	1073	1192	826	1207	1387	416	75	585	176	95	74	33	99	72	47	21	73	31	15	69	25	378	18	403	44	46	151	239	333					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	980	80	80	80	80	80	80	80	80	80	80	4	0	25	0	0	3	5	0	5	5	5	0	5	3	5	5	25	5	0	0	5	35	35	30					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	170	3	8	12	13	21	11	13	12	35	32	0	0	4	0	5	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	67	5	2	2	8	7	4	9	7	6	7	4	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0					
14	Число погашенных открепительных удостоверений	822	77	72	68	67	59	69	67	68	45	48	6	0	21	0	0	3	2	5	5	5	5	0	5	3	5	5	25	4	0	0	4	35	35	30					
15	Число открепительных удостоверений выданных ТИК	9	1	0	0	1	2	0	0	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	4	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																									
18	"1. ""ЕДИНЕНИЕ"""	144	9	14	17	9	8	11	10	6	11	8	7	1	2	2	1	1	0	0	0	1	0	1	0	0	7	0	2	0	1	0	0	2	3	12					
		0.97%	0.76%	1.10%	1.46%	0.76%	0.63%	1.01%	0.81%	0.70%	0.89%	0.56%	1.68%	1.29%	0.33%	1.12%	1.03%	1.35%	0.0%	0.0%	0.0%	2.08%	0.0%	1.36%	0.0%	0.0%	10.14%	0.0%	0.52%	0.0%	0.24%	0.0%	0.0%	1.29%	1.23%	3.58%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	660	44	52	50	51	77	47	44	39	55	70	9	5	25	12	7	4	1	6	6	6	0	3	0	0	0	2	24	3	19	0	5	3	8	8					
		4.46%	3.75%	4.10%	4.30%	4.31%	6.15%	4.35%	3.58%	4.55%	4.47%	4.97%	2.16%	6.49%	4.24%	6.74%	7.21%	5.40%	3.03%	6.06%	8.21%	12.5%	0.0%	4.10%	0.0%	0.0%	0.0%	8.0%	6.29%	16.66%	4.71%	0.0%	10.86%	1.94%	3.29%	2.38%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	374	35	28	40	33	33	28	37	28	28	37	9	1	20	0	1	2	2	0	0	1	0	4	0	0	1	0	0	0	5	0	0	5	7	9					
		2.52%	2.98%	2.20%	3.44%	2.79%	2.63%	2.59%	3.01%	3.26%	2.27%	2.63%	2.16%	1.29%	3.39%	0.0%	1.03%	2.70%	6.06%	0.0%	0.0%	2.08%	0.0%	5.47%	0.0%	0.0%	1.44%	0.0%	0.0%	0.0%	1.24%	0.0%	0.0%	3.24%	2.88%	2.68%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	843	79	81	59	73	88	66	57	57	44	84	22	2	38	13	7	5	1	4	8	5	1	6	0	2	6	2	15	0	32	0	3	2	9	10					
		5.69%	6.73%	6.38%	5.07%	6.17%	7.02%	6.11%	4.64%	6.65%	3.58%	5.97%	5.28%	2.59%	6.45%	7.30%	7.21%	6.75%	3.03%	4.04%	10.95%	10.41%	4.76%	8.21%	0.0%	13.33%	8.69%	8.0%	3.93%	0.0%	7.94%	0.0%	6.52%	1.29%	3.70%	2.98%					
22	"5. ""За Русь Святую"""	90	5	6	3	12	9	6	7	0	11	14	2	0	0	3	0	1	0	0	0	0	0	0	0	0	2	0	1	0	6	0	0	0	1	1					
		0.60%	0.42%	0.47%	0.25%	1.01%	0.71%	0.55%	0.57%	0.0%	0.89%	0.99%	0.48%	0.0%	0.0%	1.68%	0.0%	1.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.89%	0.0%	0.26%	0.0%	1.48%	0.0%	0.0%	0.0%	0.41%	0.29%					
23	"6. ""Объединенная Российская партия ""Русь"""	41	6	3	1	1	2	2	2	2	7	6	2	0	3	3	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1					
		0.27%	0.51%	0.23%	0.08%	0.08%	0.15%	0.18%	0.16%	0.23%	0.56%	0.42%	0.48%	0.0%	0.50%	1.68%	0.0%	0.0%	0.0%	0.0%	1.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%					
24	"7. ""Новый курс - Автомобильная Россия"""	241	16	26	14	24	24	23	13	23	27	20	6	1	15	4	0	1	0	2	1	0	0	1	0	0	2	0	7	0	4	0	0	0	0	2					
		1.62%	1.36%	2.05%	1.20%	2.03%	1.91%	2.13%	1.05%	2.68%	2.19%	1.42%	1.44%	1.29%	2.54%	2.24%	0.0%	1.35%	0.0%	2.02%	1.36%	0.0%	0.0%	1.36%	0.0%	0.0%	2.89%	0.0%	1.83%	0.0%	0.99%	0.0%	0.0%	0.0%	0.0%	0.59%					
25	"8. ""Народно-республиканская партия России"""	10	1	1	1	2	2	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.06%	0.08%	0.07%	0.08%	0.16%	0.15%	0.0%	0.08%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	1.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	112	5	9	16	6	10	4	5	2	9	9	3	0	4	3	7	1	0	5	3	0	0	2	1	2	0	0	4	0	3	1	1	1	0	0					
		0.75%	0.42%	0.70%	1.37%	0.50%	0.79%	0.37%	0.40%	0.23%	0.73%	0.64%	0.72%	0.0%	0.67%	1.68%	7.21%	1.35%	0.0%	5.05%	4.10%	0.0%	0.0%	2.73%	3.22%	13.33%	0.0%	0.0%	1.04%	0.0%	0.74%	2.17%	2.17%	0.64%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	281	24	36	17	24	27	36	23	20	18	26	1	0	21	4	0	1	0	1	0	0	1	1	0	0	1	0	1	0	4	0	0	3	4	8					
		1.89%	2.04%	2.83%	1.46%	2.03%	2.15%	3.33%	1.87%	2.33%	1.46%	1.84%	0.24%	0.0%	3.56%	2.24%	0.0%	1.35%	0.0%	1.01%	0.0%	0.0%	4.76%	1.36%	0.0%	0.0%	1.44%	0.0%	0.26%	0.0%	0.99%	0.0%	0.0%	1.94%	1.64%	2.38%					
28	"11. ""Истинные патриоты России"""	16	1	1	2	0	2	0	0	0	0	0	0	0	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	1	0					
		0.10%	0.08%	0.07%	0.17%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.03%	0.0%	1.03%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.73%	0.0%	2.17%	0.0%	0.41%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	155	9	8	18	5	15	10	17	10	19	25	4	0	1	1	0	3	0	0	0	1	1	0	0	0	0	0	2	0	1	0	0	3	2	1					
		1.04%	0.76%	0.63%	1.54%	0.42%	1.19%	0.92%	1.38%	1.16%	1.54%	1.77%	0.96%	0.0%	0.16%	0.56%	0.0%	4.05%	0.0%	0.0%	0.0%	2.08%	4.76%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%	0.0%	0.24%	0.0%	0.0%	1.94%	0.82%	0.29%					
30	"13. ""Демократическая партия России"""	36	3	5	1	2	2	2	2	3	2	2	2	1	1	0	2	0	0	0	1	0	0	0	0	0	2	1	1	1	0	0	0	0	0	1					
		0.24%	0.25%	0.39%	0.08%	0.16%	0.15%	0.18%	0.16%	0.35%	0.16%	0.14%	0.48%	1.29%	0.16%	0.0%	2.06%	0.0%	0.0%	0.0%	1.36%	0.0%	0.0%	0.0%	0.0%	0.0%	2.89%	4.0%	0.26%	5.55%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%					
31	"14. ""Великая Россия - Евразийский Союз"""	24	1	3	0	2	0	2	3	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	4	2					
		0.16%	0.08%	0.23%	0.0%	0.16%	0.0%	0.18%	0.24%	0.0%	0.08%	0.0%	0.0%	0.0%	0.16%	0.56%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.04%	0.0%	0.24%	0.0%	0.0%	0.0%	1.64%	0.59%					
32	"15. ""Партия СЛОН"""	29	1	2	3	2	2	2	2	1	4	1	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0					
		0.19%	0.08%	0.15%	0.25%	0.16%	0.15%	0.18%	0.16%	0.11%	0.32%	0.07%	0.0%	0.0%	0.0%	1.68%	0.0%	1.35%	3.03%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.49%	0.0%	0.0%	0.0%	0.41%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	2853	228	230	226	206	224	236	234	231	290	341	50	0	84	22	10	2	12	14	9	3	1	13	7	0	5	3	44	7	90	5	9	23	34	44					
		19.29%	19.43%	18.13%	19.44%	17.42%	17.89%	21.87%	19.07%	26.95%	23.59%	24.25%	12.01%	0.0%	14.26%	12.35%	10.30%	2.70%	36.36%	14.14%	12.32%	6.25%	4.76%	17.80%	22.58%	0.0%	7.24%	12.0%	11.54%	38.88%	22.33%	10.86%	19.56%	14.93%	13.99%	13.13%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	27	3	0	2	1	2	5	3	0	3	4	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1					
		0.18%	0.25%	0.0%	0.17%	0.08%	0.15%	0.46%	0.24%	0.0%	0.24%	0.28%	0.24%	0.0%	0.33%	0.0%	1.03%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.17%	0.0%	0.0%	0.29%					
35	"18. ""ЛДПР"""	1315	125	160	117	121	102	85	106	69	145	119	15	6	42	11	3	1	0	1	3	4	3	0	0	0	3	0	44	0	13	0	2	10	22	25					
		8.89%	10.65%	12.61%	10.06%	10.23%	8.14%	7.87%	8.63%	8.05%	11.79%	8.46%	3.60%	7.79%	7.13%	6.17%	3.09%	1.35%	0.0%	1.01%	4.10%	8.33%	14.28%	0.0%	0.0%	0.0%	4.34%	0.0%	11.54%	0.0%	3.22%	0.0%	4.34%	6.49%	9.05%	7.46%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	233	16	18	12	20	25	10	18	9	14	14	7	0	5	4	1	0	1	0	2	0	0	3	0	0	1	0	6	0	8	17	0	7	9	11					
		1.57%	1.36%	1.41%	1.03%	1.69%	1.99%	0.92%	1.46%	1.05%	1.13%	0.99%	1.68%	0.0%	0.84%	2.24%	1.03%	0.0%	3.03%	0.0%	2.73%	0.0%	0.0%	4.10%	0.0%	0.0%	1.44%	0.0%	1.57%	0.0%	1.98%	36.95%	0.0%	4.54%	3.70%	3.28%					
37	"20. ""Политическая партия ""Единая Россия"""	4656	392	359	365	384	364	314	405	197	318	388	194	52	200	51	35	44	10	32	19	12	14	13	18	11	24	11	151	5	130	15	20	60	87	162					
		31.48%	33.41%	28.31%	31.41%	32.48%	29.07%	29.10%	33.00%	22.98%	25.87%	27.59%	46.63%	67.53%	33.95%	28.65%	36.08%	59.45%	30.30%	32.32%	26.02%	25.0%	66.66%	17.80%	58.06%	73.33%	34.78%	44.0%	39.63%	27.77%	32.25%	32.60%	43.47%	38.96%	35.80%	48.35%					
38	"21. ""Российская Конституционно-демократическая партия"""	24	0	3	1	0	2	1	2	1	3	0	2	1	2	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	3	1					
		0.16%	0.0%	0.23%	0.08%	0.0%	0.15%	0.09%	0.16%	0.11%	0.24%	0.0%	0.48%	1.29%	0.33%	0.56%	1.03%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	1.23%	0.29%					
39	"22. ""Развитие предпринимательства"""	44	2	7	1	2	3	1	4	2	5	3	1	1	1	2	0	0	1	1	1	1	0	0	1	0	1	0	2	0	2	0	0	0	0	0					
		0.29%	0.17%	0.55%	0.08%	0.16%	0.23%	0.09%	0.32%	0.23%	0.40%	0.21%	0.24%	1.29%	0.16%	1.12%	0.0%	0.0%	3.03%	1.01%	1.36%	2.08%	0.0%	0.0%	3.22%	0.0%	1.44%	0.0%	0.52%	0.0%	0.49%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1360	92	103	81	93	110	130	126	78	119	108	41	1	52	12	8	4	0	15	12	12	0	10	1	0	13	1	37	1	40	5	1	31	44	31					
		9.19%	7.84%	8.12%	6.97%	7.86%	8.78%	12.04%	10.26%	9.10%	9.68%	7.68%	9.85%	1.29%	8.82%	6.74%	8.24%	5.40%	0.0%	15.15%	16.43%	25.0%	0.0%	13.69%	3.22%	0.0%	18.84%	4.0%	9.71%	5.55%	9.92%	10.86%	2.17%	20.12%	18.10%	9.25%					
																																									
41	Против всех	941	63	82	75	73	93	52	71	48	74	108	37	3	54	24	10	2	4	18	6	1	0	16	2	0	1	5	30	1	34	1	3	1	0	3					
		6.36%	5.37%	6.46%	6.45%	6.17%	7.42%	4.81%	5.78%	5.60%	6.02%	7.68%	8.89%	3.89%	9.16%	13.48%	10.30%	2.70%	12.12%	18.18%	8.21%	2.08%	0.0%	21.91%	6.45%	0.0%	1.44%	20.0%	7.87%	5.55%	8.43%	2.17%	6.52%	0.64%	0.0%	0.89%					
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
