Выборы Президента Российской Федерации																																						
																																						
Наименование Избирательной комиссии:    Бузулукская городская																																						
																																						
Итоги голосования 																																						
																																						
		Сумма	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387					
1	"Число избирателей, внесенных в список"	64542	1557	2175	240	2946	2601	2627	2871	1208	2289	1511	1444	2061	2330	1600	1464	2536	2534	1813	1199	2062	2387	2668	2518	2392	2407	2354	2808	2063	2831	2736	310					
2	Число полученных избирательных бюллетеней	63146	1500	2150	242	2900	2600	2550	2650	1150	2200	1500	1400	2000	2300	1550	1450	2550	2500	1750	1150	2000	2350	2600	2450	2400	2350	2300	2800	2050	2750	2700	304					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	36072	768	1299	234	1659	1361	1378	1556	593	1267	906	759	1108	1387	930	749	1322	1386	1091	560	1104	1325	1534	1324	1451	1377	1318	1698	1220	1646	1578	184					
5	"Число избирательных бюллетеней, выданных вне помещения"	2473	166	35	0	110	101	151	207	68	98	65	64	82	138	74	87	91	38	64	45	41	167	76	98	37	76	53	30	19	112	57	23					
6	Число погашенных избирательных бюллетеней	24601	566	816	8	1131	1138	1021	887	489	835	529	577	810	775	546	614	1137	1076	595	545	855	858	990	1028	912	897	929	1072	811	992	1065	97					
7	Число избирательных бюллетеней в переносных ящиках	2473	166	35	0	110	101	151	207	68	98	65	64	82	138	74	87	91	38	64	45	41	167	76	98	37	76	53	30	19	112	57	23					
8	Число бюллетеней в стационарных ящиках для голосования	36005	768	1297	234	1659	1361	1378	1556	593	1266	906	759	1108	1387	930	749	1322	1386	1027	560	1104	1325	1534	1324	1451	1377	1318	1698	1220	1646	1578	184					
9	Число недействительных избирательных бюллетеней	276	4	10	0	15	16	12	11	6	9	9	11	10	13	0	8	1	6	8	10	13	7	18	11	9	5	13	6	9	10	13	3					
10	Число действительных избирательных бюллетеней	38202	930	1322	234	1754	1446	1517	1752	655	1355	962	812	1180	1512	1004	828	1412	1418	1083	595	1132	1485	1592	1411	1479	1448	1358	1722	1230	1748	1622	204					
11	Число полученных открепительных  удостоверений	696	17	23	3	25	25	28	25	20	25	20	20	25	25	20	20	25	25	25	20	25	25	25	25	25	25	25	25	25	25	25	5					
12	Число выданных открепительных удостоверений	358	7	19	0	17	23	8	14	6	10	8	9	6	13	8	1	19	21	19	3	8	6	16	10	15	10	8	12	19	17	24	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	265	10	7	0	12	11	3	19	2	17	10	14	10	17	2	2	9	12	4	2	2	8	9	25	6	3	11	10	6	6	13	3					
14	Число неиспользованных открепительных удостоверений	338	10	4	3	8	2	20	11	14	15	12	11	19	12	12	19	6	4	6	17	17	19	9	15	10	15	17	13	6	8	1	3					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																						
18	. Глазьев Сергей Юрьевич	1923	38	64	5	70	60	69	84	27	91	57	42	63	80	40	50	83	66	32	28	48	68	71	59	75	100	55	128	72	87	98	13					
		5.00%	4.07%	4.80%	2.14%	3.96%	4.10%	4.51%	4.76%	4.08%	6.67%	5.87%	5.10%	5.29%	5.25%	3.98%	5.98%	5.87%	4.63%	2.93%	4.63%	4.19%	4.56%	4.41%	4.15%	5.04%	6.88%	4.01%	7.41%	5.81%	4.95%	5.99%	6.28%					
19	. Малышкин Олег Александрович	1352	38	66	1	74	58	60	70	31	44	26	32	54	42	28	35	42	54	42	27	52	52	67	43	37	42	41	52	37	55	44	6					
		3.51%	4.07%	4.95%	0.43%	4.18%	3.97%	3.92%	3.97%	4.69%	3.23%	2.68%	3.89%	4.54%	2.75%	2.79%	4.19%	2.97%	3.79%	3.85%	4.46%	4.54%	3.49%	4.16%	3.02%	2.49%	2.89%	2.99%	3.01%	2.99%	3.13%	2.69%	2.90%					
20	. Миронов Сергей Михайлович	331	8	9	5	16	9	14	13	3	16	5	11	6	14	4	11	8	12	8	11	11	12	12	9	9	19	15	8	13	19	19	2					
		0.86%	0.86%	0.68%	2.14%	0.90%	0.62%	0.92%	0.74%	0.45%	1.17%	0.51%	1.34%	0.50%	0.92%	0.40%	1.32%	0.57%	0.84%	0.73%	1.82%	0.96%	0.80%	0.75%	0.63%	0.60%	1.31%	1.09%	0.46%	1.05%	1.08%	1.16%	0.97%					
21	. Путин Владимир Владимирович	21599	487	691	177	1017	774	805	1028	389	729	584	469	686	868	613	490	759	810	702	362	634	816	860	853	817	778	780	997	709	953	831	131					
		56.13%	52.14%	51.88%	75.64%	57.49%	52.94%	52.65%	58.31%	58.85%	53.45%	60.14%	56.99%	57.65%	56.92%	61.06%	58.61%	53.72%	56.88%	64.34%	59.83%	55.37%	54.69%	53.42%	59.99%	54.91%	53.54%	56.89%	57.70%	57.22%	54.21%	50.83%	63.29%					
22	. Хакамада Ирина Муцуовна	1292	25	42	3	39	48	67	62	14	48	30	26	46	43	34	15	56	45	20	14	33	39	59	53	61	43	54	70	51	65	82	5					
		3.36%	2.68%	3.15%	1.28%	2.20%	3.28%	4.38%	3.52%	2.12%	3.52%	3.09%	3.16%	3.87%	2.82%	3.39%	1.79%	3.96%	3.16%	1.83%	2.31%	2.88%	2.61%	3.66%	3.73%	4.10%	2.96%	3.94%	4.05%	4.12%	3.70%	5.02%	2.42%					
23	. Харитонов Николай Михайлович	10303	294	402	31	488	445	457	425	171	385	230	202	288	413	241	201	422	352	232	136	318	461	463	344	431	414	353	393	284	505	477	45					
