Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Калязинская																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №1194									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16801	1839	1556	2081	2050	2223	1118	419	264	227	205	234	170	375	304	836	167	292	136	165	382	147	280	215	355	125	136	342	158									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15339	1650	1400	1850	1850	2000	950	400	250	200	200	200	170	350	280	800	170	280	130	150	350	150	270	200	350	120	130	330	159									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6536	752	591	843	816	849	435	145	136	92	80	75	48	93	108	289	79	122	68	66	149	52	113	68	110	35	65	101	156									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	972	24	20	11	12	33	29	48	17	30	22	43	44	71	32	62	11	38	21	31	82	20	39	31	63	22	51	65	0									
6	Число погашенных избирательных бюллетеней	7831	874	789	996	1022	1118	486	207	97	78	98	82	78	186	140	449	80	120	41	53	119	78	118	101	177	63	14	164	3									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	972	24	20	11	12	33	29	48	17	30	22	43	44	71	32	62	11	38	21	31	82	20	39	31	63	22	51	65	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6532	752	591	842	816	849	435	145	136	92	80	75	48	93	108	287	79	122	68	66	149	52	113	68	110	35	65	100	156									
9	Число недействительных избирательных бюллетеней	245	18	26	35	11	34	24	6	6	5	2	3	0	9	6	18	0	6	6	4	10	3	1	2	4	2	2	1	1									
10	Число действительных избирательных бюллетеней	7259	758	585	818	817	848	440	187	147	117	100	115	92	155	134	331	90	154	83	93	221	69	151	97	169	55	114	164	155									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	409	36	35	35	35	35	8	15	15	15	10	10	10	10	10	34	10	10	5	5	10	8	7	5	13	5	10	8	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	218	17	16	5	15	7	1	15	15	4	10	0	10	0	0	25	10	10	3	5	3	8	7	1	13	0	10	8	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	197	13	12	14	19	10	8	7	2	5	8	3	3	8	8	27	4	6	4	6	6	5	3	4	2	2	4	4	0									
14	Число погашенных неиспользованных открепительных удостоверений	191	19	19	30	20	28	7	0	0	11	0	10	0	10	10	9	0	0	2	0	7	0	0	4	0	5	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	74	13	8	5	16	12	3	1	0	0	0	0	1	0	5	2	0	0	1	1	1	0	0	0	1	0	0	4	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	109	17	6	8	12	5	17	3	2	3	2	1	1	6	2	4	1	0	1	4	2	1	3	1	2	0	1	2	2									
