Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Кармаскалинская																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №2269	УИК №2270	УИК №2271	УИК №2272	УИК №2273	УИК №2274	УИК №2275	УИК №2276	УИК №2277	УИК №2278	УИК №2279	УИК №2280	УИК №2281	УИК №2282	УИК №2283	УИК №2284	УИК №2285	УИК №2286	УИК №2287	УИК №2288	УИК №2289	УИК №2290	УИК №2291	УИК №2292	УИК №2293	УИК №2294	УИК №2295	УИК №2296	УИК №2297	УИК №2298	УИК №2299	УИК №2300	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	37929	523	275	1295	411	1060	1591	1002	899	866	448	212	457	1528	1844	256	327	151	2186	2130	1622	971	517	1294	673	216	176	821	679	285	1066	526	508	1876	2030	649	202	784	326	248	1045	247	448	208	635	288	788	622	718									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	38572	528	279	1302	414	1064	1616	1007	909	871	451	214	461	1553	1874	252	327	153	2192	2155	1628	980	633	1304	678	218	176	822	683	282	1100	604	517	1885	2049	667	205	807	343	251	1060	250	442	213	710	294	794	628	727									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	32199	433	235	1141	380	706	1494	965	815	814	416	191	427	1132	704	205	279	113	2079	1984	1498	897	383	1158	616	194	97	746	595	257	912	471	458	1699	1876	592	154	691	251	222	551	222	222	195	551	255	729	543	651									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1550	48	32	49	17	36	16	17	52	32	10	17	21	82	60	37	9	30	60	42	6	16	39	30	30	10	69	13	16	12	66	19	11	27	32	44	41	66	60	11	40	10	64	10	31	18	13	45	34									
6	Число погашенных избирательных бюллетеней	4823	47	12	112	17	322	106	25	42	25	25	6	13	339	1110	10	39	10	53	129	124	67	211	116	32	14	10	63	72	13	122	114	48	159	141	31	10	50	32	18	469	18	156	8	128	21	52	40	42									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1550	48	32	49	17	36	16	17	52	32	10	17	21	82	60	37	9	30	60	42	6	16	39	30	30	10	69	13	16	12	66	19	11	27	32	44	41	66	60	11	40	10	64	10	31	18	13	45	34									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	32130	433	235	1141	380	706	1494	965	815	814	416	191	427	1132	704	205	279	113	2019	1984	1498	897	383	1158	616	194	97	746	595	257	912	471	458	1699	1876	592	154	691	251	222	551	222	222	195	551	255	729	543	642									
9	Число недействительных избирательных бюллетеней	110	14	0	0	0	0	2	2	0	6	0	0	0	7	12	0	0	0	15	0	2	4	4	0	0	0	0	0	0	0	0	12	0	0	2	0	0	0	2	0	11	0	4	0	11	0	0	0	0									
10	Число действительных избирательных бюллетеней	33570	467	267	1190	397	742	1508	980	867	840	426	208	448	1207	752	242	288	143	2064	2026	1502	909	418	1188	646	204	166	759	611	269	978	478	469	1726	1906	636	195	757	309	233	580	232	282	205	571	273	742	588	676									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	462	5	5	8	6	7	25	10	15	5	5	0	4	14	29	0	2	2	14	39	10	8	5	10	5	3	2	7	3	3	30	7	5	5	7	20	3	35	25	8	12	5	8	3	5	10	15	3	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	445	5	5	8	4	7	25	10	15	5	5	0	4	14	29	0	2	0	14	39	10	8	5	10	5	0	0	5	3	3	30	1	5	5	7	20	3	35	25	8	12	5	8	3	5	10	15	3	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	137	1	1	2	0	5	3	3	8	3	4	0	1	0	3	5	5	0	2	8	9	5	1	2	1	0	1	5	0	6	4	6	0	3	3	2	2	3	5	2	4	3	9	0	0	1	0	3	3									
14	Число погашенных неиспользованных открепительных удостоверений	17	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	2	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	38	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	4	6	9	5	1	0	0	0	0	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	77	0	0	0	0	1	3	1	1	1	1	0	0	8	8	0	5	0	5	0	2	0	2	0	2	1	0	0	0	0	4	5	0	3	1	1	1	0	0	0	9	0	7	0	1	1	0	2	1									
		0.23%	0.00%	0.00%	0.00%	0.00%	0.13%	0.20%	0.10%	0.12%	0.12%	0.23%	0.00%	0.00%	0.66%	1.05%	0.00%	1.74%	0.00%	0.24%	0.00%	0.13%	0.00%	0.47%	0.00%	0.31%	0.49%	0.00%	0.00%	0.00%	0.00%	0.41%	1.02%	0.00%	0.17%	0.05%	0.16%	0.51%	0.00%	0.00%	0.00%	1.52%	0.00%	2.45%	0.00%	0.17%	0.37%	0.00%	0.34%	0.15%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	247	1	0	6	10	1	4	1	2	0	6	0	1	3	30	0	5	0	4	14	1	0	7	6	7	6	5	8	0	0	2	7	1	16	1	1	0	0	0	0	42	0	27	2	13	3	3	0	1									
		0.73%	0.21%	0.00%	0.50%	2.52%	0.13%	0.26%	0.10%	0.23%	0.00%	1.41%	0.00%	0.22%	0.25%	3.93%	0.00%	1.74%	0.00%	0.19%	0.69%	0.07%	0.00%	1.66%	0.51%	1.08%	2.94%	3.01%	1.05%	0.00%	0.00%	0.20%	1.43%	0.21%	0.93%	0.05%	0.16%	0.00%	0.00%	0.00%	0.00%	7.11%	0.00%	9.44%	0.98%	2.23%	1.10%	0.40%	0.00%	0.15%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	148	2	0	6	0	1	2	2	2	1	1	1	0	0	16	0	2	0	4	2	1	0	5	8	5	0	1	0	14	0	6	11	3	9	1	1	1	3	1	0	19	0	6	2	3	1	1	3	1									
		0.44%	0.42%	0.00%	0.50%	0.00%	0.13%	0.13%	0.20%	0.23%	0.12%	0.23%	0.48%	0.00%	0.00%	2.09%	0.00%	0.69%	0.00%	0.19%	0.10%	0.07%	0.00%	1.18%	0.67%	0.77%	0.00%	0.60%	0.00%	2.29%	0.00%	0.61%	2.24%	0.64%	0.52%	0.05%	0.16%	0.51%	0.40%	0.32%	0.00%	3.21%	0.00%	2.10%	0.98%	0.52%	0.37%	0.13%	0.51%	0.15%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	29856	430	254	1092	368	683	1384	899	796	778	394	194	422	979	399	205	223	128	1882	1848	1369	852	323	1087	592	182	152	695	554	248	896	365	429	1588	1750	586	180	696	286	222	331	207	172	186	461	251	681	539	618									
