Выборы Президента Российской Федерации																																									
																																									
Наименование Избирательной комиссии:    Рассказовская																																									
																																									
Итоги голосования 																																									
																																									
		Сумма	УИК  782	УИК  783	УИК  784	УИК  785	УИК  786	УИК  787	УИК  788	УИК  789	УИК  790	УИК  791	УИК  792	УИК  793	УИК  794	УИК  795	УИК  796	УИК  797	УИК  798	УИК  799	УИК  800	УИК  801	УИК  802	УИК  803	УИК  804	УИК  805	УИК  806	УИК  807	УИК  808	УИК  809	УИК  810	УИК  811	УИК  812	УИК  813	УИК  814	УИК  815					
1	"Число избирателей, внесенных в список"	16679	1116	334	352	447	128	628	447	239	309	72	721	699	1601	1407	312	285	87	145	418	331	744	479	622	672	281	695	250	226	850	898	379	149	184	172					
2	Число полученных избирательных бюллетеней	16725	1120	345	348	448	125	633	456	243	308	74	733	691	1609	1368	306	292	97	156	437	334	754	484	629	663	277	698	248	228	850	890	377	145	185	174					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9118	585	221	166	235	66	289	208	183	220	59	445	562	699	518	229	192	59	113	334	218	496	279	308	246	126	471	180	182	294	407	223	72	123	110					
5	"Число избирательных бюллетеней, выданных вне помещения"	4105	342	95	135	145	41	196	129	51	51	9	145	13	303	401	28	54	21	26	39	81	108	146	190	240	97	184	30	35	290	226	81	70	46	57					
6	Число погашенных избирательных бюллетеней	3502	193	29	47	68	18	148	119	9	37	6	143	116	607	449	49	46	17	17	64	35	150	59	131	177	54	43	38	11	266	257	73	3	16	7					
7	Число избирательных бюллетеней в переносных ящиках	4105	342	95	135	145	41	196	129	51	51	9	145	13	303	401	28	54	21	26	39	81	108	146	190	240	97	184	30	35	290	226	81	70	46	57					
8	Число бюллетеней в стационарных ящиках для голосования	9115	585	221	166	235	66	289	208	183	220	59	445	562	699	518	229	192	59	113	334	218	496	279	308	246	123	471	180	182	294	407	223	72	123	110					
9	Число недействительных избирательных бюллетеней	97	4	3	4	2	0	6	1	1	3	1	3	2	4	12	6	2	0	1	6	2	5	1	4	2	3	5	4	0	3	2	3	0	1	1					
10	Число действительных избирательных бюллетеней	13123	923	313	297	378	107	479	336	233	268	67	587	573	998	907	251	244	80	138	367	297	599	424	494	484	217	650	206	217	581	631	301	142	168	166					
11	Число полученных открепительных  удостоверений	200	12	2	3	5	3	8	7	3	3	0	10	21	15	15	3	5	3	6	3	2	8	10	8	8	5	5	3	3	5	8	3	3	2	0					
12	Число выданных открепительных удостоверений	81	12	0	0	5	0	0	1	0	0	0	4	21	7	1	0	1	3	5	0	2	5	5	1	6	0	0	0	0	0	0	1	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	57	5	2	1	2	3	3	4	1	2	0	0	5	2	4	0	1	0	1	0	0	4	2	0	2	1	0	3	1	1	0	3	1	3	0					
14	Число неиспользованных открепительных удостоверений	119	0	2	3	0	3	8	6	3	3	0	6	0	8	14	3	4	0	1	3	0	3	5	7	2	5	5	3	3	5	8	2	3	1	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																									
18	. Глазьев Сергей Юрьевич	318	20	10	3	3	0	10	9	7	5	0	15	14	14	25	5	6	0	1	5	8	20	11	44	10	8	17	4	1	13	15	5	1	6	3					
		2.41%	2.16%	3.16%	1.00%	0.79%	0.00%	2.06%	2.67%	2.99%	1.85%	0.00%	2.54%	2.43%	1.40%	2.72%	1.95%	2.44%	0.00%	0.72%	1.34%	2.68%	3.31%	2.59%	8.84%	2.06%	3.64%	2.60%	1.90%	0.46%	2.23%	2.37%	1.64%	0.70%	3.55%	1.80%					
19	. Малышкин Олег Александрович	359	12	4	5	15	3	7	7	9	11	2	20	23	22	19	17	5	1	8	7	11	20	9	14	11	4	21	4	17	15	16	11	1	3	5					
		2.72%	1.29%	1.27%	1.66%	3.95%	2.80%	1.44%	2.08%	3.85%	4.06%	2.94%	3.39%	4.00%	2.20%	2.07%	6.61%	2.03%	1.25%	5.76%	1.88%	3.68%	3.31%	2.12%	2.81%	2.26%	1.82%	3.21%	1.90%	7.83%	2.57%	2.53%	3.62%	0.70%	1.78%	2.99%					
20	. Миронов Сергей Михайлович	96	10	3	4	3	0	3	1	0	4	2	4	1	3	3	0	2	2	3	0	3	5	1	7	6	4	4	3	1	3	3	3	2	2	1					
		0.73%	1.08%	0.95%	1.33%	0.79%	0.00%	0.62%	0.30%	0.00%	1.48%	2.94%	0.68%	0.17%	0.30%	0.33%	0.00%	0.81%	2.50%	2.16%	0.00%	1.00%	0.83%	0.24%	1.41%	1.23%	1.82%	0.61%	1.43%	0.46%	0.51%	0.47%	0.99%	1.41%	1.18%	0.60%					
21	. Путин Владимир Владимирович	8214	644	233	137	238	36	249	181	172	182	33	386	385	626	562	171	145	56	77	179	215	371	253	245	246	112	469	145	136	391	393	203	87	129	127					
		62.13%	69.47%	73.73%	45.51%	62.63%	33.64%	51.34%	53.71%	73.50%	67.16%	48.53%	65.42%	66.96%	62.48%	61.15%	66.54%	58.94%	70.00%	55.40%	47.99%	71.91%	61.42%	59.53%	49.20%	50.62%	50.91%	71.60%	69.05%	62.67%	66.95%	62.09%	66.78%	61.27%	76.33%	76.05%					
22	. Хакамада Ирина Муцуовна	200	8	2	6	5	0	5	2	3	3	0	8	18	25	15	2	8	4	4	8	2	9	1	1	6	4	13	5	2	10	4	4	6	4	3					
		1.51%	0.86%	0.63%	1.99%	1.32%	0.00%	1.03%	0.59%	1.28%	1.11%	0.00%	1.36%	3.13%	2.50%	1.63%	0.78%	3.25%	5.00%	2.88%	2.14%	0.67%	1.49%	0.24%	0.20%	1.23%	1.82%	1.98%	2.38%	0.92%	1.71%	0.63%	1.32%	4.23%	2.37%	1.80%					
23	. Харитонов Николай Михайлович	3563	218	56	134	108	68	196	124	34	57	28	134	102	271	228	50	69	17	38	150	52	162	145	168	187	82	113	43	54	132	184	69	41	24	25					
		26.95%	23.52%	17.72%	44.52%	28.42%	63.55%	40.41%	36.80%	14.53%	21.03%	41.18%	22.71%	17.74%	27.05%	24.81%	19.46%	28.05%	21.25%	27.34%	40.21%	17.39%	26.82%	34.12%	33.73%	38.48%	37.27%	17.25%	20.48%	24.88%	22.60%	29.07%	22.70%	28.87%	14.20%	14.97%					
																																									
24	Против всех	373	11	5	8	6	0	9	12	8	6	2	20	30	37	55	6	9	0	7	18	6	12	4	15	18	3	13	2	6	17	16	6	4	0	2					
		2.82%	1.19%	1.58%	2.66%	1.58%	0.00%	1.86%	3.56%	3.42%	2.21%	2.94%	3.39%	5.22%	3.69%	5.98%	2.33%	3.66%	0.00%	5.04%	4.83%	2.01%	1.99%	0.94%	3.01%	3.70%	1.36%	1.98%	0.95%	2.76%	2.91%	2.53%	1.97%	2.82%	0.00%	1.20%					
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
