Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
"Наименование Избирательной комиссии:    Липецк, Октябрьская №1"																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2263	УИК №2264	УИК №2265	УИК №2266	УИК №2267	УИК №2268	УИК №2269	УИК №2270	УИК №2271	УИК №2272	УИК №2273	УИК №2274	УИК №2275	УИК №2276	УИК №2277	УИК №2278	УИК №2279	УИК №2280	УИК №2281									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	105205	1634	1461	1714	1345	1288	1571	2477	2151	2234	2414	2673	2106	2867	2234	2406	2323	2092	2261	2711	1972	2156	2300	2143	2094	1929	2229	2075	1417	1685	2685	2190	1585	1444	2553	2670	216	2684	1652	1452	2219	2365	1740	1620	1591	2368	2165	2370	2196	2296	1229	1355	2359	239									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	90262	1400	1200	1500	1200	1100	1300	2100	1900	1900	2100	2300	1800	2500	1900	2100	2000	1800	1900	2300	1700	1900	2000	1800	1800	1700	1900	1800	1200	1400	2300	1900	1400	1200	2200	2300	222	2300	1400	1200	1900	2000	1500	1400	1400	2000	1800	2000	1900	1900	1100	1100	2100	240									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	41535	564	604	705	478	445	635	937	744	760	993	940	723	758	988	1051	992	891	986	1076	878	893	945	917	928	633	694	774	570	708	1052	904	564	568	1050	967	114	1082	700	647	883	1032	622	593	596	1114	912	1056	929	911	453	523	884	169									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1388	62	38	52	21	17	14	15	49	26	23	43	24	39	13	17	18	22	10	27	8	15	24	41	34	7	47	29	18	28	30	16	32	19	24	18	99	18	23	17	21	11	7	22	6	46	28	18	27	35	24	3	8	55									
6	Число погашенных избирательных бюллетеней	47339	774	558	743	701	638	651	1148	1107	1114	1084	1317	1053	1703	899	1032	990	887	904	1197	814	992	1031	842	838	1060	1159	997	612	664	1218	980	804	613	1126	1315	9	1200	677	536	996	957	871	785	798	840	860	926	944	954	623	574	1208	16									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1388	62	38	52	21	17	14	15	49	26	23	43	24	39	13	17	18	22	10	27	8	15	24	41	34	7	47	29	18	28	30	16	32	19	24	18	99	18	23	17	21	11	7	22	6	46	28	18	27	35	24	3	8	55									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	41522	564	604	705	478	444	635	937	744	760	993	940	723	758	988	1051	992	891	986	1076	876	891	945	917	928	632	694	773	570	708	1050	904	563	568	1050	967	114	1082	700	647	882	1032	622	593	596	1114	912	1056	929	910	453	523	883	169									
9	Число недействительных избирательных бюллетеней	1204	30	19	25	21	16	28	30	7	22	31	34	25	24	19	26	36	24	27	29	21	29	19	18	41	13	40	20	18	18	28	35	16	19	25	22	10	30	12	16	19	15	14	14	9	32	28	27	29	23	15	18	25	13									
10	Число действительных избирательных бюллетеней	41706	596	623	732	478	445	621	922	786	764	985	949	722	773	982	1042	974	889	969	1074	863	877	950	940	921	626	701	782	570	718	1052	885	579	568	1049	963	203	1070	711	648	884	1028	615	601	593	1128	912	1047	927	922	462	508	866	211									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1310	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	35	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	743	3	12	8	8	10	9	12	10	11	10	11	8	14	14	25	24	12	16	22	19	16	25	22	19	23	7	16	13	10	18	25	6	6	21	26	0	14	13	15	17	22	9	12	13	18	10	16	7	11	15	16	24	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	414	2	4	6	4	3	1	12	8	16	2	6	6	9	8	10	8	11	20	9	7	7	4	10	9	6	24	14	5	2	13	12	4	5	8	13	3	15	8	9	3	9	2	7	10	6	9	8	5	13	8	5	6	0									
14	Число погашенных неиспользованных открепительных удостоверений	567	22	13	17	17	15	16	13	15	14	15	14	17	11	11	0	1	13	9	3	6	9	0	3	6	2	18	9	12	15	7	0	19	19	4	9	25	11	12	10	8	3	16	13	12	7	15	9	18	14	10	9	1	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	73	1	0	3	3	1	2	0	0	0	1	1	0	0	0	1	1	1	0	2	1	0	3	1	0	2	4	3	1	0	1	3	0	0	2	6	0	3	1	2	1	3	1	1	2	1	4	3	0	0	4	2	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1065	13	12	13	8	11	10	10	10	12	29	21	12	16	25	28	24	19	28	42	26	23	32	13	20	19	19	18	19	20	28	25	22	17	26	27	6	26	10	11	21	29	30	19	20	47	30	24	34	25	7	6	18	5									
