Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																														
Дата голосования: 07.12.2003 0:00:00																																														
																																														
Наименование Избирательной комиссии:    Сысертская районная																																														
																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																														
																																														
		Сумма	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875					
1	"Число избирателей, внесенных в списки"	45377	757	1247	1576	2110	2363	1586	1960	1510	1453	1300	1245	520	251	1974	1467	514	1208	2429	1208	899	1832	2049	1626	238	186	854	232	481	1861	563	1063	1086	772	832	653	640	2248	218	366					
2	"Число бюллетеней, полученных участковыми комиссиями"	44249	720	1190	1520	2050	2430	1515	1950	1480	1400	1220	1155	490	245	1950	1440	500	1180	2319	1180	840	1785	2015	1600	240	185	835	215	465	1810	555	1040	1070	765	815	620	620	2220	240	380					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	18077	295	521	594	919	941	579	810	704	665	516	480	153	135	804	530	224	337	815	378	473	930	835	583	127	59	401	100	221	732	215	443	422	291	345	211	277	759	95	158					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1663	49	41	31	19	35	56	25	16	18	32	61	146	14	57	30	24	126	94	65	34	66	56	101	4	35	22	18	15	65	3	40	9	22	30	0	50	90	45	19					
6	Число погашенных бюллетеней	24509	376	628	895	1112	1454	880	1115	760	717	672	614	191	96	1089	880	252	717	1410	737	333	789	1124	916	109	91	412	97	229	1013	337	557	639	452	440	409	293	1371	100	203					
7	Число бюллетеней в переносных ящиках для голосования	1663	49	41	31	19	35	56	25	16	18	32	61	146	14	57	30	24	126	94	65	34	66	56	101	4	35	22	18	15	65	3	40	9	22	30	0	50	90	45	19					
8	Число бюллетеней в стационарных ящиках для голосования	18077	295	521	594	919	941	579	810	704	665	516	480	153	135	804	530	224	337	815	378	473	930	835	583	127	59	401	100	221	732	215	443	422	291	345	211	277	759	95	158					
9	Число недействительных бюллетеней	338	12	11	9	14	0	6	11	8	15	9	10	5	2	12	14	7	6	11	4	4	4	11	4	10	2	8	0	19	13	14	15	12	6	0	1	7	36	2	4					
10	Число действительных бюллетеней	19402	332	551	616	924	976	629	824	712	668	539	531	294	147	849	546	241	457	898	439	503	992	880	680	121	92	415	118	217	784	204	468	419	307	375	210	320	813	138	173					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	397	5	13	13	23	23	13	18	13	10	13	13	4	8	23	13	3	13	23	14	3	10	10	13	10	3	3	4	3	3	10	4	10	10	5	3	6	23	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	106	5	5	1	4	5	2	2	1	4	4	0	2	1	2	4	1	2	6	0	0	3	4	2	0	1	2	0	0	3	0	4	10	5	5	3	6	3	1	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	194	4	7	1	4	3	5	5	4	2	3	2	2	3	0	6	8	0	3	1	35	3	3	21	3	3	4	4	2	7	1	5	2	2	5	0	13	16	2	0					
14	Число погашенных открепительных удостоверений	291	0	8	12	19	18	11	16	12	6	9	13	2	7	21	9	2	11	17	14	3	7	6	11	10	2	1	4	3	0	10	0	0	5	0	0	0	20	2	0					
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																														
18	"1. ""ЕДИНЕНИЕ"""	205	4	9	4	7	8	4	12	4	6	6	2	3	4	7	14	1	3	4	5	6	8	6	7	4	3	4	1	2	10	3	7	6	7	3	2	5	8	0	6					
		1.03%	1.16%	1.60%	0.64%	0.74%	0.81%	0.62%	1.43%	0.55%	0.87%	1.09%	0.36%	1.00%	2.68%	0.81%	2.49%	0.40%	0.64%	0.44%	1.12%	1.18%	0.80%	0.67%	1.02%	3.05%	3.19%	0.94%	0.84%	0.84%	1.25%	1.37%	1.44%	1.39%	2.23%	0.8%	0.94%	1.52%	0.94%	0.0%	3.38%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	563	2	6	17	32	38	16	26	34	19	9	10	5	0	6	12	4	33	27	24	15	28	28	19	4	2	6	4	2	37	6	12	18	9	18	5	12	10	2	6					
		2.85%	0.58%	1.06%	2.72%	3.41%	3.89%	2.51%	3.11%	4.72%	2.78%	1.64%	1.84%	1.67%	0.0%	0.69%	2.14%	1.61%	7.12%	2.97%	5.41%	2.95%	2.81%	3.14%	2.77%	3.05%	2.12%	1.41%	3.38%	0.84%	4.64%	2.75%	2.48%	4.17%	2.87%	4.8%	2.36%	3.66%	1.17%	1.42%	3.38%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1022	4	32	36	49	63	41	33	17	31	26	22	30	15	55	13	14	28	84	24	14	49	45	18	6	4	17	5	15	48	17	22	16	15	32	14	12	34	17	5					
		5.17%	1.16%	5.69%	5.76%	5.22%	6.45%	6.45%	3.95%	2.36%	4.53%	4.74%	4.06%	10.03%	10.06%	6.38%	2.32%	5.64%	6.04%	9.24%	5.41%	2.76%	4.91%	5.05%	2.63%	4.58%	4.25%	4.01%	4.23%	6.35%	6.02%	7.79%	4.55%	3.71%	4.79%	8.53%	6.63%	3.66%	4.00%	12.14%	2.82%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	464	9	12	16	29	29	10	22	11	16	8	11	3	5	14	11	12	12	30	16	8	24	23	26	4	2	5	0	4	19	2	7	11	3	7	8	8	20	6	1					
		2.35%	2.61%	2.13%	2.56%	3.09%	2.97%	1.57%	2.63%	1.52%	2.34%	1.45%	2.03%	1.00%	3.35%	1.62%	1.96%	4.83%	2.59%	3.30%	3.61%	1.57%	2.40%	2.58%	3.80%	3.05%	2.12%	1.18%	0.0%	1.69%	2.38%	0.91%	1.44%	2.55%	0.95%	1.86%	3.79%	2.44%	2.35%	4.28%	0.56%					
22	"5. ""За Русь Святую"""	104	1	0	8	6	1	6	3	3	5	1	2	2	0	7	6	1	1	7	3	3	4	3	3	0	1	1	0	2	6	1	3	2	5	1	1	0	3	1	1					
		0.52%	0.29%	0.0%	1.28%	0.63%	0.10%	0.94%	0.35%	0.41%	0.73%	0.18%	0.36%	0.66%	0.0%	0.81%	1.07%	0.40%	0.21%	0.77%	0.67%	0.59%	0.40%	0.33%	0.43%	0.0%	1.06%	0.23%	0.0%	0.84%	0.75%	0.45%	0.62%	0.46%	1.59%	0.26%	0.47%	0.0%	0.35%	0.71%	0.56%					
23	"6. ""Объединенная Российская партия ""Русь"""	69	2	0	0	2	4	0	2	6	2	5	0	2	1	5	2	0	1	1	2	1	6	4	3	1	1	0	0	3	1	0	4	0	3	0	0	2	3	0	0					
		0.34%	0.58%	0.0%	0.0%	0.21%	0.40%	0.0%	0.23%	0.83%	0.29%	0.91%	0.0%	0.66%	0.67%	0.58%	0.35%	0.0%	0.21%	0.11%	0.45%	0.19%	0.60%	0.44%	0.43%	0.76%	1.06%	0.0%	0.0%	1.27%	0.12%	0.0%	0.82%	0.0%	0.95%	0.0%	0.0%	0.61%	0.35%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	128	3	4	5	4	4	5	4	4	9	5	0	0	0	6	10	2	2	5	7	1	3	6	5	0	0	4	0	3	4	2	4	2	0	7	1	0	7	0	0					
		0.64%	0.87%	0.71%	0.8%	0.42%	0.40%	0.78%	0.47%	0.55%	1.31%	0.91%	0.0%	0.0%	0.0%	0.69%	1.78%	0.80%	0.43%	0.55%	1.58%	0.19%	0.30%	0.67%	0.73%	0.0%	0.0%	0.94%	0.0%	1.27%	0.50%	0.91%	0.82%	0.46%	0.0%	1.86%	0.47%	0.0%	0.82%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	30	0	2	0	1	2	1	1	1	1	1	1	1	0	1	3	1	1	2	1	0	1	0	2	0	0	0	0	1	2	1	0	0	0	0	0	0	1	1	0					
		0.15%	0.0%	0.35%	0.0%	0.10%	0.20%	0.15%	0.11%	0.13%	0.14%	0.18%	0.18%	0.33%	0.0%	0.11%	0.53%	0.40%	0.21%	0.22%	0.22%	0.0%	0.10%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.42%	0.25%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.71%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	86	1	2	2	5	6	2	4	4	4	4	1	3	0	3	0	0	2	6	1	2	2	4	4	0	0	2	0	2	2	0	2	5	1	2	1	2	5	0	0					
		0.43%	0.29%	0.35%	0.32%	0.53%	0.61%	0.31%	0.47%	0.55%	0.58%	0.72%	0.18%	1.00%	0.0%	0.34%	0.0%	0.0%	0.43%	0.66%	0.22%	0.39%	0.20%	0.44%	0.58%	0.0%	0.0%	0.47%	0.0%	0.84%	0.25%	0.0%	0.41%	1.16%	0.31%	0.53%	0.47%	0.61%	0.58%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	807	13	6	10	23	26	18	20	13	15	11	7	43	3	22	33	9	13	21	16	7	19	31	57	14	1	21	8	15	85	9	27	31	32	17	3	27	64	7	10					
		4.08%	3.77%	1.06%	1.6%	2.45%	2.66%	2.83%	2.39%	1.80%	2.19%	2.00%	1.29%	14.38%	2.01%	2.55%	5.89%	3.62%	2.80%	2.31%	3.61%	1.38%	1.90%	3.47%	8.33%	10.68%	1.06%	4.96%	6.77%	6.35%	10.66%	4.12%	5.59%	7.19%	10.22%	4.53%	1.42%	8.25%	7.53%	4.99%	5.64%					
28	"11. ""Истинные патриоты России"""	30	1	0	0	0	1	0	2	0	0	0	0	0	0	1	0	1	0	2	0	3	2	2	2	0	0	0	0	0	0	1	5	0	0	1	1	2	2	0	1					
