Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																				
Дата голосования: 07.12.2003 0:00:00																				
																				
Наименование Избирательной комиссии:    Баунтовская																				
																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																				
																				
		Сумма	УИК  37	УИК  38	УИК  39	УИК  40	УИК  41	УИК  42	УИК  43	УИК  44	УИК  45	УИК  46	УИК  47	УИК  48	УИК  49					
1	"Число избирателей, внесенных в списки"	7675	1590	1708	1149	375	145	246	291	490	477	302	253	172	477					
2	"Число бюллетеней, полученных участковыми комиссиями"	7559	1572	1652	1143	350	148	235	281	490	473	301	281	171	462					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	133	0	0	9	20	4	14	0	0	0	0	8	58	20					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4029	807	829	578	215	92	161	163	255	242	198	132	63	294					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	296	31	89	59	5	6	16	22	21	17	0	12	0	18					
6	Число погашенных бюллетеней	3101	734	734	497	110	46	44	96	214	214	103	129	50	130					
7	Число бюллетеней в переносных ящиках для голосования	342	31	89	59	25	10	30	22	21	17	0	20	0	18					
8	Число бюллетеней в стационарных ящиках для голосования	4114	807	827	587	215	92	161	163	255	242	198	132	121	314					
9	Число недействительных бюллетеней	86	19	14	9	4	5	7	6	5	4	2	3	1	7					
10	Число действительных бюллетеней	4370	819	902	637	236	97	184	179	271	255	196	149	120	325					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	99	10	10	10	8	6	6	6	6	6	8	8	8	7					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	32	6	4	2	6	6	0	0	0	0	0	5	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	15	2	5	3	0	0	0	0	0	0	1	0	2	2					
14	Число погашенных открепительных удостоверений	67	4	6	8	2	0	6	6	6	6	8	3	8	4					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
18	"1. ""ЕДИНЕНИЕ"""	80	14	7	14	4	4	3	7	1	2	1	6	9	8					
		1.79%	1.67%	0.76%	2.16%	1.66%	3.92%	1.57%	3.78%	0.36%	0.77%	0.50%	3.94%	7.43%	2.40%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	275	54	43	20	11	0	67	11	14	19	23	2	3	8					
		6.17%	6.44%	4.69%	3.09%	4.58%	0.0%	35.07%	5.94%	5.07%	7.33%	11.61%	1.31%	2.47%	2.40%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	132	21	20	17	11	4	5	5	9	9	9	9	3	10					
		2.96%	2.50%	2.18%	2.63%	4.58%	3.92%	2.61%	2.70%	3.26%	3.47%	4.54%	5.92%	2.47%	3.01%					
