Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
"Наименование Избирательной комиссии:    Архангельск, Соломбальская"																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	65519	2480	700	2239	1347	1705	2564	1281	1011	1293	1162	1380	321	169	1665	2143	2417	2613	1970	2293	2051	1845	1581	2301	2294	1438	2517	2689	2265	2082	1041	2088	1065	1280	2194	1470	1747	1447	1277	53	41									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	65841	2500	700	2250	1350	1700	2600	1300	1000	1300	1150	1400	300	150	1650	2150	2450	2650	2000	2350	2000	1850	1600	2300	2300	1450	2550	2700	2300	2100	1050	2100	1050	1300	2200	1450	1750	1450	1300	50	41									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20567	822	238	703	282	442	898	416	281	343	302	383	66	39	496	703	853	884	671	699	656	522	429	757	837	308	880	1015	855	705	259	722	301	434	610	471	578	312	338	46	11									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	330	7	0	5	4	46	8	3	5	12	24	3	0	0	3	6	9	16	13	7	9	3	10	4	4	4	4	13	19	9	10	6	2	4	7	1	3	1	16	0	30									
6	Число погашенных избирательных бюллетеней	44944	1671	462	1542	1064	1212	1694	881	714	945	824	1014	234	111	1151	1441	1588	1750	1316	1644	1335	1325	1161	1539	1459	1138	1666	1672	1426	1386	781	1372	747	862	1583	978	1169	1137	946	4	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	330	7	0	5	4	46	8	3	5	12	24	3	0	0	3	6	9	16	13	7	9	3	10	4	4	4	4	13	19	9	10	6	2	4	7	1	3	1	16	0	30									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20553	822	238	703	282	442	892	416	281	343	302	383	66	39	496	703	853	884	671	696	655	522	429	756	836	308	880	1015	855	705	259	722	301	434	609	471	578	311	338	46	11									
9	Число недействительных избирательных бюллетеней	383	18	7	17	5	18	13	9	5	13	8	11	3	0	5	12	18	13	10	13	11	12	7	19	11	5	10	10	22	6	5	13	11	3	10	5	6	11	7	0	1									
10	Число действительных избирательных бюллетеней	20500	811	231	691	281	470	887	410	281	342	318	375	63	39	494	697	844	887	674	690	653	513	432	741	829	307	874	1018	852	708	264	715	292	435	606	467	575	301	347	46	40									
