Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
"Наименование Избирательной комиссии:    Казань, Вахитовская"																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	60922	2013	2205	1952	1255	2302	2127	2428	1756	1635	1977	1190	1786	1680	2573	1670	1825	1775	2169	1656	1275	1270	1755	1882	1224	2255	1613	1826	2357	1250	1335	1988	1743	1874	330	42	60	224	171	115	50	124	185									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	55930	1300	2000	1700	1200	2200	2000	2200	1700	1500	1800	1100	1500	1600	2400	1500	1500	1700	2000	1500	1400	1200	1600	1700	1100	2100	1500	1600	2200	1200	1200	1800	1600	1700	400	70	60	250	200	160	50	140	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	33582	1115	1147	813	632	1134	1069	1341	864	818	924	571	1040	985	1505	1125	1002	932	1102	955	1263	679	939	967	638	1077	1022	1417	1201	676	692	840	904	892	330	42	60	224	171	115	50	124	185									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	747	46	19	27	23	17	14	24	38	27	65	24	8	17	15	11	100	71	30	5	6	13	16	6	26	22	13	2	22	2	15	9	8	6	0	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	21601	139	834	860	545	1049	917	835	798	655	811	505	452	598	880	364	398	697	868	540	131	508	645	727	436	1001	465	181	977	522	493	951	688	802	70	28	0	26	29	45	0	16	115									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	747	46	19	27	23	17	14	24	38	27	65	24	8	17	15	11	100	71	30	5	6	13	16	6	26	22	13	2	22	2	15	9	8	6	0	0	0	0	0	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	33495	1114	1147	813	632	1134	1069	1341	864	791	922	567	1040	985	1502	1124	1002	932	1102	955	1260	679	939	960	635	1077	1021	1417	1201	676	658	839	904	892	330	42	60	224	171	115	50	124	185									
9	Число недействительных избирательных бюллетеней	470	14	9	18	10	23	5	7	8	16	6	14	20	9	19	11	19	0	36	22	29	8	18	6	7	27	10	10	12	13	8	14	14	26	0	0	0	0	0	1	0	1	0									
10	Число действительных избирательных бюллетеней	33772	1146	1157	822	645	1128	1078	1358	894	802	981	577	1028	993	1498	1124	1083	1003	1096	938	1237	684	937	960	654	1072	1024	1409	1211	665	665	834	898	872	330	42	60	224	171	114	50	123	185									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1427	57	60	40	30	60	60	60	40	40	40	30	40	40	60	40	40	40	60	40	30	30	40	40	30	60	40	40	60	30	30	40	40	40	0	0	0	0	0	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	800	23	44	22	11	32	30	41	27	22	29	20	14	20	42	22	24	25	24	27	20	23	24	31	4	28	18	27	30	16	14	14	20	32	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1945	169	28	93	49	11	17	89	8	31	52	28	148	15	15	66	180	7	31	46	214	10	31	25	10	35	20	97	33	25	31	9	23	59	240	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	627	34	16	18	19	28	30	19	13	18	11	10	26	20	18	18	16	15	36	13	10	7	16	9	26	32	22	13	30	14	16	26	20	8	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	73	2	2	6	3	1	5	2	2	2	1	1	0	2	10	2	7	0	0	0	0	0	2	2	0	3	1	3	9	1	0	2	2	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																					
