Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																													
Дата голосования: 04.12.2011																																																																													
																																																																													
Наименование Избирательной комиссии:    Северская																																																																													
																																																																													
Сводная таблица результатов выборов																																																																													
																																																																													
		Сумма	УИК №4101	УИК №4102	УИК №4103	УИК №4104	УИК №4105	УИК №4106	УИК №4107	УИК №4108	УИК №4109	УИК №4110	УИК №4111	УИК №4112	УИК №4113	УИК №4114	УИК №4115	УИК №4116	УИК №4117	УИК №4118	УИК №4119	УИК №4120	УИК №4121	УИК №4122	УИК №4123	УИК №4124	УИК №4125	УИК №4126	УИК №4127	УИК №4128	УИК №4129	УИК №4130	УИК №4131	УИК №4132	УИК №4133	УИК №4134	УИК №4135	УИК №4136	УИК №4137	УИК №4138	УИК №4139	УИК №4140	УИК №4141	УИК №4142	УИК №4143	УИК №4144	УИК №4145	УИК №4146	УИК №4147	УИК №4148	УИК №4149	УИК №4150	УИК №4151	УИК №4152	УИК №4153	УИК №4154	УИК №4155	УИК №4156	УИК №4157	УИК №4158	УИК №4159	УИК №4160	УИК №4161	УИК №4162	УИК №4163	УИК №4164	УИК №4165	УИК №4166	УИК №4167	УИК №4168	УИК №4169	УИК №4170					
1	"Число избирателей, внесенных в список избирателей"	84531	960	1851	1717	1947	1791	1986	542	1268	1919	1238	304	1567	1205	351	224	1054	636	1639	1386	1369	1632	1363	1560	1409	1897	1222	1290	1136	1159	458	1363	1188	825	668	520	147	638	312	1340	235	1933	1836	601	2397	1980	2150	1708	1761	1432	1526	1505	1386	2047	1036	238	1640	1318	1641	1152	569	126	1461	1439	1349	1109	1453	1455	543	233	191					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	85607	970	1860	1748	1980	1820	1970	540	1290	1940	1270	300	1610	1210	360	240	1070	620	1650	1430	1397	1660	1400	1570	1420	1910	1240	1230	1140	1160	470	1390	1220	840	680	530	140	640	310	1390	240	1960	1860	600	2440	2000	2202	1740	1790	1470	1550	1470	1400	2080	1060	240	1650	1330	1650	1170	570	120	1490	1460	1360	1120	1460	1470	560	250	230					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	44226	695	1244	1172	1051	1309	1155	320	492	806	592	174	1014	679	191	219	680	382	874	775	706	1013	693	866	757	790	706	457	561	588	239	837	673	503	371	270	85	405	89	864	160	917	767	198	1015	1560	809	1276	739	596	723	745	620	1053	523	126	976	380	580	329	323	71	707	665	614	410	762	705	282	169	129					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	11629	85	287	174	228	44	296	17	256	158	96	69	98	123	70	0	69	98	154	247	211	201	203	263	130	220	281	179	223	280	161	220	196	162	143	150	36	88	110	199	28	172	183	166	182	131	281	326	252	158	70	117	203	260	378	86	228	347	461	399	117	28	80	84	70	136	201	87	109	30	34					
6	Число погашенных избирательных бюллетеней	29752	190	329	402	701	467	519	203	542	976	582	57	498	408	99	21	321	140	622	408	480	446	504	441	533	900	253	594	356	292	70	333	351	175	166	110	19	147	111	327	52	871	910	236	1243	309	1112	138	799	716	757	608	577	767	159	28	446	603	609	442	130	21	703	711	676	574	497	678	169	51	67					
7	Число избирательных бюллетеней в переносных ящиках для голосования	11629	85	287	174	228	44	296	17	256	158	96	69	98	123	70	0	69	98	154	247	211	201	203	263	130	220	281	179	223	280	161	220	196	162	143	150	36	88	110	199	28	172	183	166	182	131	281	326	252	158	70	117	203	260	378	86	228	347	461	399	117	28	80	84	70	136	201	87	109	30	34					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	44222	695	1244	1172	1051	1306	1155	320	492	806	592	174	1014	679	191	219	680	382	874	775	706	1013	693	866	757	790	706	457	561	588	239	837	673	503	371	270	85	405	89	864	160	917	767	198	1015	1560	809	1276	738	596	723	745	620	1053	523	126	976	380	580	329	323	71	707	665	614	410	762	705	282	169	129					
9	Число недействительных избирательных бюллетеней	1787	7	28	11	28	12	15	3	9	5	12	11	19	31	17	10	13	5	14	217	15	9	73	45	11	17	5	11	14	11	3	93	85	73	45	80	0	53	35	3	10	23	9	3	19	5	17	27	12	13	16	12	6	299	55	0	0	7	6	6	4	0	5	12	13	9	17	14	5	6	9					
10	Число действительных избирательных бюллетеней	54064	773	1503	1335	1251	1338	1436	334	739	959	676	232	1093	771	244	209	736	475	1014	805	902	1205	823	1084	876	993	982	625	770	857	397	964	784	592	469	340	121	440	164	1060	178	1066	941	361	1178	1686	1073	1575	978	741	777	850	817	1014	846	212	1204	720	1035	722	436	99	782	737	671	537	946	778	386	193	154					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1148	15	22	25	33	23	27	9	19	12	25	3	40	13	17	4	23	10	9	37	10	15	17	13	9	10	12	7	11	5	5	41	23	8	8	8	3	5	3	27	18	23	21	0	19	15	26	26	31	19	21	19	15	34	15	5	19	12	12	7	5	0	22	17	12	5	17	11	15	33	48					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1147	15	22	25	33	23	27	9	19	12	25	3	40	13	17	4	23	10	9	37	10	15	17	13	9	10	12	7	11	5	5	41	23	8	8	8	3	5	3	27	18	23	21	0	19	15	25	26	31	19	21	19	15	34	15	5	19	12	12	7	5	0	22	17	12	5	17	11	15	33	48					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	552	13	27	9	7	15	11	7	6	8	4	2	9	9	12	50	7	26	4	9	1	7	4	5	6	5	2	7	7	4	6	18	8	3	1	3	8	2	7	2	7	10	6	3	5	7	6	6	13	6	5	18	8	10	0	1	11	7	12	3	0	6	6	6	10	4	5	6	7	13	4					
14	Число погашенных неиспользованных открепительных удостоверений	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	45	1	1	1	1	1	2	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	3	3	1	0	2	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	3	2	1	3	1	1	2	1	1	2	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
