Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																														
Дата голосования: 07.12.2003 0:00:00																														
																														
Наименование Избирательной комиссии:    Юкаменская																														
																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																														
																														
		Сумма	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223					
1	"Число избирателей, внесенных в списки"	8910	1290	1283	509	462	161	226	249	178	146	344	694	139	239	94	284	304	647	254	168	395	286	252	306					
2	"Число бюллетеней, полученных участковыми комиссиями"	8891	1253	1286	481	470	164	226	251	182	146	342	689	144	257	96	286	301	648	261	167	405	282	251	303					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6037	829	903	345	338	91	157	130	144	99	236	470	125	160	64	197	240	426	202	124	253	182	135	187					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	571	45	21	8	18	8	15	45	16	7	13	75	0	36	2	22	7	41	26	23	29	26	48	40					
6	Число погашенных бюллетеней	2283	379	362	128	114	65	54	76	22	40	93	144	19	61	30	67	54	181	33	20	123	74	68	76					
7	Число бюллетеней в переносных ящиках для голосования	571	45	21	8	18	8	15	45	16	7	13	75	0	36	2	22	7	41	26	23	29	26	48	40					
8	Число бюллетеней в стационарных ящиках для голосования	6037	829	903	345	338	91	157	130	144	99	236	470	125	160	64	197	240	426	202	124	253	182	135	187					
9	Число недействительных бюллетеней	115	18	18	9	5	8	4	7	3	0	4	3	2	3	1	0	1	6	4	2	6	5	4	2					
10	Число действительных бюллетеней	6493	856	906	344	351	91	168	168	157	106	245	542	123	193	65	219	246	461	224	145	276	203	179	225					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	137	10	12	5	5	5	5	5	5	5	5	10	5	10	5	5	5	5	5	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	49	7	10	4	5	0	0	1	0	0	1	9	0	7	0	0	0	3	0	0	1	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	47	6	7	5	2	0	0	2	1	3	1	3	1	2	0	0	4	1	1	0	2	2	1	3					
14	Число погашенных открепительных удостоверений	88	3	2	1	0	5	5	4	5	5	4	1	5	3	5	5	5	2	5	5	4	5	5	4					
15	Число открепительных удостоверений выданных ТИК	16	0	5	0	1	1	0	0	0	0	0	2	0	0	2	5	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																														
18	"1. ""ЕДИНЕНИЕ"""	132	17	17	11	9	2	2	2	2	0	9	10	1	3	1	8	1	10	5	5	8	3	2	4					
		1.99%	1.94%	1.83%	3.11%	2.52%	2.02%	1.16%	1.14%	1.25%	0.0%	3.61%	1.83%	0.8%	1.53%	1.51%	3.65%	0.40%	2.14%	2.19%	3.40%	2.83%	1.44%	1.09%	1.76%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	177	40	30	22	38	1	0	4	4	1	9	6	0	1	9	2	0	7	0	0	1	1	0	1					
		2.67%	4.57%	3.24%	6.23%	10.67%	1.01%	0.0%	2.28%	2.5%	0.94%	3.61%	1.10%	0.0%	0.51%	13.63%	0.91%	0.0%	1.49%	0.0%	0.0%	0.35%	0.48%	0.0%	0.44%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	102	14	16	4	6	2	1	5	3	0	2	9	2	4	1	2	2	7	5	3	8	3	2	1					
		1.54%	1.60%	1.73%	1.13%	1.68%	2.02%	0.58%	2.85%	1.87%	0.0%	0.80%	1.65%	1.6%	2.04%	1.51%	0.91%	0.80%	1.49%	2.19%	2.04%	2.83%	1.44%	1.09%	0.44%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	32	14	6	1	2	0	0	1	0	0	1	0	1	0	0	0	0	2	1	1	2	0	0	0					
		0.48%	1.60%	0.64%	0.28%	0.56%	0.0%	0.0%	0.57%	0.0%	0.0%	0.40%	0.0%	0.8%	0.0%	0.0%	0.0%	0.0%	0.42%	0.43%	0.68%	0.70%	0.0%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	14	3	4	0	0	0	0	0	0	1	0	1	0	0	0	1	3	1	0	0	0	0	0	0					
		0.21%	0.34%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.94%	0.0%	0.18%	0.0%	0.0%	0.0%	0.45%	1.21%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	14	1	4	2	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1					
		0.21%	0.11%	0.43%	0.56%	0.28%	1.01%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.43%	0.0%	0.35%	0.0%	0.0%	0.44%					
24	"7. ""Новый курс - Автомобильная Россия"""	30	6	3	4	1	0	2	0	0	1	0	4	1	1	0	0	0	2	2	1	0	1	1	0					
		0.45%	0.68%	0.32%	1.13%	0.28%	0.0%	1.16%	0.0%	0.0%	0.94%	0.0%	0.73%	0.8%	0.51%	0.0%	0.0%	0.0%	0.42%	0.87%	0.68%	0.0%	0.48%	0.54%	0.0%					
25	"8. ""Народно-республиканская партия России"""	10	0	3	0	0	2	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1					
		0.15%	0.0%	0.32%	0.0%	0.0%	2.02%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.8%	0.0%	0.0%	0.0%	0.0%	0.21%	0.43%	0.0%	0.0%	0.0%	0.0%	0.44%					
26	"9. ""Российская экологическая партия ""Зеленые"""	8	1	1	2	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0					
		0.12%	0.11%	0.10%	0.56%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.48%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	528	60	56	29	18	9	19	12	15	10	21	38	7	25	1	22	36	55	13	10	34	11	9	18					
		7.99%	6.86%	6.06%	8.21%	5.05%	9.09%	11.04%	6.85%	9.37%	9.43%	8.43%	6.97%	5.6%	12.75%	1.51%	10.04%	14.57%	11.77%	5.70%	6.80%	12.05%	5.28%	4.91%	7.92%					
28	"11. ""Истинные патриоты России"""	16	2	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	4	3	1	2	0	0	1					
		0.24%	0.22%	0.0%	0.0%	0.56%	0.0%	0.0%	0.0%	0.0%	0.0%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.85%	1.31%	0.68%	0.70%	0.0%	0.0%	0.44%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	35	6	6	3	4	0	1	0	2	0	1	0	2	1	0	1	3	3	2	0	0	0	0	0					
		0.52%	0.68%	0.64%	0.84%	1.12%	0.0%	0.58%	0.0%	1.25%	0.0%	0.40%	0.0%	1.6%	0.51%	0.0%	0.45%	1.21%	0.64%	0.87%	0.0%	0.0%	0.0%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	16	6	2	0	0	0	0	0	2	1	2	0	1	0	0	0	0	1	0	0	1	0	0	0					
		0.24%	0.68%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	1.25%	0.94%	0.80%	0.0%	0.8%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	12	5	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
		0.18%	0.57%	0.32%	0.56%	0.0%	1.01%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	4	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
