Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																			
Дата голосования: 07.12.2003 0:00:00																																																			
																																																			
"Наименование Избирательной комиссии:    Самара, Железнодорожная"																																																			
																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																			
																																																			
		Сумма	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830					
1	"Число избирателей, внесенных в списки"	81479	1433	1067	1507	2041	1947	1739	2204	1977	1420	2268	2080	1815	2012	2230	2359	1988	1706	1213	1863	1556	2630	2426	2028	2289	2160	1752	1647	1595	1241	1624	1563	1774	1472	1309	1530	1515	2612	1577	1396	2121	2007	1590	2309	2887					
2	"Число бюллетеней, полученных участковыми комиссиями"	76300	1300	1000	1400	2000	1800	1700	2000	1900	1300	2100	1900	1700	1900	2100	2300	1800	1600	1100	1700	1400	2400	2300	2000	2200	2000	1600	1600	1500	1100	1500	1500	1700	1400	1200	1500	1400	2500	1500	1300	2000	1900	1500	2100	2600					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	37043	367	345	703	974	724	875	1033	895	792	1068	910	823	897	1112	1096	984	810	357	853	808	1407	1371	908	1049	1033	807	827	821	658	758	725	860	821	684	666	733	1002	762	633	1013	888	493	753	945					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1898	7	10	17	83	30	28	53	34	33	49	24	39	26	28	38	24	39	27	35	51	47	34	46	89	36	33	61	43	31	30	43	39	23	47	60	45	76	40	34	170	84	55	19	38					
6	Число погашенных бюллетеней	37359	926	645	680	943	1046	797	914	971	475	983	966	838	977	960	1166	792	751	716	812	541	946	895	1046	1062	931	760	712	636	411	712	732	801	556	469	774	622	1422	698	633	817	928	952	1328	1617					
7	Число бюллетеней в переносных ящиках для голосования	1898	7	10	17	83	30	28	53	34	33	49	24	39	26	28	38	24	39	27	35	51	47	34	46	89	36	33	61	43	31	30	43	39	23	47	60	45	76	40	34	170	84	55	19	38					
8	Число бюллетеней в стационарных ящиках для голосования	37023	367	345	702	974	724	875	1033	895	792	1066	910	823	897	1112	1092	984	810	357	852	808	1407	1370	908	1044	1033	807	827	821	657	758	725	858	820	684	666	733	1002	762	632	1013	888	492	753	945					
9	Число недействительных бюллетеней	376	0	10	4	10	0	6	5	5	6	17	9	3	9	5	8	4	13	11	10	8	5	12	9	9	14	7	3	10	3	15	12	15	14	9	2	6	13	18	7	9	14	4	10	13					
10	Число действительных бюллетеней	38545	374	345	715	1047	754	897	1081	924	819	1098	925	859	914	1135	1122	1004	836	373	877	851	1449	1392	945	1124	1055	833	885	854	685	773	756	882	829	722	724	772	1065	784	659	1174	958	543	762	970					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	787	14	15	15	25	22	22	25	15	12	18	14	14	8	25	25	15	15	15	15	15	25	54	25	18	12	15	15	25	15	15	15	15	15	15	15	15	25	15	15	25	15	15	4	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	505	3	5	9	25	16	20	17	9	11	17	13	8	6	20	21	15	9	2	11	9	16	46	10	18	10	5	9	10	7	8	8	11	6	9	10	7	10	5	10	8	13	4	1	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	331	8	8	6	25	9	13	10	6	9	1	9	4	16	17	5	8	6	5	4	2	10	13	8	8	9	5	4	8	5	6	6	6	4	8	1	8	5	11	3	12	5	3	7	5					
14	Число погашенных открепительных удостоверений	282	11	10	6	0	6	2	8	6	1	1	1	6	2	5	4	0	6	13	4	6	9	8	15	0	2	10	6	15	8	7	7	4	9	6	5	8	15	10	5	17	2	11	3	2					
15	Число открепительных удостоверений выданных ТИК	13	0	0	0	0	2	0	2	0	0	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																			
18	"1. ""ЕДИНЕНИЕ"""	352	5	5	10	6	4	6	9	6	4	5	10	7	4	15	2	4	6	9	3	3	10	6	9	16	11	17	14	5	4	5	12	5	5	5	3	9	9	11	7	25	17	7	6	11					
		0.90%	1.33%	1.40%	1.39%	0.56%	0.53%	0.66%	0.82%	0.64%	0.48%	0.44%	1.07%	0.81%	0.43%	1.31%	0.17%	0.39%	0.70%	2.34%	0.33%	0.34%	0.68%	0.42%	0.94%	1.41%	1.02%	2.02%	1.57%	0.57%	0.58%	0.63%	1.56%	0.55%	0.59%	0.68%	0.41%	1.15%	0.83%	1.37%	1.05%	2.11%	1.74%	1.27%	0.77%	1.11%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1849	20	8	53	75	93	56	48	59	36	62	46	45	66	72	53	53	51	14	36	39	94	74	32	26	43	24	30	43	19	39	30	38	45	22	30	29	51	18	25	46	46	11	25	24					
		4.75%	5.34%	2.25%	7.37%	7.09%	12.33%	6.20%	4.41%	6.35%	4.36%	5.56%	4.92%	5.22%	7.15%	6.31%	4.69%	5.25%	6.00%	3.64%	4.05%	4.54%	6.46%	5.27%	3.35%	2.29%	4.02%	2.85%	3.37%	4.97%	2.76%	4.94%	3.90%	4.23%	5.33%	3.00%	4.13%	3.72%	4.73%	2.24%	3.75%	3.88%	4.73%	2.01%	3.23%	2.44%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1808	27	19	12	56	25	35	47	29	40	45	24	30	20	43	46	40	28	18	35	59	54	37	64	57	55	52	61	32	49	51	58	43	48	36	42	42	55	47	39	67	40	21	38	42					
		4.64%	7.21%	5.35%	1.66%	5.29%	3.31%	3.87%	4.32%	3.12%	4.84%	4.03%	2.56%	3.48%	2.16%	3.77%	4.07%	3.96%	3.29%	4.68%	3.94%	6.86%	3.71%	2.63%	6.70%	5.03%	5.14%	6.19%	6.86%	3.70%	7.12%	6.47%	7.55%	4.79%	5.69%	4.92%	5.78%	5.39%	5.10%	5.86%	5.85%	5.66%	4.11%	3.83%	4.92%	4.27%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	2476	7	11	50	80	58	52	74	72	55	90	67	47	59	106	65	88	66	17	38	73	105	81	42	64	45	49	51	55	50	59	46	58	35	40	53	56	70	50	37	86	75	29	25	40					
		6.36%	1.87%	3.09%	6.95%	7.56%	7.69%	5.75%	6.81%	7.75%	6.66%	8.07%	7.17%	5.45%	6.39%	9.29%	5.75%	8.73%	7.77%	4.42%	4.28%	8.49%	7.22%	5.76%	4.40%	5.64%	4.20%	5.83%	5.74%	6.36%	7.26%	7.48%	5.98%	6.46%	4.15%	5.47%	7.30%	7.19%	6.49%	6.23%	5.55%	7.26%	7.71%	5.30%	3.23%	4.06%					
22	"5. ""За Русь Святую"""	207	2	1	3	3	2	8	8	4	5	3	3	5	8	1	7	3	3	2	8	6	4	11	9	4	8	7	8	5	5	2	5	2	2	1	3	9	5	7	3	4	6	0	5	7					
		0.53%	0.53%	0.28%	0.41%	0.28%	0.26%	0.88%	0.73%	0.43%	0.60%	0.26%	0.32%	0.58%	0.86%	0.08%	0.61%	0.29%	0.35%	0.52%	0.90%	0.69%	0.27%	0.78%	0.94%	0.35%	0.74%	0.83%	0.90%	0.57%	0.72%	0.25%	0.65%	0.22%	0.23%	0.13%	0.41%	1.15%	0.46%	0.87%	0.45%	0.33%	0.61%	0.0%	0.64%	0.71%					
