Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																
Дата голосования: 04.12.2011																
																
Наименование Избирательной комиссии:    Губкинская городская																
																
Сводная таблица результатов выборов																
																
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9					
1	"Число избирателей, внесенных в список избирателей"	15448	2216	2312	1916	809	1635	1609	1617	1317	2017					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16200	2300	2400	2000	900	1700	1700	1700	1400	2100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	11888	1631	1743	1338	673	1252	1154	1471	1140	1486					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	106	5	6	3	3	72	3	5	5	4					
6	Число погашенных избирательных бюллетеней	4206	664	651	659	224	376	543	224	255	610					
7	Число избирательных бюллетеней в переносных ящиках для голосования	106	5	6	3	3	72	3	5	5	4					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11873	1630	1737	1338	670	1252	1154	1466	1140	1486					
9	Число недействительных избирательных бюллетеней	147	14	22	20	10	15	10	24	16	16					
10	Число действительных избирательных бюллетеней	11832	1621	1721	1321	663	1309	1147	1447	1129	1474					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	380	50	50	50	30	40	30	40	40	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	91	17	16	13	6	5	3	9	12	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	170	15	9	9	3	83	2	21	16	12					
14	Число погашенных неиспользованных открепительных удостоверений	289	33	34	37	24	35	27	31	28	40					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	110	15	26	11	8	7	7	13	10	13					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0					
																
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	676	42	158	89	28	93	73	56	33	104					
		5.64%	2.57%	9.06%	6.64%	4.16%	7.02%	6.31%	3.81%	2.88%	6.98%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1524	128	235	192	85	189	165	204	125	201					
		12.72%	7.83%	13.48%	14.32%	12.63%	14.27%	14.26%	13.87%	10.92%	13.49%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	121	28	15	9	8	8	9	18	10	16					
		1.01%	1.71%	0.86%	0.67%	1.19%	0.60%	0.78%	1.22%	0.87%	1.07%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1458	248	211	142	85	138	120	203	122	189					
		12.17%	15.17%	12.11%	10.59%	12.63%	10.42%	10.37%	13.80%	10.66%	12.68%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	224	31	44	14	9	18	18	42	10	38					
		1.87%	1.90%	2.52%	1.04%	1.34%	1.36%	1.56%	2.86%	0.87%	2.55%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7761	1139	1049	861	447	858	753	916	824	914					
		64.79%	69.66%	60.18%	64.21%	66.42%	64.80%	65.08%	62.27%	71.97%	61.34%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	68	5	9	14	1	5	9	8	5	12					
		0.57%	0.31%	0.52%	1.04%	0.15%	0.38%	0.78%	0.54%	0.44%	0.81%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
