Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Мазановская																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10321	533	1178	1474	580	156	226	219	39	157	391	95	212	148	324	439	648	73	174	140	35	40	450	114	172	83	247	288	55	81	94	53	750	307	346									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10420	530	1200	1490	580	150	225	220	50	170	390	95	220	160	340	450	650	75	180	140	35	40	450	115	170	85	245	290	60	85	95	55	730	310	340									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	94	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4282	153	379	435	145	79	91	136	30	119	177	38	121	24	256	213	263	39	88	50	23	32	209	51	81	36	140	156	40	53	61	35	280	106	143									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	433	9	21	143	5	3	13	10	1	12	20	7	8	0	10	20	10	3	11	9	0	0	7	4	10	3	12	5	0	5	0	2	30	18	22									
6	Число погашенных избирательных бюллетеней	5611	368	800	912	430	68	121	74	19	39	193	50	91	42	74	217	377	33	81	81	12	8	234	60	79	46	93	129	20	27	34	18	420	186	175									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	527	9	21	143	5	3	13	10	1	12	20	7	8	94	10	20	10	3	11	9	0	0	7	4	10	3	12	5	0	5	0	2	30	18	22									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4282	153	379	435	145	79	91	136	30	119	177	38	121	24	256	213	263	39	88	50	23	32	209	51	81	36	140	156	40	53	61	35	280	106	143									
9	Число недействительных избирательных бюллетеней	206	3	14	5	3	4	4	5	0	6	21	3	29	0	13	20	19	1	2	2	0	0	5	3	3	4	10	9	0	0	2	1	7	4	4									
10	Число действительных избирательных бюллетеней	4603	159	386	573	147	78	100	141	31	125	176	42	100	118	253	213	254	41	97	57	23	32	211	52	88	35	142	152	40	58	59	36	303	120	161									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	192	10	27	21	10	5	5	5	2	5	5	2	5	5	5	10	10	2	2	2	2	2	5	5	5	5	5	5	2	2	2	2	2	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	85	6	26	16	9	0	0	0	0	4	0	0	5	0	2	10	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	64	1	1	1	0	2	2	3	2	1	2	2	4	0	1	1	3	2	2	2	3	2	1	2	1	2	2	2	2	2	2	1	6	2	2									
14	Число погашенных неиспользованных открепительных удостоверений	107	4	1	5	1	5	5	5	2	1	5	2	0	5	3	0	6	2	2	2	2	2	5	5	5	5	4	5	2	2	2	1	1	5	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	1	3	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	45	2	5	9	0	0	0	2	1	3	2	1	0	0	2	1	1	2	0	1	0	0	2	0	0	0	1	2	0	0	0	1	2	2	3									
		0.94%	1.23%	1.25%	1.56%	0.00%	0.00%	0.00%	1.37%	3.23%	2.29%	1.02%	2.22%	0.00%	0.00%	0.75%	0.43%	0.37%	4.76%	0.00%	1.69%	0.00%	0.00%	0.93%	0.00%	0.00%	0.00%	0.66%	1.24%	0.00%	0.00%	0.00%	2.70%	0.65%	1.61%	1.82%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	125	1	11	18	4	1	6	4	0	4	8	7	6	3	3	5	3	1	6	2	3	0	5	1	3	0	0	4	0	1	0	0	4	3	8									
		2.60%	0.62%	2.75%	3.11%	2.67%	1.22%	5.77%	2.74%	0.00%	3.05%	4.06%	15.56%	4.65%	2.54%	1.13%	2.15%	1.10%	2.38%	6.06%	3.39%	13.04%	0.00%	2.31%	1.82%	3.30%	0.00%	0.00%	2.48%	0.00%	1.72%	0.00%	0.00%	1.29%	2.42%	4.85%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	134	6	15	24	2	5	1	1	0	2	1	0	5	4	5	10	13	2	5	0	0	0	4	1	1	0	3	4	1	0	1	0	9	2	7									
		2.79%	3.70%	3.75%	4.15%	1.33%	6.10%	0.96%	0.68%	0.00%	1.53%	0.51%	0.00%	3.88%	3.39%	1.88%	4.29%	4.76%	4.76%	5.05%	0.00%	0.00%	0.00%	1.85%	1.82%	1.10%	0.00%	1.97%	2.48%	2.50%	0.00%	1.64%	0.00%	2.90%	1.61%	4.24%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2235	63	129	254	49	24	54	79	17	88	119	23	69	62	155	105	100	23	56	31	17	8	74	38	53	9	106	77	34	18	45	19	123	53	61									
		46.48%	38.89%	32.25%	43.94%	32.67%	29.27%	51.92%	54.11%	54.84%	67.18%	60.41%	51.11%	53.49%	52.54%	58.27%	45.06%	36.63%	54.76%	56.57%	52.54%	73.91%	25.00%	34.26%	69.09%	58.24%	23.08%	69.74%	47.83%	85.00%	31.03%	73.77%	51.35%	39.68%	42.74%	36.97%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	19	0	1	5	0	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	3	0	1	0	0	1	0	0	0	0	1	1	1									
		0.40%	0.00%	0.25%	0.87%	0.00%	0.00%	0.96%	0.00%	0.00%	0.76%	0.51%	0.00%	0.00%	0.85%	0.00%	0.00%	0.00%	0.00%	1.01%	0.00%	0.00%	0.00%	1.39%	0.00%	1.10%	0.00%	0.00%	0.62%	0.00%	0.00%	0.00%	0.00%	0.32%	0.81%	0.61%									
24	"6. Политическая партия ""Гражданская Платформа"""	8	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1									
		0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.96%	0.00%	0.00%	0.76%	0.51%	0.00%	0.00%	0.00%	0.00%	0.43%	0.37%	0.00%	0.00%	1.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.81%	0.61%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1203	50	129	147	57	19	18	30	6	14	28	4	9	36	42	52	81	12	22	14	3	23	83	6	19	20	19	25	4	31	8	11	98	35	48									
		25.02%	30.86%	32.25%	25.43%	38.00%	23.17%	17.31%	20.55%	19.35%	10.69%	14.21%	8.89%	6.98%	30.51%	15.79%	22.32%	29.67%	28.57%	22.22%	23.73%	13.04%	71.88%	38.43%	10.91%	20.88%	51.28%	12.50%	15.53%	10.00%	53.45%	13.11%	29.73%	31.61%	28.23%	29.09%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	13	1	2	3	0	0	0	1	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1									
