Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																	
Дата голосования: 04.12.2011																																																	
																																																	
Наименование Избирательной комиссии:    Сулейман-Стальская																																																	
																																																	
Сводная таблица результатов выборов																																																	
																																																	
		Сумма	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318					
1	"Число избирателей, внесенных в список избирателей"	39147	1844	2479	2367	1714	698	385	2030	2035	2041	1241	2317	1039	2336	2574	1172	1752	1285	793	160	1260	791	805	365	724	562	389	185	194	474	283	187	137	199	142	349	334	228	129	119	236	571	222					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	35000	1716	2247	2239	1586	620	325	1891	1893	1986	1130	2144	885	2124	2349	1014	1574	1227	667	120	1160	707	667	276	595	418	286	112	132	373	238	144	95	156	101	301	282	179	86	77	194	505	179					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	34985	1715	2243	2237	1586	620	325	1890	1892	1985	1130	2143	885	2123	2348	1014	1573	1226	667	120	1160	707	667	276	595	418	286	112	132	373	238	144	95	156	101	301	282	179	86	77	194	505	179					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	15	1	4	2	0	0	0	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	34985	1715	2243	2237	1586	620	325	1890	1892	1985	1130	2143	885	2123	2348	1014	1573	1226	667	120	1160	707	667	276	595	418	286	112	132	373	238	144	95	156	101	301	282	179	86	77	194	505	179					
9	Число недействительных избирательных бюллетеней	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	34983	1715	2242	2236	1586	620	325	1890	1892	1985	1130	2143	885	2123	2348	1014	1573	1226	667	120	1160	707	667	276	595	418	286	112	132	373	238	144	95	156	101	301	282	179	86	77	194	505	179					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	205	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	5	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	19	0	0	4	2	0	0	1	0	0	0	0	0	4	0	0	1	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	186	5	5	1	3	5	5	4	5	5	5	5	5	1	5	5	4	3	5	3	2	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	5	5	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	44	3	3	3	2	1	1	2	3	2	1	2	1	2	3	1	1	2	1	0	2	1	1	0	1	0	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0					
		0.13%	0.17%	0.13%	0.13%	0.13%	0.16%	0.31%	0.11%	0.16%	0.10%	0.09%	0.09%	0.11%	0.09%	0.13%	0.10%	0.06%	0.16%	0.15%	0.00%	0.17%	0.14%	0.15%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.69%	1.05%	0.00%	0.00%	0.00%	0.35%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	11	0	0	1	1	0	0	2	0	1	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.03%	0.00%	0.00%	0.04%	0.06%	0.00%	0.00%	0.11%	0.00%	0.05%	0.09%	0.05%	0.00%	0.05%	0.04%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	67	3	5	4	2	1	0	2	3	3	2	4	2	4	4	2	3	3	2	1	2	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	0	0	0	1	1	1					
		0.19%	0.17%	0.22%	0.18%	0.13%	0.16%	0.00%	0.11%	0.16%	0.15%	0.18%	0.19%	0.23%	0.19%	0.17%	0.20%	0.19%	0.24%	0.30%	0.83%	0.17%	0.14%	0.15%	0.36%	0.17%	0.24%	0.35%	0.00%	0.76%	0.27%	0.42%	0.69%	0.00%	0.64%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.52%	0.20%	0.56%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2752	135	176	176	125	49	26	149	149	156	89	169	70	167	185	80	124	96	52	9	91	56	52	22	47	33	23	9	10	29	19	10	7	12	8	24	22	14	7	6	15	40	14					
		7.87%	7.87%	7.85%	7.87%	7.88%	7.90%	8.00%	7.88%	7.88%	7.86%	7.88%	7.89%	7.91%	7.87%	7.88%	7.89%	7.88%	7.83%	7.80%	7.50%	7.84%	7.92%	7.80%	7.97%	7.90%	7.89%	8.04%	8.04%	7.58%	7.77%	7.98%	6.94%	7.37%	7.69%	7.92%	7.97%	7.80%	7.82%	8.14%	7.79%	7.73%	7.92%	7.82%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	5	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.05%	0.05%	0.00%	0.00%	0.00%	0.05%	0.00%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	32104	1574	2058	2052	1456	569	298	1735	1736	1822	1037	1967	812	1948	2155	930	1444	1125	612	110	1065	649	612	253	546	384	262	103	121	342	218	132	87	143	93	276	259	164	79	71	178	463	164					
		91.77%	91.78%	91.75%	91.73%	91.80%	91.77%	91.69%	91.80%	91.75%	91.79%	91.77%	91.79%	91.75%	91.76%	91.78%	91.72%	91.80%	91.76%	91.75%	91.67%	91.81%	91.80%	91.75%	91.67%	91.76%	91.87%	91.61%	91.96%	91.67%	91.69%	91.60%	91.67%	91.58%	91.67%	92.08%	91.69%	91.84%	91.62%	91.86%	92.21%	91.75%	91.68%	91.62%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
