Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																			
Дата голосования: 07.12.2003 0:00:00																																																																																			
																																																																																			
Наименование Избирательной комиссии:    Кстовская 																																																																																			
																																																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																			
																																																																																			
		Сумма	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130					
1	"Число избирателей, внесенных в списки"	90435	1497	1367	1450	1187	1718	2217	1865	1828	1949	1859	1928	1223	1862	1518	1578	1914	1254	1611	1895	1519	2019	1611	2019	2193	1714	1785	2659	1070	1018	2489	275	296	417	536	467	2164	441	389	2737	376	1483	1606	1082	1767	1100	2177	1359	254	116	259	1775	588	263	371	300	315	79	2115	301	253	1779	1824	1465	314	136	64	389	1072	1871	240	712	316	1429	215	187	945					
2	"Число бюллетеней, полученных участковыми комиссиями"	80810	1340	1200	1300	1170	1350	1980	1680	1690	1740	1650	1740	1100	1690	1360	1420	1720	1100	1450	1700	1350	1800	1450	1820	1980	1540	1600	2360	960	900	2230	240	260	370	470	400	1940	380	350	2460	330	1300	1440	1030	1590	980	1900	1220	220	100	230	1600	520	230	330	260	270	70	1900	270	220	1600	1640	1320	280	100	50	340	960	1680	210	630	270	1280	190	160	850					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	37850	524	508	470	761	854	1047	786	700	898	811	913	517	967	703	787	976	547	599	879	659	851	754	833	933	839	878	1121	474	469	964	39	97	151	157	186	820	187	129	1038	128	561	647	432	655	345	1039	509	72	31	138	754	275	119	180	147	102	31	778	106	124	648	653	600	114	69	30	157	352	608	91	394	62	595	15	109	354					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1534	27	3	8	14	28	4	13	6	8	7	6	22	29	28	11	27	6	19	27	14	22	27	18	8	4	14	8	4	19	12	84	0	2	0	45	54	0	5	7	30	18	26	17	0	38	16	28	9	29	20	8	14	8	13	11	30	17	16	5	0	79	10	16	5	16	0	49	36	81	0	19	45	12	108	18	47					
6	Число погашенных бюллетеней	41426	789	689	822	395	468	929	881	984	834	832	821	561	694	629	622	717	547	832	794	677	927	669	969	1039	697	708	1231	482	412	1254	117	163	217	313	169	1066	193	216	1415	172	721	767	581	935	597	845	683	139	40	72	838	231	103	137	102	138	22	1106	159	96	873	977	704	161	15	20	134	572	991	119	217	163	673	67	33	449					
7	Число бюллетеней в переносных ящиках для голосования	1533	27	3	8	14	28	4	13	6	8	7	6	22	29	28	11	27	6	19	27	14	22	27	18	8	4	14	8	3	19	12	84	0	2	0	45	54	0	5	7	30	18	26	17	0	38	16	28	9	29	20	8	14	8	13	11	30	17	16	5	0	79	10	16	5	16	0	49	36	81	0	19	45	12	108	18	47					
8	Число бюллетеней в стационарных ящиках для голосования	37843	524	508	470	760	854	1047	786	699	897	810	913	517	967	703	787	976	547	599	879	657	851	754	833	932	839	878	1121	474	469	964	39	97	151	157	186	820	187	129	1038	128	561	647	432	655	345	1039	509	72	31	138	754	275	119	180	147	102	31	778	106	124	648	653	600	114	69	30	157	352	608	91	394	62	595	15	109	354					
9	Число недействительных бюллетеней	553	11	10	5	8	10	7	10	11	5	4	14	16	6	10	7	23	6	8	7	4	9	17	10	7	5	14	9	3	4	18	4	0	0	3	14	24	5	4	9	2	18	13	5	8	7	0	9	0	3	3	9	2	4	2	5	2	4	9	3	5	20	11	10	12	1	0	10	4	14	0	0	1	7	2	2	5					
10	Число действительных бюллетеней	38823	540	501	473	766	872	1044	789	694	900	813	905	523	990	721	791	980	547	610	899	667	864	764	841	933	838	878	1120	474	484	958	119	97	153	154	217	850	182	130	1036	156	561	660	444	647	376	1055	528	81	57	155	753	287	123	191	153	130	44	785	108	119	707	652	606	107	84	30	196	384	675	91	413	106	600	121	125	396					
