Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																															
Дата голосования: 07.12.2003 0:00:00																																															
																																															
Наименование Избирательной комиссии:    Яранская																																															
																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																															
																																															
		Сумма	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338					
1	"Число избирателей, внесенных в списки"	27068	841	1578	1331	1161	389	1764	2033	1331	600	503	1079	2009	1633	187	183	259	271	607	711	275	254	451	412	488	277	331	263	419	311	574	250	739	475	444	327	749	484	323	445	307					
2	"Число бюллетеней, полученных участковыми комиссиями"	26677	800	1490	1250	1100	380	1700	1950	1210	570	460	1120	1925	1570	182	370	261	272	588	725	278	263	451	426	502	277	339	275	444	318	576	250	750	482	447	337	753	496	312	451	327					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12960	379	693	575	534	227	777	1050	622	283	206	451	919	791	182	169	149	123	336	228	150	125	200	186	205	154	157	117	229	159	313	148	417	212	194	176	363	220	204	215	122					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1169	10	0	9	10	3	21	25	122	6	4	4	34	23	0	0	8	72	24	47	3	18	19	122	66	26	56	26	63	14	7	12	20	82	19	32	9	35	26	76	16					
6	Число погашенных бюллетеней	12548	411	797	666	556	150	902	875	466	281	250	665	972	756	0	201	104	77	228	450	125	120	232	118	231	97	126	132	152	145	256	90	313	188	234	129	381	241	82	160	189					
7	Число бюллетеней в переносных ящиках для голосования	1169	10	0	9	10	3	21	25	122	6	4	4	34	23	0	0	8	72	24	47	3	18	19	122	66	26	56	26	63	14	7	12	20	82	19	32	9	35	26	76	16					
8	Число бюллетеней в стационарных ящиках для голосования	12940	379	693	574	534	227	777	1036	621	283	206	450	918	791	182	169	149	123	336	228	150	125	199	186	205	154	157	117	229	159	313	148	417	212	194	176	363	220	203	215	122					
9	Число недействительных бюллетеней	245	13	6	12	9	7	15	9	10	5	4	13	3	10	18	2	4	3	0	3	1	1	9	4	9	0	7	8	2	3	8	6	7	10	4	1	3	1	5	6	4					
10	Число действительных бюллетеней	13864	376	687	571	535	223	783	1052	733	284	206	441	949	804	164	167	153	192	360	272	152	142	209	304	262	180	206	135	290	170	312	154	430	284	209	207	369	254	224	285	134					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	319	13	19	19	19	10	19	19	19	9	10	10	19	14	0	0	4	4	24	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	73	3	2	1	3	0	8	5	4	3	1	7	5	3	0	0	1	0	1	1	0	4	3	3	3	0	0	0	4	0	1	0	0	0	0	0	0	4	0	1	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	86	0	3	1	0	0	1	3	57	1	1	1	0	3	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	4	2	1	0	2					
14	Число погашенных открепительных удостоверений	246	10	17	18	16	10	11	14	15	6	9	3	14	11	0	0	3	4	23	3	4	0	1	1	1	4	4	4	0	4	3	4	4	4	4	4	4	0	4	3	2					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																															
18	"1. ""ЕДИНЕНИЕ"""	170	7	7	3	9	3	9	5	4	4	2	6	4	4	2	4	2	1	1	2	2	3	4	7	7	2	2	4	4	6	3	4	11	9	0	2	2	6	10	2	1					
		1.20%	1.79%	1.01%	0.51%	1.65%	1.30%	1.12%	0.47%	0.53%	1.38%	0.95%	1.32%	0.42%	0.49%	1.09%	2.36%	1.27%	0.51%	0.27%	0.72%	1.30%	2.09%	1.83%	2.27%	2.58%	1.11%	0.93%	2.79%	1.36%	3.46%	0.93%	2.5%	2.51%	3.06%	0.0%	0.96%	0.53%	2.35%	4.36%	0.68%	0.72%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	152	1	12	9	3	3	21	26	14	3	0	5	10	9	1	0	0	3	3	3	1	0	1	1	2	0	1	2	2	0	1	0	2	5	0	0	2	1	1	3	1					
		1.07%	0.25%	1.73%	1.54%	0.55%	1.30%	2.63%	2.45%	1.88%	1.03%	0.0%	1.10%	1.05%	1.10%	0.54%	0.0%	0.0%	1.53%	0.83%	1.09%	0.65%	0.0%	0.45%	0.32%	0.73%	0.0%	0.46%	1.39%	0.68%	0.0%	0.31%	0.0%	0.45%	1.70%	0.0%	0.0%	0.53%	0.39%	0.43%	1.03%	0.72%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	388	11	17	5	13	7	21	28	9	6	4	12	19	14	13	4	1	4	18	9	6	6	7	13	7	6	8	2	17	5	3	7	10	17	12	6	17	8	1	13	2					
		2.75%	2.82%	2.45%	0.85%	2.38%	3.04%	2.63%	2.63%	1.21%	2.07%	1.90%	2.64%	1.99%	1.71%	7.14%	2.36%	0.63%	2.05%	5.0%	3.27%	3.92%	4.19%	3.21%	4.22%	2.58%	3.33%	3.75%	1.39%	5.82%	2.89%	0.93%	4.37%	2.28%	5.78%	5.63%	2.88%	4.56%	3.13%	0.43%	4.46%	1.44%					
