Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																						
Дата голосования: 02.12.2007																																						
																																						
Наименование Избирательной комиссии:    Зарайская																																						
																																						
Сводная таблица результатов выборов																																						
																																						
		Сумма	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609					
1	"Число избирателей, внесенных в списки избирателей"	34509	807	1098	1103	1063	965	1255	1128	540	865	1602	2381	1393	1710	1092	956	1637	1490	878	1222	892	1228	1398	586	766	1290	534	769	1079	1355	530	897					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	31920	720	1010	990	980	870	1140	920	490	790	1470	2160	1280	1560	990	870	1500	1330	870	1190	850	1190	1350	570	730	1200	500	720	1020	1280	510	870					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	17708	445	491	550	424	384	609	444	267	411	840	1325	856	959	638	520	817	755	469	729	558	765	700	289	435	578	164	360	517	622	277	510					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3884	45	76	79	110	72	63	178	41	87	84	69	73	129	39	56	83	73	236	264	167	234	143	105	114	292	203	146	105	282	86	150					
6	Число погашенных избирательных бюллетеней	10328	230	443	361	446	414	468	298	182	292	546	766	351	472	313	294	600	502	165	197	125	191	507	176	181	330	133	214	398	376	147	210					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3884	45	76	79	110	72	63	178	41	87	84	69	73	129	39	56	83	73	236	264	167	234	143	105	114	292	203	146	105	282	86	150					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17708	445	491	550	424	384	609	444	267	411	840	1325	856	959	638	520	817	755	469	729	558	765	700	289	435	578	164	360	517	622	277	510					
9	Число недействительных избирательных бюллетеней	194	3	8	2	7	4	6	6	2	5	12	13	15	10	7	1	7	10	3	6	5	9	15	3	2	2	4	5	9	7	0	6					
10	Число действительных избирательных бюллетеней	21398	487	559	627	527	452	666	616	306	493	912	1381	914	1078	670	575	893	818	702	987	720	990	828	391	547	868	363	501	613	897	363	654					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1060	6	20	10	9	11	6	5	8	21	23	20	15	27	13	16	34	10	77	105	50	90	92	68	37	40	15	35	40	59	30	68					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1046	5	20	7	9	11	6	5	8	21	23	20	15	27	13	16	34	10	77	97	50	90	91	68	37	39	15	35	40	59	30	68					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	263	2	3	9	6	9	6	35	5	6	8	14	3	15	6	14	8	33	0	13	4	10	8	3	2	5	6	3	5	8	3	11					
14	Число погашенных неиспользованных открепительных удостоверений	14	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	1	0	0	1	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	64	1	0	2	2	2	4	4	0	2	4	5	4	3	2	2	1	1	1	0	1	0	0	1	0	4	0	2	0	6	0	10					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																						
18	1.Политическая партия «Аграрная партия России»	659	10	8	19	19	14	27	19	12	15	23	32	16	34	17	8	28	25	23	41	34	32	36	8	20	21	8	15	25	36	18	16					
		3.05%	2.04%	1.41%	3.02%	3.56%	3.07%	4.02%	3.05%	3.90%	3.01%	2.49%	2.30%	1.72%	3.13%	2.51%	1.39%	3.11%	3.02%	3.26%	4.13%	4.69%	3.20%	4.27%	2.03%	3.64%	2.41%	2.18%	2.96%	4.02%	3.98%	4.96%	2.42%					
19	2.Всероссийская политическая партия «Гражданская Сила»	175	6	5	9	3	3	8	8	3	1	16	13	4	14	7	12	10	9	2	6	2	7	6	4	1	4	0	3	2	3	2	2					
		0.81%	1.22%	0.88%	1.43%	0.56%	0.66%	1.19%	1.29%	0.97%	0.20%	1.73%	0.93%	0.43%	1.29%	1.03%	2.08%	1.11%	1.09%	0.28%	0.60%	0.28%	0.70%	0.71%	1.02%	0.18%	0.46%	0.00%	0.59%	0.32%	0.33%	0.55%	0.30%					
20	3.Политическая партия «Демократическая партия России»	11	0	0	0	0	1	0	3	0	0	2	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0					
		0.05%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.48%	0.00%	0.00%	0.22%	0.00%	0.00%	0.09%	0.15%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	3188	67	72	92	81	71	99	102	50	63	149	250	130	166	118	101	175	155	90	94	77	98	131	42	75	143	25	100	106	102	52	112					
		14.76%	13.67%	12.70%	14.63%	15.17%	15.57%	14.73%	16.40%	16.23%	12.65%	16.13%	17.93%	13.99%	15.26%	17.43%	17.53%	19.44%	18.72%	12.77%	9.47%	10.62%	9.81%	15.54%	10.66%	13.66%	16.44%	6.81%	19.76%	17.04%	11.28%	14.33%	16.97%					
