Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																												
Дата голосования: 02.12.2007																																												
																																												
Наименование Избирательной комиссии:    Красночикойская																																												
																																												
Сводная таблица результатов выборов																																												
																																												
		Сумма	УИК №129	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №900	УИК №901	УИК №902					
1	"Число избирателей, внесенных в списки избирателей"	15615	115	127	539	517	154	566	143	291	110	92	409	104	434	757	2864	2513	518	71	247	265	277	205	374	128	537	297	135	97	178	447	69	247	1241	124	190	169	64					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	15606	115	123	521	513	155	564	144	293	112	92	402	105	426	748	2883	2502	512	72	254	273	278	202	374	129	540	294	131	99	177	442	72	253	1255	122	188	172	69					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	11	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10226	92	100	355	333	126	434	94	222	98	81	253	86	285	505	1635	1429	380	60	199	212	228	165	246	85	403	222	88	68	130	307	56	169	680	97	121	127	55					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1216	14	5	37	75	8	29	11	29	4	8	33	15	52	75	104	124	46	7	30	30	5	5	80	28	45	18	24	15	15	44	5	14	111	8	33	22	8					
6	Число погашенных избирательных бюллетеней	4153	9	18	118	105	21	101	39	42	10	3	116	4	89	168	1144	949	86	5	25	31	45	32	48	16	92	54	19	16	32	91	11	70	464	17	34	23	6					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1227	14	5	48	75	8	29	11	29	4	8	33	15	52	75	104	124	46	7	30	30	5	5	80	28	45	18	24	15	15	44	5	14	111	8	33	22	8					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10213	92	100	355	333	126	434	94	222	97	81	253	86	285	505	1633	1422	379	60	199	212	228	165	246	85	403	222	88	68	130	307	56	169	678	97	121	127	55					
9	Число недействительных избирательных бюллетеней	145	0	2	11	6	0	6	2	3	2	0	3	0	6	8	9	17	4	0	1	0	8	8	2	0	0	5	2	3	2	4	5	4	9	0	4	6	3					
10	Число действительных избирательных бюллетеней	11295	106	103	392	402	134	457	103	248	99	89	283	101	331	572	1728	1529	421	67	228	242	225	162	324	113	448	235	110	80	143	347	56	179	780	105	150	143	60					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	367	3	4	13	14	4	14	4	8	3	3	10	3	11	14	51	50	13	3	6	7	7	6	10	3	14	7	4	3	4	11	3	7	32	4	6	5	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	124	3	0	4	5	0	1	0	2	0	0	1	0	0	2	39	35	3	0	4	0	2	0	0	0	12	0	0	0	0	1	0	4	2	0	0	1	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	82	2	1	4	4	0	1	0	1	1	1	2	1	1	3	12	15	7	0	0	0	4	1	1	2	3	1	2	1	1	3	2	0	2	0	1	2	0					
14	Число погашенных неиспользованных открепительных удостоверений	243	0	4	9	9	4	13	4	6	3	3	9	3	11	12	12	15	10	3	2	7	5	6	10	3	2	7	4	3	4	10	3	3	30	4	6	4	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
