Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																					
Дата голосования: 18.09.2016																																																																																					
																																																																																					
"Наименование Избирательной комиссии:    Улан-Удэ, Октябрьская"																																																																																					
																																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																					
																																																																																					
		Сумма	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	133773	2071	1478	1396	2270	1270	2251	2681	2798	2938	2690	1914	2298	2660	1811	2275	2023	1997	2089	1399	1769	2348	2581	1598	2176	1456	1720	1599	1688	978	2052	2431	2066	2868	2543	2442	1858	2269	2560	2015	2117	2337	1808	2015	1799	2692	1151	1927	387	2560	2270	2061	2376	113	1693	908	2232	1816	1253	2114	2103	2245	2257	2574	2262	2469	1985	115	52	389	45	77	182	50	13									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	103492	1550	1250	1200	1700	1050	1700	2050	2100	2200	2050	1450	1700	2000	1350	1700	1550	1800	1550	1050	1300	1900	1950	1350	1800	1100	1300	1200	1250	700	1800	2000	1550	2150	1900	1850	1600	1700	1900	1800	1600	1900	1350	1600	1500	2000	900	1600	350	1950	1700	1500	1700	112	1250	650	1650	1350	850	1800	1800	1700	1700	1950	1700	1800	1500	115	51	397	45	77	182	50	13									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	50010	671	559	550	926	504	742	958	723	999	1014	448	739	699	357	645	960	724	920	586	685	960	878	1308	755	478	724	639	654	479	806	792	587	575	983	593	715	780	971	766	683	992	833	886	795	956	726	909	148	929	900	765	963	85	691	425	921	767	764	816	796	717	677	838	679	865	801	115	43	389	45	74	102	50	13									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1312	12	16	21	14	4	30	4	13	5	10	26	27	18	10	12	22	22	24	11	11	26	9	7	7	15	11	22	22	7	21	9	40	35	69	17	21	9	25	14	19	20	9	13	15	12	121	24	81	12	9	14	18	6	1	1	4	16	2	20	14	16	22	32	12	8	2	0	8	0	0	3	80	0	0									
6	Число погашенных избирательных бюллетеней	52170	867	675	629	760	542	928	1088	1364	1196	1026	976	934	1283	983	1043	568	1054	606	453	604	914	1063	35	1038	607	565	539	574	214	973	1199	923	1540	848	1240	864	911	904	1020	898	888	508	701	690	1032	53	667	121	1009	791	721	719	21	558	224	725	567	84	964	990	967	1001	1080	1009	927	697	0	0	8	0	0	0	0	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1311	12	16	21	14	4	30	4	13	5	10	26	27	18	10	12	22	22	24	11	11	25	9	7	7	15	11	22	22	7	21	9	40	35	69	17	21	9	25	14	19	20	9	13	15	12	121	24	81	12	9	14	18	6	1	1	4	16	2	20	14	16	22	32	12	8	2	0	8	0	0	3	80	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	49945	671	559	550	926	504	742	958	723	998	1014	448	739	699	357	645	915	724	918	586	685	959	878	1307	755	478	724	639	654	479	806	791	587	574	982	593	715	780	970	766	683	992	833	886	795	952	726	909	148	929	895	765	963	85	691	424	921	766	764	816	796	717	677	838	679	865	801	115	43	389	45	74	102	50	13									
9	Число недействительных избирательных бюллетеней	1284	22	8	10	14	12	16	24	18	18	24	12	19	21	16	21	0	15	20	22	20	23	27	33	17	11	21	15	10	10	11	15	13	19	35	19	14	9	21	13	12	18	14	18	12	22	16	27	31	24	30	23	22	3	26	19	23	23	18	12	19	13	33	18	8	19	11	0	1	14	1	2	83	1	0									
10	Число действительных избирательных бюллетеней	49972	661	567	561	926	496	756	938	718	985	1000	462	747	696	351	636	937	731	922	575	676	961	860	1281	745	482	714	646	666	476	816	785	614	590	1016	591	722	780	974	767	690	994	828	881	798	942	831	906	198	917	874	756	959	88	666	406	902	759	748	824	791	720	666	852	683	854	792	115	50	375	44	75	99	49	13									
