Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																	
Дата голосования: 18.09.2016																																																																																																	
																																																																																																	
"Наименование Избирательной комиссии:    Барнаул, Ленинская"																																																																																																	
																																																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																	
																																																																																																	
		Сумма	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №8081	УИК №8082	УИК №8112	УИК №8177	УИК №8229	УИК №8230	УИК №8231	УИК №8238	УИК №8239	УИК №8241	УИК №8242	УИК №8243	УИК №8244	УИК №8245	УИК №8246	УИК №8255	УИК №8256	УИК №8257	УИК №8258	УИК №8269	УИК №8292	УИК №8293	УИК №8294	УИК №8295	УИК №8334	УИК №8335	УИК №8336	УИК №8337	УИК №8367	УИК №8368	УИК №8369	УИК №8370									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	124949	2182	2266	2125	1964	1827	1823	2554	2376	2431	2179	2367	2162	2031	2176	2049	2177	2107	2002	2073	2513	2381	2408	2306	2547	2090	2649	2116	1973	2314	2071	1971	1946	2213	2334	2523	2597	2446	2611	1937	1516	1892	2071	2201	2138	1970	1793	965	2237	2027	2725	208	158	188	101	261	54	265	2107	530	94	328	343	327	381	240	298	369	68	110	446	90	160	64	5360	364	73	486	593	342	900	520	176	368	41	130	54									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	132461	1600	1700	1700	1500	1400	1400	1900	1800	1850	1600	1700	1600	1500	1600	1500	1600	1600	1500	1500	1900	1800	1800	1700	1950	1600	2000	1600	1500	1700	1600	1500	1500	1600	1700	1900	1900	1800	1900	1500	1200	1500	1500	1600	1600	1500	1300	700	1700	1500	2000	300	700	350	400	2840	525	3335	2230	1260	420	480	1600	743	1600	1000	590	2310	800	120	1900	1000	800	650	9730	1580	385	694	800	2100	2396	3190	1183	1810	380	830	330									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	5292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	23	141	0	0	0	0	0	0	0	0	23	0	5	0	0	0	0	4416	119	0	62	349	0	0	46	0	0	0	62	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	47936	732	825	718	690	705	700	1035	963	950	856	890	885	798	898	793	889	838	803	813	950	835	950	813	844	691	873	711	774	739	728	707	676	913	689	968	943	908	1076	735	563	723	759	777	640	654	485	184	875	610	1161	204	88	179	81	215	54	242	398	499	91	328	343	327	96	240	74	346	68	95	446	90	160	64	193	245	44	424	244	342	898	473	134	340	24	68	44									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1430	16	40	34	27	39	37	30	18	25	11	17	23	13	21	12	23	15	18	14	25	30	35	52	18	27	21	25	36	21	15	7	23	22	14	19	17	30	27	17	14	27	26	17	11	20	4	15	25	45	123	0	61	7	10	0	0	0	8	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	42	0	17	0	10									
6	Число погашенных избирательных бюллетеней	77803	852	835	948	783	656	663	835	819	875	733	793	692	689	681	695	688	747	679	673	925	935	815	835	1088	882	1106	864	690	940	857	786	801	665	997	913	940	862	797	748	623	750	715	806	949	826	811	501	800	845	716	96	551	164	309	2579	471	3070	1683	730	329	152	1257	416	1504	760	516	1941	732	20	1454	910	640	586	5121	1216	341	208	207	1758	1496	2670	1007	1470	339	700	276									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	6683	16	40	34	27	39	37	30	18	25	11	17	23	13	21	12	23	15	18	14	25	30	35	52	18	27	21	25	36	21	15	7	23	21	14	19	17	30	27	17	14	27	26	17	11	20	4	15	25	45	123	0	61	7	10	46	0	23	149	31	0	0	0	0	0	0	0	23	0	5	0	0	0	0	4378	119	0	62	349	0	2	47	42	0	17	62	10									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	47916	732	824	718	690	705	700	1035	963	950	855	890	885	797	896	793	889	838	803	810	950	832	950	813	844	691	873	711	774	739	727	707	676	912	689	968	943	908	1076	735	562	723	759	777	639	654	485	184	873	610	1161	204	88	179	81	215	54	242	397	499	91	328	343	327	96	240	74	346	68	95	446	90	160	64	193	245	44	424	244	342	898	472	134	339	24	68	44									
9	Число недействительных избирательных бюллетеней	1310	20	24	12	17	23	19	38	32	27	15	20	24	19	19	22	33	26	13	11	32	22	18	18	28	5	29	16	28	19	25	24	9	28	17	23	31	27	28	14	13	21	18	22	28	16	13	9	27	20	32	0	7	3	0	1	0	2	8	12	0	4	2	0	0	3	0	2	0	1	3	0	2	0	154	4	2	1	8	1	5	5	1	4	0	1	0									
10	Число действительных избирательных бюллетеней	53289	728	840	740	700	721	718	1027	949	948	851	887	884	791	898	783	879	827	808	813	943	840	967	847	834	713	865	720	782	741	717	690	690	905	686	964	929	911	1075	738	563	729	767	772	622	658	476	190	871	635	1252	204	142	183	91	260	54	263	538	518	91	324	341	327	96	237	74	367	68	99	443	90	158	64	4417	360	42	485	585	341	895	514	175	335	41	129	54									
