Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Холмская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №240	УИК №241	УИК №243	УИК №244	УИК №245	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №253	УИК №254	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №264	УИК №265	УИК №266	УИК №267	УИК №269	УИК №271									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	34468	154	2178	1115	1021	480	213	1183	226	531	1565	2005	854	2624	1787	1111	1886	1979	2210	1127	1972	806	2064	2179	1916	1282									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	34700	150	2200	1110	1010	450	200	1200	230	500	1550	2060	870	2650	1790	1150	1900	2050	2250	1150	2020	820	2110	2230	1900	1150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10406	44	664	257	406	189	72	380	56	112	405	531	243	621	484	334	571	605	643	329	1001	215	581	596	634	433									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	658	14	33	53	21	45	30	29	13	50	13	16	17	10	35	4	31	3	39	2	12	4	15	24	109	36									
6	Число погашенных избирательных бюллетеней	23636	92	1503	800	583	216	98	791	161	338	1132	1513	610	2019	1271	812	1298	1442	1568	819	1007	601	1514	1610	1157	681									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	658	14	33	53	21	45	30	29	13	50	13	16	17	10	35	4	31	3	39	2	12	4	15	24	109	36									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10405	44	664	257	406	189	72	380	56	112	405	531	243	621	484	334	571	605	643	329	1001	214	581	596	634	433									
9	Число недействительных избирательных бюллетеней	245	0	21	2	7	8	0	6	0	1	10	11	7	21	6	10	18	13	10	5	21	10	10	15	19	14									
10	Число действительных избирательных бюллетеней	10818	58	676	308	420	226	102	403	69	161	408	536	253	610	513	328	584	595	672	326	992	208	586	605	724	455									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	475	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	92	1	3	1	3	7	1	7	2	1	2	4	3	4	6	5	4	7	9	0	7	1	1	9	3	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	48	0	2	0	1	3	2	4	1	0	3	2	4	1	2	2	1	3	5	6	1	1	0	0	1	3									
14	Число погашенных неиспользованных открепительных удостоверений	383	18	16	18	16	12	18	12	17	18	17	15	16	15	13	14	15	12	10	19	12	18	18	10	16	18									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	2	2	3	0	1	0	1	1	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	146	2	11	6	7	4	1	5	1	2	3	10	3	5	8	5	15	8	11	7	7	1	2	6	8	8									
		1.32%	3.45%	1.58%	1.94%	1.64%	1.71%	0.98%	1.22%	1.45%	1.23%	0.72%	1.83%	1.15%	0.79%	1.54%	1.48%	2.49%	1.32%	1.61%	2.11%	0.69%	0.46%	0.34%	0.97%	1.08%	1.71%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	395	2	31	12	18	10	4	16	3	6	15	12	5	36	11	20	17	23	22	9	28	9	22	25	28	11									
		3.57%	3.45%	4.45%	3.87%	4.22%	4.27%	3.92%	3.91%	4.35%	3.70%	3.59%	2.19%	1.92%	5.71%	2.12%	5.92%	2.82%	3.78%	3.23%	2.72%	2.76%	4.13%	3.69%	4.03%	3.77%	2.35%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	348	2	27	7	9	7	0	13	5	7	16	16	5	26	20	10	18	13	30	10	34	8	8	19	27	11									
		3.15%	3.45%	3.87%	2.26%	2.11%	2.99%	0.00%	3.18%	7.25%	4.32%	3.83%	2.93%	1.92%	4.12%	3.85%	2.96%	2.99%	2.14%	4.40%	3.02%	3.36%	3.67%	1.34%	3.06%	3.63%	2.35%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4897	33	318	130	211	121	54	189	22	67	153	231	108	266	221	134	238	253	274	126	593	102	248	247	341	217									
		44.26%	56.90%	45.62%	41.94%	49.41%	51.71%	52.94%	46.21%	31.88%	41.36%	36.60%	42.23%	41.54%	42.16%	42.58%	39.64%	39.53%	41.61%	40.18%	38.07%	58.54%	46.79%	41.61%	39.84%	45.90%	46.27%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	79	0	2	3	1	0	1	5	0	3	2	3	2	7	3	1	5	5	7	1	4	4	8	9	1	2									
		0.71%	0.00%	0.29%	0.97%	0.23%	0.00%	0.98%	1.22%	0.00%	1.85%	0.48%	0.55%	0.77%	1.11%	0.58%	0.30%	0.83%	0.82%	1.03%	0.30%	0.39%	1.83%	1.34%	1.45%	0.13%	0.43%									
24	"6. Политическая партия ""Гражданская Платформа"""	24	0	2	1	2	1	1	0	0	0	0	2	1	1	1	1	1	1	1	1	2	0	0	1	3	1									
		0.22%	0.00%	0.29%	0.32%	0.47%	0.43%	0.98%	0.00%	0.00%	0.00%	0.00%	0.37%	0.38%	0.16%	0.19%	0.30%	0.17%	0.16%	0.15%	0.30%	0.20%	0.00%	0.00%	0.16%	0.40%	0.21%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2308	13	108	67	75	42	12	87	25	43	83	105	65	116	125	69	146	118	140	79	149	39	146	134	194	128									
		20.86%	22.41%	15.49%	21.61%	17.56%	17.95%	11.76%	21.27%	36.23%	26.54%	19.86%	19.20%	25.00%	18.38%	24.08%	20.41%	24.25%	19.41%	20.53%	23.87%	14.71%	17.89%	24.50%	21.61%	26.11%	27.29%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	78	0	8	4	0	1	0	1	0	0	2	3	2	3	1	6	7	6	7	2	3	2	9	8	1	2									
		0.71%	0.00%	1.15%	1.29%	0.00%	0.43%	0.00%	0.24%	0.00%	0.00%	0.48%	0.55%	0.77%	0.48%	0.19%	1.78%	1.16%	0.99%	1.03%	0.60%	0.30%	0.92%	1.51%	1.29%	0.13%	0.43%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	110	0	1	1	0	2	1	2	0	1	7	6	7	5	3	5	11	10	9	3	15	1	10	2	5	3									
		0.99%	0.00%	0.14%	0.32%	0.00%	0.85%	0.98%	0.49%	0.00%	0.62%	1.67%	1.10%	2.69%	0.79%	0.58%	1.48%	1.83%	1.64%	1.32%	0.91%	1.48%	0.46%	1.68%	0.32%	0.67%	0.64%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	23	0	0	2	1	1	0	0	0	0	1	0	0	2	3	0	0	2	3	2	2	2	0	1	0	1									
		0.21%	0.00%	0.00%	0.65%	0.23%	0.43%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.32%	0.58%	0.00%	0.00%	0.33%	0.44%	0.60%	0.20%	0.92%	0.00%	0.16%	0.00%	0.21%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	176	1	14	8	0	2	1	4	0	0	6	7	3	14	10	9	8	20	14	4	12	7	12	7	7	6									
		1.59%	1.72%	2.01%	2.58%	0.00%	0.85%	0.98%	0.98%	0.00%	0.00%	1.44%	1.28%	1.15%	2.22%	1.93%	2.66%	1.33%	3.29%	2.05%	1.21%	1.18%	3.21%	2.01%	1.13%	0.94%	1.28%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1787	4	130	63	85	28	21	65	12	26	88	113	39	94	85	59	91	101	123	67	112	26	98	111	98	48									
		16.15%	6.90%	18.65%	20.32%	19.91%	11.97%	20.59%	15.89%	17.39%	16.05%	21.05%	20.66%	15.00%	14.90%	16.38%	17.46%	15.12%	16.61%	18.04%	20.24%	11.06%	11.93%	16.44%	17.90%	13.19%	10.23%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	59	0	4	3	3	3	1	2	0	0	1	3	1	2	6	2	7	2	5	0	2	2	3	4	0	3									
		0.53%	0.00%	0.57%	0.97%	0.70%	1.28%	0.98%	0.49%	0.00%	0.00%	0.24%	0.55%	0.38%	0.32%	1.16%	0.59%	1.16%	0.33%	0.73%	0.00%	0.20%	0.92%	0.50%	0.65%	0.00%	0.64%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	388	1	20	1	8	4	5	14	1	6	31	25	12	33	16	7	20	33	26	15	29	5	20	31	11	14									
		3.51%	1.72%	2.87%	0.32%	1.87%	1.71%	4.90%	3.42%	1.45%	3.70%	7.42%	4.57%	4.62%	5.23%	3.08%	2.07%	3.32%	5.43%	3.81%	4.53%	2.86%	2.29%	3.36%	5.00%	1.48%	2.99%									
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
