Выборы Президента Российской Федерации																																																																	
																																																																	
Наименование Избирательной комиссии:    Орехово-Зуевская городская																																																																	
																																																																	
Итоги голосования 																																																																	
																																																																	
		Сумма	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952					
1	"Число избирателей, внесенных в список"	100363	1813	1891	1982	808	2088	1788	1140	1775	1458	1833	1452	1413	2151	1632	1749	1066	1254	1721	2471	1410	1544	2021	2448	1336	2255	2013	1318	1824	2461	2326	2213	1480	607	2210	1710	1614	1227	1726	1215	1756	1546	2047	2306	2017	1836	1556	2562	2568	2392	2850	582	553	1394	611	2022	2742	1335	1245					
2	Число полученных избирательных бюллетеней	97500	1800	1800	1900	800	2000	1700	1000	1700	1400	1800	1400	1400	2100	1600	1700	1000	1200	1650	2400	1350	1500	2000	2300	1300	2200	2000	1200	1800	2400	2300	2100	1400	550	2100	1700	1600	1200	1700	1200	1700	1500	2000	2300	2000	1800	1500	2500	2500	2300	2800	550	550	1300	750	2000	2700	1300	1200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	53369	820	876	915	351	1404	1306	475	883	635	901	710	661	999	768	868	557	628	919	1327	645	655	798	1910	943	884	783	620	873	1927	1212	1051	706	521	1357	845	945	655	837	584	904	770	1516	1189	918	971	793	1213	1179	1898	2089	297	210	657	207	820	1922	539	523					
5	"Число избирательных бюллетеней, выданных вне помещения"	2564	37	33	18	16	87	90	108	30	51	15	22	48	32	90	11	4	19	19	28	32	38	134	18	30	28	37	26	70	22	13	13	7	5	10	11	49	5	22	46	39	14	113	68	27	26	17	59	44	73	43	14	156	39	51	91	27	187	102					
6	Число погашенных избирательных бюллетеней	41566	943	891	967	433	509	304	417	787	714	884	668	691	1069	742	821	439	553	712	1045	673	807	1068	372	327	1288	1179	554	857	451	1075	1036	687	24	733	844	606	540	841	570	757	716	371	1043	1055	803	690	1228	1277	329	668	239	184	604	492	1089	751	574	575					
7	Число избирательных бюллетеней в переносных ящиках	2564	37	33	18	16	87	90	108	30	51	15	22	48	32	90	11	4	19	19	28	32	38	134	18	30	28	37	26	70	22	13	13	7	5	10	11	49	5	22	46	39	14	113	68	27	26	17	59	44	73	43	14	156	39	51	91	27	187	102					
8	Число бюллетеней в стационарных ящиках для голосования	46976	819	876	913	351	801	804	475	783	632	899	708	661	999	768	868	557	627	919	1127	644	655	798	1210	543	884	783	619	873	1059	1009	1051	706	521	1357	845	944	655	837	584	865	770	916	1089	916	968	793	1213	1179	1198	1439	297	210	657	207	820	1213	539	523					
9	Число недействительных избирательных бюллетеней	553	15	12	4	5	10	5	3	12	5	6	8	1	11	4	13	7	8	8	10	11	5	14	14	4	9	4	9	7	4	14	12	2	72	2	7	11	4	5	3	4	13	9	49	7	5	9	7	11	9	8	3	16	8	2	10	9	8	6					
10	Число действительных избирательных бюллетеней	48987	841	897	927	362	878	889	580	801	678	908	722	708	1020	854	866	554	638	930	1145	665	688	918	1214	569	903	816	636	936	1077	1008	1052	711	454	1365	849	982	656	854	627	900	771	1020	1108	936	989	801	1265	1212	1262	1474	308	350	688	256	901	1231	718	619					
11	Число полученных открепительных  удостоверений	2997	50	50	60	25	60	50	30	50	40	50	40	40	60	50	50	30	35	50	70	40	40	60	70	40	60	60	35	50	70	70	60	40	20	60	50	50	35	50	30	50	40	60	60	60	50	40	70	70	35	70	20	20	75	197	60	70	40	30					
12	Число выданных открепительных удостоверений	671	10	3	4	2	7	7	4	4	6	9	12	10	5	6	8	5	8	13	8	5	5	7	11	4	5	10	7	7	18	7	3	7	0	16	3	7	9	14	7	8	8	10	12	9	7	9	22	10	9	12	2	1	66	174	5	9	12	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	307	7	2	3	4	3	1	3	3	3	5	5	0	8	4	2	2	1	5	13	0	8	10	3	0	4	3	3	5	6	4	12	6	5	3	2	2	4	3	2	0	1	4	4	10	2	2	18	9	12	5	6	3	35	4	12	6	13	2					
14	Число неиспользованных открепительных удостоверений	2326	40	47	56	23	53	43	26	46	34	41	28	30	55	44	42	25	27	37	62	35	35	53	59	36	55	50	28	43	52	63	57	33	20	44	47	43	26	36	23	42	32	50	48	51	43	31	48	60	26	58	18	19	9	23	55	61	28	27					
