Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																					
Дата голосования: 07.12.2003 0:00:00																					
																					
Наименование Избирательной комиссии:    Район Свиблово																					
																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																					
																					
		Сумма	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775					
1	"Число избирателей, внесенных в списки"	34863	2532	2117	2315	2289	2750	2650	2547	2360	2492	2557	2645	2602	2496	2511					
2	"Число бюллетеней, полученных участковыми комиссиями"	30500	2200	2000	2000	2000	2400	2200	2200	2100	2200	2200	2300	2300	2200	2200					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	19488	1420	1240	1309	1379	1534	1346	1405	1448	1429	1484	1338	1462	1269	1425					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	579	29	28	47	53	55	37	30	35	22	59	50	61	45	28					
6	Число погашенных бюллетеней	10422	751	732	642	568	808	817	759	617	749	657	912	777	886	747					
7	Число бюллетеней в переносных ящиках для голосования	579	29	28	47	53	55	37	30	35	22	59	50	61	45	28					
8	Число бюллетеней в стационарных ящиках для голосования	19452	1420	1235	1307	1379	1534	1346	1399	1445	1429	1478	1338	1459	1262	1421					
9	Число недействительных бюллетеней	273	16	12	18	25	16	12	15	27	39	26	13	11	22	21					
10	Число действительных бюллетеней	19758	1433	1251	1336	1407	1573	1371	1414	1453	1412	1511	1375	1509	1285	1428					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	700	50	50	50	50	50	50	50	50	50	50	50	50	50	50					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	400	32	14	24	22	34	41	24	25	29	40	25	32	30	28					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	290	32	23	22	18	14	23	21	19	16	22	16	28	12	24					
14	Число погашенных открепительных удостоверений	300	18	36	26	28	16	9	26	25	21	10	25	18	20	22					
15	Число открепительных удостоверений выданных ТИК	4	2	1	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных бюллетеней	11	0	0	2	0	3	0	6	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
18	"1. ""ЕДИНЕНИЕ"""	124	8	10	11	10	6	9	11	7	7	11	7	10	6	11					
		0.61%	0.55%	0.79%	0.81%	0.69%	0.37%	0.65%	0.76%	0.47%	0.48%	0.71%	0.50%	0.65%	0.45%	0.75%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1409	92	84	81	95	135	99	74	119	96	90	97	142	91	114					
		7.03%	6.34%	6.65%	5.98%	6.63%	8.49%	7.15%	5.17%	8.04%	6.61%	5.85%	6.98%	9.34%	6.96%	7.86%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	405	21	28	25	26	45	27	44	33	35	29	29	27	18	18					
		2.02%	1.44%	2.21%	1.84%	1.81%	2.83%	1.95%	3.07%	2.22%	2.41%	1.88%	2.08%	1.77%	1.37%	1.24%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	2694	193	181	161	180	241	140	201	252	200	179	160	253	172	181					
		13.44%	13.31%	14.33%	11.89%	12.56%	15.16%	10.12%	14.06%	17.02%	13.78%	11.64%	11.52%	16.64%	13.15%	12.49%					
22	"5. ""За Русь Святую"""	73	9	4	5	5	12	6	3	2	6	3	3	3	6	6					
		0.36%	0.62%	0.31%	0.36%	0.34%	0.75%	0.43%	0.20%	0.13%	0.41%	0.19%	0.21%	0.19%	0.45%	0.41%					
23	"6. ""Объединенная Российская партия ""Русь"""	46	3	5	4	2	5	6	3	3	0	2	1	4	3	5					
		0.22%	0.20%	0.39%	0.29%	0.13%	0.31%	0.43%	0.20%	0.20%	0.0%	0.13%	0.07%	0.26%	0.22%	0.34%					
24	"7. ""Новый курс - Автомобильная Россия"""	300	31	15	20	25	25	14	19	25	17	28	22	18	19	22					
		1.49%	2.13%	1.18%	1.47%	1.74%	1.57%	1.01%	1.32%	1.68%	1.17%	1.82%	1.58%	1.18%	1.45%	1.51%					
25	"8. ""Народно-республиканская партия России"""	18	0	0	2	0	2	0	0	0	1	4	8	1	0	0					
		0.08%	0.0%	0.0%	0.14%	0.0%	0.12%	0.0%	0.0%	0.0%	0.06%	0.26%	0.57%	0.06%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	123	13	6	9	6	9	14	12	10	8	7	9	12	1	7					
		0.61%	0.89%	0.47%	0.66%	0.41%	0.56%	1.01%	0.83%	0.67%	0.55%	0.45%	0.64%	0.78%	0.07%	0.48%					
27	"10. ""Аграрная партия России"""	315	18	25	28	33	24	18	21	14	28	28	16	32	12	18					
		1.57%	1.24%	1.97%	2.06%	2.30%	1.51%	1.30%	1.46%	0.94%	1.92%	1.82%	1.15%	2.10%	0.91%	1.24%					
28	"11. ""Истинные патриоты России"""	14	2	1	0	0	0	2	1	3	0	2	0	0	1	2					
		0.06%	0.13%	0.07%	0.0%	0.0%	0.0%	0.14%	0.06%	0.20%	0.0%	0.13%	0.0%	0.0%	0.07%	0.13%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	171	12	5	11	9	15	10	9	11	14	16	10	17	17	15					
		0.85%	0.82%	0.39%	0.81%	0.62%	0.94%	0.72%	0.62%	0.74%	0.96%	1.04%	0.72%	1.11%	1.30%	1.03%					
30	"13. ""Демократическая партия России"""	19	1	1	0	4	1	1	2	1	1	2	1	3	0	1					
		0.09%	0.06%	0.07%	0.0%	0.27%	0.06%	0.07%	0.13%	0.06%	0.06%	0.13%	0.07%	0.19%	0.0%	0.06%					
31	"14. ""Великая Россия - Евразийский Союз"""	24	1	0	2	1	3	3	0	1	4	4	1	2	1	1					
		0.11%	0.06%	0.0%	0.14%	0.06%	0.18%	0.21%	0.0%	0.06%	0.27%	0.26%	0.07%	0.13%	0.07%	0.06%					
32	"15. ""Партия СЛОН"""	28	2	2	1	1	1	6	2	4	2	1	1	2	3	0					
		0.13%	0.13%	0.15%	0.07%	0.06%	0.06%	0.43%	0.13%	0.27%	0.13%	0.06%	0.07%	0.13%	0.22%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	2996	236	181	199	208	248	182	198	234	224	245	206	211	180	244					
