Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва									
Дата голосования: 02.12.2007									
									
Наименование Избирательной комиссии:    Северо-Курильская									
									
Сводная таблица результатов выборов									
									
		Сумма	УИК №160	УИК №161					
1	"Число избирателей, внесенных в списки избирателей"	2216	1116	1100					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	1900	900	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	24	0	24					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	1175	617	558					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	37	20	17					
6	Число погашенных избирательных бюллетеней	664	263	401					
7	Число избирательных бюллетеней в переносных ящиках для голосования	61	20	41					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1175	617	558					
9	Число недействительных избирательных бюллетеней	14	8	6					
10	Число действительных избирательных бюллетеней	1222	629	593					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	48	25	23					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	9	3	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	2	2	0					
14	Число погашенных неиспользованных открепительных удостоверений	39	22	17					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0					
									
18	1.Политическая партия «Аграрная партия России»	28	11	17					
		2.27%	1.73%	2.84%					
19	2.Всероссийская политическая партия «Гражданская Сила»	20	13	7					
		1.62%	2.04%	1.17%					
20	3.Политическая партия «Демократическая партия России»	1	0	1					
		0.08%	0.00%	0.17%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	68	29	39					
		5.50%	4.55%	6.51%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	4	1	3					
		0.32%	0.16%	0.50%					
23	6.Политическая партия «Партия социальной справедливости»	0	0	0					
		0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	171	93	78					
		13.83%	14.60%	13.02%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	64	37	27					
		5.18%	5.81%	4.51%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	6	3	3					
		0.49%	0.47%	0.50%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	835	429	406					
		67.56%	67.35%	67.78%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	25	13	12					
		2.02%	2.04%	2.00%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
