Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																			
Дата голосования: 04.12.2011																			
																			
Наименование Избирательной комиссии:    Зейская городская																			
																			
Сводная таблица результатов выборов																			
																			
		Сумма	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316					
1	"Число избирателей, внесенных в список избирателей"	19870	1905	1436	1436	1214	944	1668	1806	2534	2461	1898	1975	593					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20100	1900	1500	1500	1200	900	1500	1900	2600	2500	2000	2000	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	9628	1096	731	828	674	520	671	835	1040	1076	911	929	317					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	795	54	9	23	35	43	211	77	73	65	126	65	14					
6	Число погашенных избирательных бюллетеней	9677	750	760	649	491	337	618	988	1487	1359	963	1006	269					
7	Число избирательных бюллетеней в переносных ящиках для голосования	795	54	9	23	35	43	211	77	73	65	126	65	14					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9628	1096	731	828	674	520	671	835	1040	1076	911	929	317					
9	Число недействительных избирательных бюллетеней	168	14	21	12	16	13	18	10	8	23	17	12	4					
10	Число действительных избирательных бюллетеней	10255	1136	719	839	693	550	864	902	1105	1118	1020	982	327					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	292	35	30	20	20	13	27	25	25	20	32	30	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	260	31	30	20	18	10	20	25	20	16	29	26	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	56	14	4	4	5	2	3	3	8	6	2	4	1					
14	Число погашенных неиспользованных открепительных удостоверений	32	4	0	0	2	3	7	0	5	4	3	4	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	108	14	10	7	5	2	8	11	14	10	5	12	10					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1545	182	101	116	101	93	150	139	187	176	130	130	40					
		14.82%	15.83%	13.65%	13.63%	14.25%	16.52%	17.01%	15.24%	16.80%	15.43%	12.54%	13.08%	12.08%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2222	217	185	167	134	106	193	173	271	234	217	235	90					
		21.32%	18.87%	25.00%	19.62%	18.90%	18.83%	21.88%	18.97%	24.35%	20.51%	20.93%	23.64%	27.19%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	222	27	19	20	13	12	18	18	22	17	22	25	9					
		2.13%	2.35%	2.57%	2.35%	1.83%	2.13%	2.04%	1.97%	1.98%	1.49%	2.12%	2.52%	2.72%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1942	255	144	155	153	109	161	175	201	222	144	166	57					
		18.63%	22.17%	19.46%	18.21%	21.58%	19.36%	18.25%	19.19%	18.06%	19.46%	13.89%	16.70%	17.22%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	341	49	15	26	30	23	21	36	31	26	38	33	13					
		3.27%	4.26%	2.03%	3.06%	4.23%	4.09%	2.38%	3.95%	2.79%	2.28%	3.66%	3.32%	3.93%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3920	396	248	354	249	205	318	358	386	439	464	388	115					
		37.61%	34.43%	33.51%	41.60%	35.12%	36.41%	36.05%	39.25%	34.68%	38.48%	44.74%	39.03%	34.74%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	63	10	7	1	13	2	3	3	7	4	5	5	3					
		0.60%	0.87%	0.95%	0.12%	1.83%	0.36%	0.34%	0.33%	0.63%	0.35%	0.48%	0.50%	0.91%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
