Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																			
Дата голосования: 02.12.2007																			
																			
Наименование Избирательной комиссии:    Зейская городская																			
																			
Сводная таблица результатов выборов																			
																			
		Сумма	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321					
1	"Число избирателей, внесенных в списки избирателей"	20376	1943	1581	1558	1285	976	1539	1902	2481	2458	1971	2011	671					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	19510	1880	1570	1510	1260	950	1430	1800	2360	2310	1880	1930	630					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	12075	1321	963	1018	821	662	848	1067	1287	1385	1115	1128	460					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	731	46	17	41	27	51	103	86	112	75	100	53	20					
6	Число погашенных избирательных бюллетеней	6704	513	590	451	412	237	479	647	961	850	665	749	150					
7	Число избирательных бюллетеней в переносных ящиках для голосования	731	46	17	41	27	51	103	86	112	75	100	53	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12074	1321	963	1018	821	662	848	1067	1286	1385	1115	1128	460					
9	Число недействительных избирательных бюллетеней	78	7	8	9	7	6	3	9	8	6	8	5	2					
10	Число действительных избирательных бюллетеней	12727	1360	972	1050	841	707	948	1144	1390	1454	1207	1176	478					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	250	35	20	20	20	20	20	20	20	20	20	20	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	156	26	16	13	11	9	7	12	13	16	11	17	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	45	4	5	0	2	2	4	7	2	7	4	6	2					
14	Число погашенных неиспользованных открепительных удостоверений	94	9	4	7	9	11	13	8	7	4	9	3	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	19	1	3	0	2	2	4	3	1	2	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
18	1.Политическая партия «Аграрная партия России»	194	18	21	13	18	19	12	15	18	10	29	14	7					
		1.52%	1.32%	2.14%	1.23%	2.12%	2.66%	1.26%	1.30%	1.29%	0.68%	2.39%	1.19%	1.46%					
19	2.Всероссийская политическая партия «Гражданская Сила»	85	15	9	6	11	2	5	3	11	5	7	10	1					
		0.66%	1.10%	0.92%	0.57%	1.30%	0.28%	0.53%	0.26%	0.79%	0.34%	0.58%	0.85%	0.21%					
20	3.Политическая партия «Демократическая партия России»	4	2	0	0	0	1	0	0	1	0	0	0	0					
		0.03%	0.15%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1271	148	71	109	96	65	107	106	166	155	109	116	23					
		9.93%	10.83%	7.24%	10.29%	11.32%	9.12%	11.25%	9.19%	11.87%	10.62%	8.97%	9.82%	4.79%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	285	61	15	25	43	15	17	27	20	26	12	15	9					
		2.23%	4.46%	1.53%	2.36%	5.07%	2.10%	1.79%	2.34%	1.43%	1.78%	0.99%	1.27%	1.88%					
23	6.Политическая партия «Партия социальной справедливости»	19	5	2	1	4	2	0	0	0	2	2	1	0					
		0.15%	0.37%	0.20%	0.09%	0.47%	0.28%	0.00%	0.00%	0.00%	0.14%	0.16%	0.08%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	1225	115	114	93	84	78	87	96	160	144	106	104	44					
		9.57%	8.41%	11.63%	8.78%	9.91%	10.94%	9.15%	8.33%	11.44%	9.86%	8.72%	8.81%	9.17%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	644	90	39	65	30	43	62	46	61	75	50	60	23					
		5.03%	6.58%	3.98%	6.14%	3.54%	6.03%	6.52%	3.99%	4.36%	5.14%	4.12%	5.08%	4.79%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	81	11	4	7	5	6	3	6	4	10	11	11	3					
		0.63%	0.80%	0.41%	0.66%	0.59%	0.84%	0.32%	0.52%	0.29%	0.68%	0.91%	0.93%	0.63%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	8754	876	679	716	538	469	644	826	927	1013	871	831	364					
		68.36%	64.08%	69.29%	67.61%	63.44%	65.78%	67.72%	71.64%	66.31%	69.38%	71.69%	70.36%	75.83%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	165	19	18	15	12	7	11	19	22	14	10	14	4					
		1.29%	1.39%	1.84%	1.42%	1.42%	0.98%	1.16%	1.65%	1.57%	0.96%	0.82%	1.19%	0.83%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
