Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
Наименование Избирательной комиссии:    Альшеевская																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	31550	1044	1056	1531	1462	1467	1022	1236	1560	1703	1900	557	478	780	386	255	126	660	742	349	200	695	545	289	518	184	310	224	584	138	499	237	245	462	389	150	101	772	187	624	309	742	602	752	330	704	1672	341	310	121									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	32271	1049	1050	1545	1478	1530	1025	1239	1578	1735	1924	563	477	796	387	262	123	660	765	375	201	794	549	293	535	186	314	232	681	144	503	249	241	479	410	157	108	782	195	636	312	820	619	764	329	709	1690	341	312	125									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	24596	679	719	1095	1098	1192	767	940	1259	1371	1511	349	338	630	299	205	114	605	607	284	169	511	431	244	416	167	262	204	470	113	414	160	198	385	315	112	87	705	161	570	259	503	491	588	227	575	1211	269	251	66									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2651	170	126	150	150	84	75	86	52	25	29	152	112	19	14	25	9	25	76	20	10	58	90	16	34	7	8	3	40	10	35	54	20	37	42	0	0	25	10	10	4	140	55	90	75	55	227	20	25	52									
6	Число погашенных избирательных бюллетеней	5024	200	205	300	230	254	183	213	267	339	384	62	27	147	74	32	0	30	82	71	22	225	28	33	85	12	44	25	171	21	54	35	23	57	53	45	21	52	24	56	49	177	73	86	27	79	252	52	36	7									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2651	170	126	150	150	84	75	86	52	25	29	152	112	19	14	25	9	25	76	20	10	58	90	16	34	7	8	3	40	10	35	54	20	37	42	0	0	25	10	10	4	140	55	90	75	55	227	20	25	52									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	24596	679	719	1095	1098	1192	767	940	1259	1371	1511	349	338	630	299	205	114	605	607	284	169	511	431	244	416	167	262	204	470	113	414	160	198	385	315	112	87	705	161	570	259	503	491	588	227	575	1211	269	251	66									
9	Число недействительных избирательных бюллетеней	107	0	3	0	0	0	0	0	0	9	0	0	0	9	3	0	1	0	0	0	0	14	0	0	5	0	0	0	10	0	0	0	0	0	0	1	0	8	2	0	0	26	9	0	0	0	6	1	0	0									
10	Число действительных избирательных бюллетеней	27140	849	842	1245	1248	1276	842	1026	1311	1387	1540	501	450	640	310	230	122	630	683	304	179	555	521	260	445	174	270	207	500	123	449	214	218	422	357	111	87	722	169	580	263	617	537	678	302	630	1432	288	276	118									
