Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Советская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	21367	1318	1360	1945	2209	1988	1675	1531	926	1030	831	194	891	805	1134	326	470	933	872	827	102									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21110	1300	1300	1900	2200	2000	1600	1500	900	1000	830	200	900	800	1100	310	450	960	900	850	110									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15610	887	1065	1503	1727	1364	1187	1070	659	759	608	149	637	556	859	277	356	723	610	536	78									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	890	27	24	27	53	28	22	48	26	111	47	5	81	34	76	18	31	30	131	69	2									
6	Число погашенных избирательных бюллетеней	4610	386	211	370	420	608	391	382	215	130	175	46	182	210	165	15	63	207	159	245	30									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	890	27	24	27	53	28	22	48	26	111	47	5	81	34	76	18	31	30	131	69	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15575	887	1065	1503	1727	1364	1187	1070	659	759	608	149	637	556	856	277	325	723	609	536	78									
9	Число недействительных избирательных бюллетеней	188	5	3	7	11	20	12	0	1	10	8	2	16	16	19	1	5	8	38	6	0									
10	Число действительных избирательных бюллетеней	16277	909	1086	1523	1769	1372	1197	1118	684	860	647	152	702	574	913	294	351	745	702	599	80									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	495	30	30	30	30	30	30	30	20	25	25	20	30	15	20	10	15	30	30	30	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	456	30	14	30	30	30	12	30	20	25	25	20	30	15	20	10	15	30	30	25	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	33	1	4	0	4	0	3	5	4	1	0	0	1	0	2	1	1	2	1	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	39	0	16	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	5	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	55	4	3	1	9	4	8	1	1	8	4	2	0	0	0	1	1	2	1	5	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	67	2	6	7	9	5	2	1	4	7	2	0	6	2	3	1	3	2	2	3	0									
		0.41%	0.22%	0.55%	0.46%	0.51%	0.36%	0.17%	0.09%	0.58%	0.80%	0.31%	0.00%	0.84%	0.34%	0.32%	0.34%	0.84%	0.27%	0.27%	0.50%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	240	13	19	25	24	20	6	6	14	19	4	2	18	3	15	3	8	10	18	12	1									
		1.46%	1.42%	1.74%	1.63%	1.35%	1.44%	0.50%	0.54%	2.04%	2.18%	0.61%	1.30%	2.51%	0.51%	1.61%	1.02%	2.25%	1.33%	2.43%	1.98%	1.25%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	144	9	6	12	23	11	9	2	4	0	1	0	11	4	12	2	7	14	8	7	2									
		0.87%	0.98%	0.55%	0.78%	1.29%	0.79%	0.74%	0.18%	0.58%	0.00%	0.15%	0.00%	1.53%	0.68%	1.29%	0.68%	1.97%	1.86%	1.08%	1.16%	2.50%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13386	701	904	1223	1424	1098	977	985	596	707	557	133	521	502	765	260	284	601	579	502	67									
		81.30%	76.70%	83.01%	79.93%	80.00%	78.88%	80.81%	88.10%	87.01%	81.26%	85.04%	86.36%	72.56%	85.08%	82.08%	88.14%	79.78%	79.81%	78.24%	82.98%	83.75%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	45	2	5	4	6	6	2	0	3	1	3	0	2	2	3	1	0	0	2	3	0									
		0.27%	0.22%	0.46%	0.26%	0.34%	0.43%	0.17%	0.00%	0.44%	0.11%	0.46%	0.00%	0.28%	0.34%	0.32%	0.34%	0.00%	0.00%	0.27%	0.50%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	19	0	3	6	2	1	0	0	0	0	0	0	3	0	2	0	2	0	0	0	0									
		0.12%	0.00%	0.28%	0.39%	0.11%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.00%	0.21%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	973	77	55	77	72	99	118	37	19	69	51	15	76	17	17	9	26	58	47	27	7									
		5.91%	8.42%	5.05%	5.03%	4.04%	7.11%	9.76%	3.31%	2.77%	7.93%	7.79%	9.74%	10.58%	2.88%	1.82%	3.05%	7.30%	7.70%	6.35%	4.46%	8.75%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	58	1	3	11	11	15	3	4	2	1	1	0	0	1	1	1	0	1	1	1	0									
		0.35%	0.11%	0.28%	0.72%	0.62%	1.08%	0.25%	0.36%	0.29%	0.11%	0.15%	0.00%	0.00%	0.17%	0.11%	0.34%	0.00%	0.13%	0.14%	0.17%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	44	1	3	6	11	8	2	3	2	0	1	1	0	0	2	0	0	2	1	1	0									
		0.27%	0.11%	0.28%	0.39%	0.62%	0.57%	0.17%	0.27%	0.29%	0.00%	0.15%	0.65%	0.00%	0.00%	0.21%	0.00%	0.00%	0.27%	0.14%	0.17%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	8	0	1	0	0	3	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0									
		0.05%	0.00%	0.09%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.13%	0.14%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	55	2	2	8	14	7	3	2	3	1	1	1	4	1	2	0	0	0	3	1	0									
		0.33%	0.22%	0.18%	0.52%	0.79%	0.50%	0.25%	0.18%	0.44%	0.11%	0.15%	0.65%	0.56%	0.17%	0.21%	0.00%	0.00%	0.00%	0.41%	0.17%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	957	92	57	105	126	66	68	63	20	37	20	0	44	34	76	12	14	46	35	40	2									
		5.81%	10.07%	5.23%	6.86%	7.08%	4.74%	5.62%	5.64%	2.92%	4.25%	3.05%	0.00%	6.13%	5.76%	8.15%	4.07%	3.93%	6.11%	4.73%	6.61%	2.50%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	38	0	3	3	10	5	1	0	1	6	1	0	2	2	1	0	0	3	0	0	0									
