Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																															
Дата голосования: 04.12.2011																																																															
																																																															
Наименование Избирательной комиссии:    Орловская																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611					
1	"Число избирателей, внесенных в список избирателей"	51831	390	452	131	507	312	536	261	501	2685	880	443	941	935	1409	744	1552	1747	752	823	2463	2357	2244	2456	409	201	376	872	379	1135	810	304	553	1235	537	1378	517	222	299	910	571	421	273	2207	1627	2193	175	564	901	728	467	776	769	1737	1053	1327	384					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	50940	380	430	120	490	300	530	270	530	2600	840	420	960	940	1400	690	1500	1700	730	800	2400	2290	2190	2400	400	180	570	840	440	990	790	320	560	1230	530	1400	500	220	300	890	560	430	390	2150	1490	2110	160	560	970	700	470	790	790	1560	1060	1300	380					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	25672	186	214	71	248	122	277	96	274	1653	367	252	456	444	731	460	896	636	416	411	1254	1199	1178	1274	57	66	269	394	236	570	395	148	237	565	251	776	196	82	116	340	257	226	209	873	810	1017	76	201	517	226	194	363	392	876	588	869	165					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4452	54	80	13	45	16	22	84	53	53	107	23	67	107	112	21	31	197	51	97	38	75	53	29	156	53	107	224	48	131	96	53	111	122	107	51	48	51	20	25	46	65	64	267	86	88	17	73	48	231	102	160	63	156	50	38	67					
6	Число погашенных избирательных бюллетеней	20798	140	136	36	197	162	231	90	203	894	366	145	437	389	557	209	573	867	263	292	1108	1016	959	1085	187	61	194	222	156	289	299	119	212	543	172	573	256	87	164	525	257	139	117	1010	594	999	67	286	405	243	174	267	335	528	422	393	148					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4452	54	80	13	45	16	22	84	53	53	107	23	67	107	112	21	31	197	51	97	38	75	53	29	156	53	107	224	48	131	96	53	111	122	107	51	48	51	20	25	46	65	64	267	86	88	17	73	48	231	102	160	63	156	50	38	67					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	25649	186	214	71	248	122	276	96	274	1653	367	252	456	444	731	460	896	636	412	411	1244	1199	1178	1268	57	66	269	394	236	569	395	148	237	565	251	776	196	82	115	340	257	226	209	873	810	1017	76	201	517	226	194	363	392	876	588	869	165					
9	Число недействительных избирательных бюллетеней	617	3	6	3	14	3	4	2	8	41	3	12	9	8	21	17	22	11	17	8	40	21	39	27	5	3	6	5	5	15	5	1	6	14	2	20	6	2	4	7	8	3	2	25	13	24	4	5	7	4	5	7	3	27	13	17	5					
10	Число действительных избирательных бюллетеней	29484	237	288	81	279	135	294	178	319	1665	471	263	514	543	822	464	905	822	446	500	1242	1253	1192	1270	208	116	370	613	279	685	486	200	342	673	356	807	238	131	131	358	295	288	271	1115	883	1081	89	269	558	453	291	516	452	1005	625	890	227					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1250	20	15	20	10	5	15	5	15	60	20	5	15	20	35	25	25	25	20	15	60	50	25	60	10	5	15	25	60	15	15	5	5	20	15	20	10	5	10	10	15	15	10	30	20	50	5	15	100	10	5	10	10	60	15	50	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	580	17	9	19	7	3	2	2	1	32	3	3	6	11	15	11	10	19	6	8	23	16	21	20	3	0	4	2	52	12	7	1	4	9	9	12	3	1	10	4	15	3	2	16	8	4	0	4	73	3	5	10	5	6	8	17	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	354	1	5	9	6	5	4	6	6	16	2	9	5	3	6	17	14	8	9	6	11	8	6	13	3	9	2	10	10	1	3	4	4	4	5	5	2	7	5	7	14	3	3	7	11	9	5	4	6	9	8	1	2	7	2	5	2					
14	Число погашенных неиспользованных открепительных удостоверений	670	3	6	1	3	2	13	3	14	28	17	2	9	9	20	14	15	6	14	7	37	34	4	40	7	5	11	23	8	3	8	4	1	11	6	8	7	4	0	6	0	12	8	14	12	46	5	11	27	7	0	0	5	54	7	33	16					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3646	32	27	9	30	13	38	22	26	248	69	35	63	99	127	56	133	101	56	81	169	141	121	136	10	15	52	67	21	71	61	22	37	74	47	85	38	9	30	40	33	13	39	128	112	107	8	34	65	75	40	59	72	148	83	97	22					
		12.11%	13.33%	9.18%	10.71%	10.24%	9.42%	12.75%	12.22%	7.95%	14.54%	14.56%	12.73%	12.05%	17.97%	15.07%	11.64%	14.35%	12.12%	12.10%	15.94%	13.18%	11.07%	9.83%	10.49%	4.69%	12.61%	13.83%	10.84%	7.39%	10.14%	12.42%	10.95%	10.63%	10.77%	13.13%	10.28%	15.57%	6.77%	22.22%	10.96%	10.89%	4.47%	14.29%	11.23%	12.50%	9.68%	8.60%	12.41%	11.50%	16.41%	13.51%	11.28%	15.82%	14.34%	13.01%	10.69%	9.48%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	4638	41	41	9	35	28	72	22	67	246	79	38	95	66	137	66	114	127	54	74	231	194	182	207	34	11	61	80	43	81	57	51	55	96	68	123	33	36	13	65	72	31	32	166	179	191	13	54	78	72	56	72	78	154	85	127	46					
		15.41%	17.08%	13.95%	10.71%	11.95%	20.29%	24.16%	12.22%	20.49%	14.42%	16.67%	13.82%	18.16%	11.98%	16.25%	13.72%	12.30%	15.25%	11.66%	14.57%	18.02%	15.23%	14.78%	15.96%	15.96%	9.24%	16.22%	12.94%	15.14%	11.57%	11.61%	25.37%	15.80%	13.97%	18.99%	14.87%	13.52%	27.07%	9.63%	17.81%	23.76%	10.65%	11.72%	14.56%	19.98%	17.29%	13.98%	19.71%	13.81%	15.75%	18.92%	13.77%	17.14%	14.92%	13.32%	14.00%	19.83%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	305	0	0	0	2	0	2	0	2	20	4	1	4	2	11	7	8	5	5	3	14	17	11	11	2	2	7	8	2	3	6	3	2	13	7	4	1	0	0	2	1	0	3	19	13	8	0	1	8	4	2	7	6	19	9	13	1					
		1.01%	0.00%	0.00%	0.00%	0.68%	0.00%	0.67%	0.00%	0.61%	1.17%	0.84%	0.36%	0.76%	0.36%	1.30%	1.46%	0.86%	0.60%	1.08%	0.59%	1.09%	1.33%	0.89%	0.85%	0.94%	1.68%	1.86%	1.29%	0.70%	0.43%	1.22%	1.49%	0.57%	1.89%	1.96%	0.48%	0.41%	0.00%	0.00%	0.55%	0.33%	0.00%	1.10%	1.67%	1.45%	0.72%	0.00%	0.36%	1.42%	0.88%	0.68%	1.34%	1.32%	1.84%	1.41%	1.43%	0.43%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	10178	57	77	15	99	28	95	44	93	670	116	75	171	177	258	141	345	278	108	173	466	534	542	554	68	40	159	143	101	172	138	31	98	208	117	253	75	13	42	137	70	63	78	409	294	437	44	101	199	146	92	172	132	366	232	381	51					
		33.81%	23.75%	26.19%	17.86%	33.79%	20.29%	31.88%	24.44%	28.44%	39.27%	24.47%	27.27%	32.70%	32.12%	30.60%	29.31%	37.22%	33.37%	23.33%	34.06%	36.35%	41.92%	44.03%	42.71%	31.92%	33.61%	42.29%	23.14%	35.56%	24.57%	28.11%	15.42%	28.16%	30.28%	32.68%	30.59%	30.74%	9.77%	31.11%	37.53%	23.10%	21.65%	28.57%	35.88%	32.81%	39.55%	47.31%	36.86%	35.22%	31.95%	31.08%	32.89%	29.01%	35.47%	36.36%	42.01%	21.98%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	531	5	3	5	0	4	2	7	2	53	4	2	9	14	22	4	19	8	3	10	20	21	21	10	3	0	4	8	2	8	6	1	4	21	12	15	1	3	4	8	3	3	1	20	19	26	1	3	4	8	6	11	16	23	14	22	3					
		1.76%	2.08%	1.02%	5.95%	0.00%	2.90%	0.67%	3.89%	0.61%	3.11%	0.84%	0.73%	1.72%	2.54%	2.61%	0.83%	2.05%	0.96%	0.65%	1.97%	1.56%	1.65%	1.71%	0.77%	1.41%	0.00%	1.06%	1.29%	0.70%	1.14%	1.22%	0.50%	1.15%	3.06%	3.35%	1.81%	0.41%	2.26%	2.96%	2.19%	0.99%	1.03%	0.37%	1.75%	2.12%	2.35%	1.08%	1.09%	0.71%	1.75%	2.03%	2.10%	3.52%	2.23%	2.19%	2.43%	1.29%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9917	100	132	43	111	61	84	80	127	408	194	105	169	181	260	189	279	296	217	154	331	333	300	341	87	48	87	297	105	345	212	92	146	254	102	322	90	70	42	104	114	176	115	368	259	304	23	74	199	147	93	193	143	284	186	240	101					
		32.95%	41.67%	44.90%	51.19%	37.88%	44.20%	28.19%	44.44%	38.84%	23.92%	40.93%	38.18%	32.31%	32.85%	30.84%	39.29%	30.10%	35.53%	46.87%	30.31%	25.82%	26.14%	24.37%	26.29%	40.85%	40.34%	23.14%	48.06%	36.97%	49.29%	43.18%	45.77%	41.95%	36.97%	28.49%	38.94%	36.89%	52.63%	31.11%	28.49%	37.62%	60.48%	42.12%	32.28%	28.91%	27.51%	24.73%	27.01%	35.22%	32.17%	31.42%	36.90%	31.43%	27.52%	29.15%	26.46%	43.53%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	269	2	8	0	2	1	1	3	2	20	5	7	3	4	7	1	7	7	3	5	11	13	15	11	4	0	0	10	5	5	6	0	0	7	3	5	0	0	0	2	2	2	3	5	7	8	0	2	5	1	2	2	5	11	16	10	3					
		0.89%	0.83%	2.72%	0.00%	0.68%	0.72%	0.34%	1.67%	0.61%	1.17%	1.05%	2.55%	0.57%	0.73%	0.83%	0.21%	0.76%	0.84%	0.65%	0.98%	0.86%	1.02%	1.22%	0.85%	1.88%	0.00%	0.00%	1.62%	1.76%	0.71%	1.22%	0.00%	0.00%	1.02%	0.84%	0.60%	0.00%	0.00%	0.00%	0.55%	0.66%	0.69%	1.10%	0.44%	0.78%	0.72%	0.00%	0.73%	0.88%	0.22%	0.68%	0.38%	1.10%	1.07%	2.51%	1.10%	1.29%					
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
