Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Городищенская - 81																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	26435	2029	1589	1549	1095	1810	1235	791	371	1942	1634	2235	1423	1034	1276	2162	2023	989	1248									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24344	1983	1601	1320	930	1500	1040	785	376	1660	1605	1875	1350	870	1085	2163	2024	927	1250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9189	755	719	588	407	651	406	246	153	616	492	863	377	368	515	658	556	279	540									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	478	14	8	26	10	44	22	19	13	39	27	27	51	30	41	34	21	10	42									
6	Число погашенных избирательных бюллетеней	14677	1214	874	706	513	805	612	520	210	1005	1086	985	922	472	529	1471	1447	638	668									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	478	14	8	26	10	44	22	19	13	39	27	27	51	30	41	34	21	10	42									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9189	755	719	588	407	651	406	246	153	616	492	863	377	368	515	658	556	279	540									
9	Число недействительных избирательных бюллетеней	210	8	10	14	9	9	10	8	0	9	10	47	16	16	13	14	4	5	8									
10	Число действительных избирательных бюллетеней	9457	761	717	600	408	686	418	257	166	646	509	843	412	382	543	678	573	284	574									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	252	19	16	16	11	18	12	8	4	20	16	22	14	10	8	20	20	10	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	141	19	11	14	4	18	7	3	4	12	11	8	6	2	2	10	6	2	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	99	13	8	5	8	8	12	1	3	2	3	7	5	2	4	5	6	3	4									
14	Число погашенных неиспользованных открепительных удостоверений	111	0	5	2	7	0	5	5	0	8	5	14	8	8	6	10	14	8	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	47	9	5	0	3	4	4	4	1	8	2	0	3	3	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	154	13	11	11	3	8	4	2	5	6	21	16	12	7	6	8	9	11	1									
		1.59%	1.69%	1.51%	1.79%	0.72%	1.15%	0.93%	0.75%	3.01%	0.92%	4.05%	1.80%	2.80%	1.76%	1.08%	1.16%	1.56%	3.81%	0.17%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	325	21	21	13	11	26	16	5	5	24	12	26	21	22	19	24	18	12	29									
		3.36%	2.73%	2.89%	2.12%	2.64%	3.74%	3.74%	1.89%	3.01%	3.66%	2.31%	2.92%	4.91%	5.53%	3.42%	3.47%	3.12%	4.15%	4.98%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	239	17	26	15	12	19	5	7	5	24	11	18	6	14	6	18	24	3	9									
		2.47%	2.21%	3.58%	2.44%	2.88%	2.73%	1.17%	2.64%	3.01%	3.66%	2.12%	2.02%	1.40%	3.52%	1.08%	2.60%	4.16%	1.04%	1.55%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4112	320	299	272	180	263	181	86	62	270	215	368	176	144	334	307	205	91	339									
		42.54%	41.61%	41.13%	44.30%	43.17%	37.84%	42.29%	32.45%	37.35%	41.22%	41.43%	41.35%	41.12%	36.18%	60.07%	44.36%	35.53%	31.49%	58.25%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	68	8	4	4	7	7	3	2	4	4	2	4	2	4	2	3	7	0	1									
		0.70%	1.04%	0.55%	0.65%	1.68%	1.01%	0.70%	0.75%	2.41%	0.61%	0.39%	0.45%	0.47%	1.01%	0.36%	0.43%	1.21%	0.00%	0.17%									
24	"6. Политическая партия ""Гражданская Платформа"""	17	2	2	0	0	3	0	0	1	1	0	3	1	0	1	0	3	0	0									
		0.18%	0.26%	0.28%	0.00%	0.00%	0.43%	0.00%	0.00%	0.60%	0.15%	0.00%	0.34%	0.23%	0.00%	0.18%	0.00%	0.52%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1949	154	117	127	75	158	97	81	23	125	102	202	97	81	88	131	147	68	76									
		20.16%	20.03%	16.09%	20.68%	17.99%	22.73%	22.66%	30.57%	13.86%	19.08%	19.65%	22.70%	22.66%	20.35%	15.83%	18.93%	25.48%	23.53%	13.06%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	72	6	9	9	2	3	4	1	1	5	9	4	3	5	1	9	0	0	1									
		0.74%	0.78%	1.24%	1.47%	0.48%	0.43%	0.93%	0.38%	0.60%	0.76%	1.73%	0.45%	0.70%	1.26%	0.18%	1.30%	0.00%	0.00%	0.17%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	92	13	11	9	5	3	3	1	6	11	3	3	0	6	3	5	4	4	2									
		0.95%	1.69%	1.51%	1.47%	1.20%	0.43%	0.70%	0.38%	3.61%	1.68%	0.58%	0.34%	0.00%	1.51%	0.54%	0.72%	0.69%	1.38%	0.34%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	12	1	0	1	0	1	0	1	0	2	2	1	2	0	1	0	0	0	0									
		0.12%	0.13%	0.00%	0.16%	0.00%	0.14%	0.00%	0.38%	0.00%	0.31%	0.39%	0.11%	0.47%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	150	16	11	9	11	8	7	3	5	18	14	7	8	7	5	8	7	2	4									
		1.55%	2.08%	1.51%	1.47%	2.64%	1.15%	1.64%	1.13%	3.01%	2.75%	2.70%	0.79%	1.87%	1.76%	0.90%	1.16%	1.21%	0.69%	0.69%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1829	157	176	105	76	165	78	59	37	133	95	155	75	79	57	102	111	74	95									
		18.92%	20.42%	24.21%	17.10%	18.23%	23.74%	18.22%	22.26%	22.29%	20.31%	18.30%	17.42%	17.52%	19.85%	10.25%	14.74%	19.24%	25.61%	16.32%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	66	6	3	1	4	5	2	4	2	4	1	7	1	3	4	5	5	7	2									
