Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Сосногорская городская																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	36468	803	148	1084	2062	2101	1901	830	1636	2752	2741	845	1138	2400	1728	2667	2542	2726	2620	628	547	270	476	398	468	654	58	245									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	34278	800	125	1000	2000	2000	1800	800	1500	2500	2500	800	1000	2400	1600	2500	2500	2500	2500	600	500	250	450	350	450	550	58	245									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	298	9	31	0	0	0	0	0	0	0	0	0	0	0	0	73	41	52	6	0	0	0	0	0	66	20	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13745	327	39	365	731	830	622	332	707	1047	1142	276	374	871	592	990	749	915	966	334	211	156	198	208	184	276	58	245									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	409	31	8	10	23	8	19	3	5	15	8	4	7	7	7	55	14	5	28	33	8	11	26	17	26	31	0	0									
6	Число погашенных избирательных бюллетеней	19826	433	47	625	1246	1162	1159	465	788	1438	1350	520	619	1522	1001	1382	1696	1528	1500	233	281	83	226	125	174	223	0	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	707	40	39	10	23	8	19	3	5	15	8	4	7	7	7	128	55	57	34	33	8	11	26	17	92	51	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13739	327	39	365	731	830	622	332	707	1046	1142	276	374	871	588	990	749	914	966	334	211	156	198	208	184	276	58	245									
9	Число недействительных избирательных бюллетеней	508	10	0	24	22	23	24	9	33	42	22	8	11	28	16	26	24	33	62	16	6	12	12	9	7	6	0	23									
10	Число действительных избирательных бюллетеней	13938	357	78	351	732	815	617	326	679	1019	1128	272	370	850	579	1092	780	938	938	351	213	155	212	216	269	321	58	222									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1300	20	5	50	90	90	90	20	50	90	90	20	50	90	50	90	90	90	90	20	25	5	20	40	15	10	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	530	7	0	11	8	15	18	18	25	17	54	2	10	12	16	66	39	63	32	20	25	1	11	38	15	7	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	246	7	0	16	2	6	5	7	7	13	12	3	10	23	18	11	4	38	10	2	1	3	1	2	17	2	0	26									
14	Число погашенных неиспользованных открепительных удостоверений	770	13	5	39	82	75	72	2	25	73	36	18	40	78	34	24	51	27	58	0	0	4	9	2	0	3	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	37	4	0	1	2	4	3	1	4	3	3	2	1	4	3	0	0	1	0	0	0	0	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	255	9	1	6	12	19	17	3	19	22	17	3	6	24	15	21	5	14	21	3	4	3	2	3	2	1	0	3									
		1.77%	2.45%	1.28%	1.60%	1.59%	2.27%	2.65%	0.90%	2.67%	2.07%	1.48%	1.07%	1.57%	2.73%	2.52%	1.88%	0.62%	1.44%	2.10%	0.82%	1.83%	1.80%	0.89%	1.33%	0.72%	0.31%	0.00%	1.22%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	547	13	4	12	31	37	24	11	28	53	31	11	13	23	9	39	31	36	63	16	9	4	10	3	14	13	2	7									
		3.79%	3.54%	5.13%	3.20%	4.11%	4.42%	3.74%	3.28%	3.93%	4.99%	2.70%	3.93%	3.41%	2.62%	1.51%	3.49%	3.86%	3.71%	6.30%	4.36%	4.11%	2.40%	4.46%	1.33%	5.07%	3.98%	3.45%	2.86%									
