Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																		
Дата голосования: 02.12.2007																		
																		
Наименование Избирательной комиссии:    Вуктыльская городская																		
																		
Сводная таблица результатов выборов																		
																		
		Сумма	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137					
1	"Число избирателей, внесенных в списки избирателей"	13726	353	796	2299	2176	2284	2092	2132	278	265	920	131					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	13880	330	950	2300	2150	2250	2000	2200	300	250	1000	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	226	156	61	0	0	0	0	0	0	0	0	9					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	8916	129	517	1464	1532	1511	1430	1287	186	196	571	93					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	382	11	38	86	39	45	30	55	13	13	40	12					
6	Число погашенных избирательных бюллетеней	4356	34	334	750	579	694	540	858	101	41	389	36					
7	Число избирательных бюллетеней в переносных ящиках для голосования	608	167	99	86	39	45	30	55	13	13	40	21					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8914	129	517	1464	1532	1510	1429	1287	186	196	571	93					
9	Число недействительных избирательных бюллетеней	75	3	6	17	9	11	9	10	0	4	6	0					
10	Число действительных избирательных бюллетеней	9447	293	610	1533	1562	1544	1450	1332	199	205	605	114					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	203	5	18	30	30	30	30	30	5	7	13	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	199	5	18	30	29	30	30	30	5	7	12	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	440	102	16	27	96	52	90	33	3	14	5	2					
14	Число погашенных неиспользованных открепительных удостоверений	4	0	0	0	1	0	0	0	0	0	1	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	680	40	156	65	67	27	52	62	22	36	122	31					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
																		
18	1.Политическая партия «Аграрная партия России»	257	4	22	46	43	40	33	32	4	13	20	0					
		2.70%	1.35%	3.57%	2.97%	2.74%	2.57%	2.26%	2.38%	2.01%	6.22%	3.27%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	78	1	3	15	11	16	14	9	0	1	5	3					
		0.82%	0.34%	0.49%	0.97%	0.70%	1.03%	0.96%	0.67%	0.00%	0.48%	0.82%	2.63%					
20	3.Политическая партия «Демократическая партия России»	10	0	1	3	1	1	1	0	1	0	1	1					
		0.11%	0.00%	0.16%	0.19%	0.06%	0.06%	0.07%	0.00%	0.50%	0.00%	0.16%	0.88%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	718	19	63	104	119	118	94	90	21	12	67	11					
		7.54%	6.42%	10.23%	6.71%	7.57%	7.59%	6.44%	6.71%	10.55%	5.74%	10.97%	9.65%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	53	0	11	5	8	8	10	9	0	0	2	0					
		0.56%	0.00%	1.79%	0.32%	0.51%	0.51%	0.69%	0.67%	0.00%	0.00%	0.33%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	20	0	1	4	6	3	2	1	0	1	2	0					
		0.21%	0.00%	0.16%	0.26%	0.38%	0.19%	0.14%	0.07%	0.00%	0.48%	0.33%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	1254	52	106	189	190	219	190	163	43	26	63	13					
		13.17%	17.57%	17.21%	12.19%	12.09%	14.08%	13.02%	12.15%	21.61%	12.44%	10.31%	11.40%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	624	20	46	103	113	84	78	94	12	5	60	9					
		6.55%	6.76%	7.47%	6.65%	7.19%	5.40%	5.35%	7.00%	6.03%	2.39%	9.82%	7.89%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	66	1	14	3	12	11	4	11	2	3	5	0					
		0.69%	0.34%	2.27%	0.19%	0.76%	0.71%	0.27%	0.82%	1.01%	1.44%	0.82%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	6295	194	341	1048	1043	1028	1017	911	116	144	377	76					
		66.11%	65.54%	55.36%	67.61%	66.39%	66.11%	69.71%	67.88%	58.29%	68.90%	61.70%	66.67%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	72	2	2	13	16	16	7	12	0	0	3	1					
		0.76%	0.68%	0.32%	0.84%	1.02%	1.03%	0.48%	0.89%	0.00%	0.00%	0.49%	0.88%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
