Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																						
Дата голосования: 04.12.2011																																																																						
																																																																						
Наименование Избирательной комиссии:    Мелеузовская																																																																						
																																																																						
Сводная таблица результатов выборов																																																																						
																																																																						
		Сумма	УИК №2583	УИК №2584	УИК №2585	УИК №2586	УИК №2587	УИК №2588	УИК №2589	УИК №2590	УИК №2591	УИК №2592	УИК №2593	УИК №2594	УИК №2595	УИК №2596	УИК №2597	УИК №2598	УИК №2599	УИК №2600	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2625	УИК №2626	УИК №2627	УИК №2628	УИК №2629	УИК №2630	УИК №2631	УИК №2632	УИК №2633	УИК №2634	УИК №2635	УИК №2636	УИК №2637	УИК №2638	УИК №2639	УИК №2640	УИК №2641	УИК №2642	УИК №2643	УИК №2644	УИК №2645					
1	"Число избирателей, внесенных в список избирателей"	63530	2592	2018	672	1095	1180	1487	1207	2376	1239	2127	1170	2231	2062	2215	1896	1389	1985	2290	2157	1759	2387	2391	1286	2273	1094	575	390	476	151	442	801	465	368	777	248	140	643	276	232	270	256	128	1642	1454	175	871	620	743	461	267	856	143	560	643	790	526	269	275	272	243	260	199	1045					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	65500	2760	2310	700	1100	1080	1450	1190	2400	1260	2250	1200	2270	2070	2310	1940	1420	1890	2380	2250	2050	2460	2330	1300	2290	1080	560	440	490	160	460	790	520	360	770	250	140	690	270	230	270	260	120	1660	1440	180	1010	610	760	470	280	910	140	670	780	790	610	290	350	270	250	250	200	1060					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	52730	2003	1753	521	844	912	1195	965	1901	1132	1802	911	1759	1606	1710	1635	1196	1447	1791	1699	1731	2209	1856	1108	1751	1011	513	245	437	127	385	558	359	300	723	214	134	592	263	196	247	211	114	1433	1294	149	603	590	665	380	210	774	130	502	523	687	452	250	247	237	215	226	176	921					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3107	86	65	63	54	79	83	32	44	49	66	50	51	36	25	43	52	195	46	35	28	51	76	88	45	64	16	108	10	18	22	97	84	45	40	22	0	36	5	27	18	27	6	62	52	12	207	15	67	73	55	44	8	44	109	67	60	19	23	22	8	15	9	49					
6	Число погашенных избирательных бюллетеней	9663	671	492	116	202	89	172	193	455	79	382	239	460	428	575	262	172	248	543	516	291	200	398	104	494	5	31	87	43	15	53	135	77	15	7	14	6	62	2	7	5	22	0	165	94	19	200	5	28	17	15	92	2	124	148	36	98	21	80	11	27	9	15	90					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3107	86	65	63	54	79	83	32	44	49	66	50	51	36	25	43	52	195	46	35	28	51	76	88	45	64	16	108	10	18	22	97	84	45	40	22	0	36	5	27	18	27	6	62	52	12	207	15	67	73	55	44	8	44	109	67	60	19	23	22	8	15	9	49					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	52724	2003	1753	521	844	912	1195	965	1901	1132	1802	911	1759	1606	1710	1635	1196	1447	1791	1699	1731	2209	1855	1108	1751	1011	513	245	437	127	385	558	359	300	723	214	134	592	263	196	247	211	114	1433	1294	149	603	590	665	380	210	774	130	502	523	687	452	245	247	237	215	226	176	921					
9	Число недействительных избирательных бюллетеней	407	6	20	0	0	7	0	3	26	0	2	9	9	10	0	14	15	11	0	8	14	2	19	9	11	78	1	1	1	0	3	8	2	0	2	0	4	0	0	2	16	3	0	10	37	18	8	0	0	0	0	8	0	1	1	0	2	0	6	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	55424	2083	1798	584	898	984	1278	994	1919	1181	1866	952	1801	1632	1735	1664	1233	1631	1837	1726	1745	2258	1912	1187	1785	997	528	352	446	145	404	647	441	345	761	236	130	628	268	221	249	235	120	1485	1309	143	802	605	732	453	265	810	138	545	631	754	510	264	264	259	223	241	185	970					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	778	28	25	10	10	10	20	15	35	15	40	10	16	20	25	20	15	20	30	34	25	22	25	3	15	10	5	20	5	5	5	9	10	0	6	5	5	8	5	5	5	5	5	10	10	3	42	5	5	6	10	7	3	5	10	8	5	5	5	5	5	1	0	22					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	702	28	21	7	9	7	16	15	35	14	38	10	16	20	24	20	15	20	30	33	25	22	22	3	12	4	5	20	4	5	5	8	10	0	4	0	0	8	0	3	5	5	3	10	5	2	42	5	2	6	10	7	3	5	10	8	5	2	0	5	2	0	0	22					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	360	5	11	9	2	36	4	7	20	4	14	2	4	10	6	7	3	14	12	23	2	12	10	3	10	6	3	3	4	2	2	3	9	0	4	2	1	0	1	4	10	3	0	19	2	1	6	0	3	2	4	3	2	1	7	1	2	1	5	2	3	0	3	6					
14	Число погашенных неиспользованных открепительных удостоверений	76	0	4	3	1	3	4	0	0	1	2	0	0	0	1	0	0	0	0	1	0	0	3	0	3	6	0	0	1	0	0	1	0	0	2	5	5	0	5	2	0	0	2	0	5	1	0	0	3	0	0	0	0	0	0	0	0	3	5	0	3	1	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	76	3	0	0	1	2	2	2	3	1	4	2	3	4	1	7	3	1	5	3	2	2	2	2	6	4	0	1	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1233	50	31	48	22	16	54	8	86	47	7	75	49	56	74	101	1	29	40	39	21	31	42	42	31	4	6	2	5	0	1	42	6	5	0	1	0	10	2	1	12	3	1	23	43	1	2	3	3	2	1	3	0	13	16	3	2	4	1	5	0	2	2	3					
		2.21%	2.39%	1.71%	8.22%	2.45%	1.61%	4.23%	0.80%	4.42%	3.98%	0.37%	7.80%	2.71%	3.41%	4.27%	6.02%	0.08%	1.77%	2.18%	2.25%	1.19%	1.37%	2.18%	3.51%	1.73%	0.37%	1.13%	0.57%	1.12%	0.00%	0.25%	6.41%	1.35%	1.45%	0.00%	0.42%	0.00%	1.59%	0.75%	0.45%	4.53%	1.26%	0.83%	1.54%	3.19%	0.62%	0.25%	0.50%	0.41%	0.44%	0.38%	0.37%	0.00%	2.38%	2.53%	0.40%	0.39%	1.52%	0.37%	1.93%	0.00%	0.83%	1.08%	0.31%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1140	38	52	9	10	49	59	23	26	34	5	6	17	26	60	15	1	25	77	55	76	45	65	28	112	5	3	2	5	3	2	37	6	4	11	3	0	5	2	2	3	3	1	29	39	2	4	5	1	4	1	3	1	3	6	6	5	4	1	3	4	3	3	3					
		2.04%	1.82%	2.86%	1.54%	1.11%	4.94%	4.62%	2.31%	1.34%	2.88%	0.27%	0.62%	0.94%	1.58%	3.46%	0.89%	0.08%	1.52%	4.19%	3.17%	4.32%	1.99%	3.37%	2.34%	6.24%	0.47%	0.57%	0.57%	1.12%	2.07%	0.49%	5.65%	1.35%	1.16%	1.44%	1.27%	0.00%	0.80%	0.75%	0.90%	1.13%	1.26%	0.83%	1.94%	2.90%	1.24%	0.49%	0.83%	0.14%	0.88%	0.38%	0.37%	0.72%	0.55%	0.95%	0.80%	0.98%	1.52%	0.37%	1.16%	1.79%	1.24%	1.62%	0.31%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	168	2	3	1	0	3	3	11	10	7	3	1	8	6	8	7	2	11	2	3	14	4	4	4	6	0	1	0	3	0	1	4	1	0	1	1	0	1	0	0	4	1	1	7	9	1	0	1	1	0	0	1	0	2	3	0	0	0	0	1	0	0	0	0					
		0.30%	0.10%	0.17%	0.17%	0.00%	0.30%	0.23%	1.10%	0.51%	0.59%	0.16%	0.10%	0.44%	0.37%	0.46%	0.42%	0.16%	0.67%	0.11%	0.17%	0.80%	0.18%	0.21%	0.33%	0.33%	0.00%	0.19%	0.00%	0.67%	0.00%	0.25%	0.61%	0.23%	0.00%	0.13%	0.42%	0.00%	0.16%	0.00%	0.00%	1.51%	0.42%	0.83%	0.47%	0.67%	0.62%	0.00%	0.17%	0.14%	0.00%	0.00%	0.12%	0.00%	0.37%	0.47%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	5352	313	237	56	153	69	123	131	196	126	326	99	271	221	210	170	294	207	242	208	98	110	223	126	169	41	14	12	6	4	12	208	13	18	17	6	7	16	3	6	23	19	4	138	104	2	21	9	7	16	3	8	2	70	34	39	12	7	4	8	8	7	4	42					
