Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																					
Дата голосования: 02.12.2007																																																																					
																																																																					
Наименование Избирательной комиссии:    Мелеузовская																																																																					
																																																																					
Сводная таблица результатов выборов																																																																					
																																																																					
		Сумма	УИК №2593	УИК №2594	УИК №2595	УИК №2596	УИК №2597	УИК №2598	УИК №2599	УИК №2600	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2625	УИК №2626	УИК №2627	УИК №2628	УИК №2629	УИК №2630	УИК №2631	УИК №2632	УИК №2633	УИК №2634	УИК №2635	УИК №2636	УИК №2637	УИК №2638	УИК №2639	УИК №2640	УИК №2641	УИК №2642	УИК №2643	УИК №2644	УИК №2645	УИК №2646	УИК №2647	УИК №2648	УИК №2649	УИК №2650	УИК №2651	УИК №2652	УИК №2653	УИК №2654					
1	"Число избирателей, внесенных в списки избирателей"	60344	2451	1752	640	1015	1223	1321	1497	2377	898	2717	1268	1860	1592	1762	3200	2555	1787	2780	1200	2995	1374	2126	2131	178	846	473	370	421	629	376	766	253	149	143	679	271	210	240	236	113	1470	1218	353	413	460	277	875	559	711	640	546	418	439	152	815	254	236	218	180	806	170	260					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	60800	2550	1750	630	1000	1100	1300	1500	2400	900	2800	1200	1800	1650	2200	3000	2600	1900	2700	1200	3000	1300	2210	2100	175	840	490	370	430	665	375	770	250	155	155	700	270	210	240	240	120	1400	1200	355	430	470	280	900	570	720	640	540	420	440	150	860	260	230	230	180	850	170	260					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	53831	2161	1590	583	939	1051	1129	1319	2149	743	2434	1121	1652	1414	1633	2957	1987	1628	2491	1125	2709	1192	1923	1931	162	711	436	256	404	496	259	740	223	148	132	625	270	209	224	207	108	1386	1096	305	363	423	231	778	535	620	529	469	408	412	144	635	251	219	207	168	776	170	235					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3007	69	74	44	26	49	72	31	38	96	62	62	43	19	34	43	343	17	39	25	39	58	163	51	13	117	28	110	8	133	114	17	18	0	11	50	0	0	16	18	5	14	54	41	45	30	44	40	22	85	105	71	10	27	6	180	0	9	9	10	25	0	25					
6	Число погашенных избирательных бюллетеней	3962	320	86	3	35	0	99	150	213	61	304	17	105	217	533	0	270	255	170	50	252	50	124	118	0	12	26	4	18	36	2	13	9	7	12	25	0	1	0	15	7	0	50	9	22	17	5	82	13	15	6	0	2	1	0	45	9	2	14	2	49	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3007	69	74	44	26	49	72	31	38	96	62	62	43	19	34	43	343	17	39	25	39	58	163	51	13	117	28	110	8	133	114	17	18	0	11	50	0	0	16	18	5	14	54	41	45	30	44	40	22	85	105	71	10	27	6	180	0	9	9	10	25	0	25					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	53831	2161	1590	583	939	1051	1129	1319	2149	743	2434	1121	1652	1414	1633	2957	1987	1628	2491	1125	2709	1192	1923	1931	162	711	436	256	404	496	259	740	223	148	132	625	270	209	224	207	108	1386	1096	305	363	423	231	778	535	620	529	469	408	412	144	635	251	219	207	168	776	170	235					
9	Число недействительных избирательных бюллетеней	248	3	5	0	0	2	1	3	6	0	0	4	3	12	0	8	8	0	6	0	0	4	1	21	19	0	78	0	1	4	0	41	0	0	0	0	0	0	3	3	0	0	5	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
10	Число действительных избирательных бюллетеней	56590	2227	1659	627	965	1098	1200	1347	2181	839	2496	1179	1692	1421	1667	2992	2322	1645	2524	1150	2748	1246	2085	1961	156	828	386	366	411	625	373	716	241	148	143	675	270	209	237	222	113	1400	1145	346	408	453	275	817	552	705	634	540	418	439	150	815	251	228	216	178	801	170	259					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	575	25	10	10	15	10	20	23	30	5	24	20	20	22	16	27	23	20	33	21	25	13	13	20	0	14	5	4	5	6	8	6	0	0	2	0	0	0	3	3	0	5	5	2	6	0	3	6	2	3	8	3	1	0	0	10	3	2	0	3	11	0	1					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	486	18	6	4	11	7	14	18	28	2	24	12	20	21	16	24	23	13	29	17	25	7	13	19	0	14	4	4	5	6	7	6	0	0	0	0	0	0	3	0	0	5	5	2	6	0	3	6	2	2	7	2	1	0	0	7	3	1	0	3	10	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	332	5	6	4	4	56	5	0	10	2	4	2	5	10	4	6	25	2	11	4	13	7	6	5	4	4	2	0	2	2	3	5	2	0	0	4	1	4	13	3	4	24	6	3	2	2	2	4	2	5	3	1	4	1	1	5	1	2	2	2	7	3	1					
14	Число погашенных неиспользованных открепительных удостоверений	89	7	4	6	4	3	6	5	2	3	0	8	0	1	0	3	0	7	4	4	0	6	0	1	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	3	0	1	0	0	1	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	69	2	0	1	3	2	1	0	7	1	9	1	0	3	4	7	1	1	7	0	3	3	6	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																					
18	1.Политическая партия «Аграрная партия России»	108	5	0	0	0	7	0	0	5	0	0	2	2	4	0	8	9	0	5	0	0	5	9	2	1	0	4	2	0	1	1	4	1	0	0	1	0	0	2	3	0	1	14	0	0	0	1	1	0	0	1	0	0	0	0	6	0	0	0	0	1	0	0					
		0.19%	0.22%	0.00%	0.00%	0.00%	0.64%	0.00%	0.00%	0.23%	0.00%	0.00%	0.17%	0.12%	0.28%	0.00%	0.27%	0.39%	0.00%	0.20%	0.00%	0.00%	0.40%	0.43%	0.10%	0.57%	0.00%	0.86%	0.55%	0.00%	0.16%	0.27%	0.53%	0.41%	0.00%	0.00%	0.15%	0.00%	0.00%	0.83%	1.33%	0.00%	0.07%	1.22%	0.00%	0.00%	0.00%	0.36%	0.12%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.74%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	52	2	0	0	0	5	2	0	6	0	0	3	1	3	8	2	0	0	6	0	0	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.09%	0.09%	0.00%	0.00%	0.00%	0.45%	0.17%	0.00%	0.27%	0.00%	0.00%	0.25%	0.06%	0.21%	0.48%	0.07%	0.00%	0.00%	0.24%	0.00%	0.00%	0.32%	0.14%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	28	3	0	0	0	0	0	0	1	0	0	0	0	3	9	2	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.05%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.05%	0.00%	0.00%	0.00%	0.00%	0.21%	0.54%	0.07%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	3799	211	133	63	61	99	127	94	176	44	175	124	162	107	158	324	229	132	291	115	220	126	154	159	1	58	5	3	3	24	2	5	5	1	2	10	1	1	14	12	2	13	86	4	6	8	2	4	3	6	4	5	2	1	2	8	2	2	2	1	3	2	0					
		6.68%	9.46%	7.99%	10.05%	6.32%	9.00%	10.57%	6.96%	8.05%	5.24%	7.01%	10.48%	9.56%	7.47%	9.48%	10.80%	9.83%	8.02%	11.50%	10.00%	8.01%	10.08%	7.38%	8.02%	0.57%	7.00%	1.08%	0.82%	0.73%	3.82%	0.54%	0.66%	2.07%	0.68%	1.40%	1.48%	0.37%	0.48%	5.83%	5.33%	1.77%	0.93%	7.48%	1.16%	1.47%	1.77%	0.73%	0.49%	0.54%	0.85%	0.63%	0.93%	0.48%	0.23%	1.33%	0.98%	0.80%	0.88%	0.93%	0.56%	0.37%	1.18%	0.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	37	1	0	0	0	6	0	0	8	0	0	0	0	4	0	2	1	0	4	0	0	0	5	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.07%	0.04%	0.00%	0.00%	0.00%	0.55%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.07%	0.04%	0.00%	0.16%	0.00%	0.00%	0.00%	0.24%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.83%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	27	3	0	3	0	0	0	0	0	0	0	2	1	2	5	2	0	0	5	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.05%	0.13%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.06%	0.14%	0.30%	0.07%	0.00%	0.00%	0.20%	0.00%	0.00%	0.08%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	955	48	57	20	43	33	14	13	46	21	37	15	47	43	0	32	55	72	17	3	61	22	69	56	1	2	4	2	3	4	1	3	3	1	0	2	0	0	1	5	0	13	41	3	4	5	3	3	2	3	2	1	1	1	1	4	2	8	1	0	1	0	0					
		1.68%	2.15%	3.43%	3.19%	4.46%	3.00%	1.17%	0.96%	2.10%	2.50%	1.48%	1.27%	2.77%	3.00%	0.00%	1.07%	2.36%	4.38%	0.67%	0.26%	2.22%	1.76%	3.31%	2.83%	0.57%	0.24%	0.86%	0.55%	0.73%	0.64%	0.27%	0.40%	1.24%	0.68%	0.00%	0.30%	0.00%	0.00%	0.42%	2.22%	0.00%	0.93%	3.57%	0.87%	0.98%	1.10%	1.09%	0.37%	0.36%	0.43%	0.32%	0.19%	0.24%	0.23%	0.67%	0.49%	0.80%	3.51%	0.46%	0.00%	0.12%	0.00%	0.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	416	22	25	0	36	0	12	2	20	21	38	14	11	28	25	22	9	0	27	0	3	8	24	6	0	0	6	0	2	3	1	1	3	0	0	2	0	0	3	3	0	1	25	0	2	0	0	4	0	0	2	1	0	0	0	1	0	0	1	0	2	0	0					
		0.73%	0.99%	1.50%	0.00%	3.73%	0.00%	0.99%	0.15%	0.91%	2.50%	1.52%	1.18%	0.65%	1.95%	1.50%	0.73%	0.39%	0.00%	1.07%	0.00%	0.11%	0.64%	1.15%	0.30%	0.00%	0.00%	1.29%	0.00%	0.49%	0.48%	0.27%	0.13%	1.24%	0.00%	0.00%	0.30%	0.00%	0.00%	1.25%	1.33%	0.00%	0.07%	2.17%	0.00%	0.49%	0.00%	0.00%	0.49%	0.00%	0.00%	0.32%	0.19%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.46%	0.00%	0.25%	0.00%	0.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	79	3	0	0	1	8	0	0	10	7	0	1	4	3	0	6	3	0	3	0	2	3	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	14	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
		0.14%	0.13%	0.00%	0.00%	0.10%	0.73%	0.00%	0.00%	0.46%	0.83%	0.00%	0.08%	0.24%	0.21%	0.00%	0.20%	0.13%	0.00%	0.12%	0.00%	0.07%	0.24%	0.19%	0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.83%	0.44%	0.00%	0.00%	1.22%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	51023	1927	1444	541	824	933	1041	1238	1898	746	2246	1016	1459	1222	1450	2590	2013	1441	2158	1032	2462	1075	1816	1726	153	768	367	359	403	590	368	703	227	146	141	660	269	208	210	198	111	1372	956	339	395	440	269	803	547	696	625	533	415	437	147	795	247	218	212	177	794	168	259					
		89.77%	86.41%	86.78%	86.28%	85.39%	84.82%	86.68%	91.70%	86.79%	88.92%	89.98%	85.88%	86.08%	85.28%	86.98%	86.33%	86.39%	87.60%	85.30%	89.74%	89.59%	86.00%	87.06%	87.08%	87.43%	92.75%	79.09%	98.09%	97.82%	93.80%	98.66%	92.87%	94.19%	98.65%	98.60%	97.78%	99.63%	99.52%	87.50%	88.00%	98.23%	98.00%	83.13%	97.98%	96.81%	97.13%	97.82%	98.17%	98.20%	98.72%	98.58%	98.70%	99.28%	99.54%	98.00%	97.55%	98.41%	95.61%	98.15%	99.44%	99.13%	98.82%	99.62%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	66	2	0	0	0	7	4	0	11	0	0	2	5	2	12	2	3	0	4	0	0	2	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.12%	0.09%	0.00%	0.00%	0.00%	0.64%	0.33%	0.00%	0.50%	0.00%	0.00%	0.17%	0.29%	0.14%	0.72%	0.07%	0.13%	0.00%	0.16%	0.00%	0.00%	0.16%	0.05%	0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.83%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
