Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Южнопортовый район																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №3131	УИК №3132	УИК №3133					
1	"Число избирателей, внесенных в список"	40201	2465	2359	1703	1411	1762	1906	2090	2537	1490	1473	1946	2054	1770	1812	986	1380	1994	1525	1168	2494	2566	693	124	493					
2	Число полученных избирательных бюллетеней	39200	2500	2200	2000	1500	1600	1900	2000	2500	1500	1500	1800	1800	1700	1800	900	1300	1800	1500	1200	2300	2300	800	200	600					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	23742	1402	1369	1118	788	951	1415	1203	1482	791	835	1413	1203	1061	1084	629	827	1130	1097	863	1379	1508	72	122	0					
5	"Число избирательных бюллетеней, выданных вне помещения"	2051	65	70	83	49	79	47	60	40	40	43	45	63	22	24	15	35	35	55	35	28	16	609	0	493					
6	Число погашенных избирательных бюллетеней	13407	1033	761	799	663	570	438	737	978	669	622	342	534	617	692	256	438	635	348	302	893	776	119	78	107					
7	Число избирательных бюллетеней в переносных ящиках	2051	65	70	83	49	79	47	60	40	40	43	45	63	22	24	15	35	35	55	35	28	16	609	0	493					
8	Число бюллетеней в стационарных ящиках для голосования	23636	1402	1369	1118	788	949	1415	1202	1482	790	835	1409	1137	1061	1084	613	827	1130	1097	863	1376	1495	72	122	0					
9	Число недействительных избирательных бюллетеней	225	13	9	54	0	7	2	9	20	4	8	12	6	13	10	5	4	17	7	10	6	7	2	0	0					
10	Число действительных избирательных бюллетеней	25462	1454	1430	1147	837	1021	1460	1253	1502	826	870	1442	1194	1070	1098	623	858	1148	1145	888	1398	1504	679	122	493					
11	Число полученных открепительных  удостоверений	1090	70	60	60	40	50	50	40	80	50	50	30	50	60	60	30	40	60	40	40	70	60	0	0	0					
12	Число выданных открепительных удостоверений	836	59	54	43	21	40	45	38	65	45	41	18	43	50	53	16	20	41	16	31	51	46	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	910	31	54	98	28	16	42	45	53	39	16	104	22	29	28	26	44	33	8	14	25	55	77	13	10					
14	Число неиспользованных открепительных удостоверений	254	11	6	17	19	10	5	2	15	5	9	12	7	10	7	14	20	19	24	9	19	14	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	9	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	3	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	1562	75	132	55	79	51	75	86	97	44	65	56	75	72	70	34	47	60	61	77	79	101	33	4	34					
		6.08%	5.11%	9.17%	4.58%	9.44%	4.96%	5.13%	6.81%	6.37%	5.30%	7.40%	3.85%	6.25%	6.65%	6.32%	5.41%	5.45%	5.15%	5.30%	8.57%	5.63%	6.68%	4.85%	3.28%	6.90%					
19	. Малышкин Олег Александрович	325	15	19	18	6	11	14	14	20	12	9	16	12	10	20	9	10	24	9	13	24	19	9	4	8					
		1.27%	1.02%	1.32%	1.50%	0.72%	1.07%	0.96%	1.11%	1.31%	1.45%	1.03%	1.10%	1.00%	0.92%	1.81%	1.43%	1.16%	2.06%	0.78%	1.45%	1.71%	1.26%	1.32%	3.28%	1.62%					
20	. Миронов Сергей Михайлович	166	14	16	7	10	4	5	6	6	3	7	9	3	11	6	5	7	4	4	5	8	11	12	0	3					
		0.65%	0.95%	1.11%	0.58%	1.19%	0.39%	0.34%	0.48%	0.39%	0.36%	0.80%	0.62%	0.25%	1.02%	0.54%	0.80%	0.81%	0.34%	0.35%	0.56%	0.57%	0.73%	1.76%	0.00%	0.61%					
21	. Путин Владимир Владимирович	17901	974	935	823	545	668	1152	819	986	615	599	1166	885	736	755	412	603	812	823	541	1017	1049	510	95	381					
		69.69%	66.39%	64.98%	68.53%	65.11%	64.98%	78.80%	64.90%	64.78%	74.10%	68.22%	80.19%	73.75%	67.96%	68.14%	65.61%	69.95%	69.70%	71.44%	60.24%	72.44%	69.42%	74.89%	77.87%	77.28%					
22	. Хакамада Ирина Муцуовна	2029	150	108	107	58	125	71	123	162	54	82	64	79	88	132	45	72	95	89	52	93	133	31	6	10					
		7.90%	10.22%	7.51%	8.91%	6.93%	12.16%	4.86%	9.75%	10.64%	6.51%	9.34%	4.40%	6.58%	8.13%	11.91%	7.17%	8.35%	8.15%	7.73%	5.79%	6.62%	8.80%	4.55%	4.92%	2.03%					
23	. Харитонов Николай Михайлович	1743	125	111	63	77	76	91	105	126	64	52	71	80	70	46	72	51	81	82	55	107	74	35	3	26					
		6.79%	8.52%	7.71%	5.25%	9.20%	7.39%	6.22%	8.32%	8.28%	7.71%	5.92%	4.88%	6.67%	6.46%	4.15%	11.46%	5.92%	6.95%	7.12%	6.12%	7.62%	4.90%	5.14%	2.46%	5.27%					
																															
24	Против всех	1736	101	109	74	62	86	52	100	105	34	56	60	60	83	69	46	68	72	77	145	70	117	49	10	31					
		6.76%	6.88%	7.57%	6.16%	7.41%	8.37%	3.56%	7.92%	6.90%	4.10%	6.38%	4.13%	5.00%	7.66%	6.23%	7.32%	7.89%	6.18%	6.68%	16.15%	4.99%	7.74%	7.20%	8.20%	6.29%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
