Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																								
Дата голосования: 04.12.2011																																																								
																																																								
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №16																																																								
																																																								
Сводная таблица результатов выборов																																																								
																																																								
		Сумма	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806					
1	"Число избирателей, внесенных в список избирателей"	90639	497	2223	2134	1774	2422	1666	1749	2253	1319	2382	1493	1964	2845	2007	1456	2360	1715	2946	1815	2098	1361	1642	1071	1492	1958	1270	2480	1682	1568	2055	1454	2004	1974	2269	1769	2472	1584	2035	2983	1575	1125	2477	2390	1624	2751	1583	2360	438	75					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	71700	800	1500	1800	1400	1750	1250	1400	1850	1050	1650	1250	1500	1850	1400	1100	1750	1200	2350	1350	1600	1050	1300	800	1150	1550	1000	2000	1350	1250	1650	1150	1550	1550	1850	1400	1600	1350	1650	2350	1250	1800	2000	1650	1400	2100	1300	1850	800	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	46261	483	1170	1529	877	1337	806	909	1508	625	1294	706	1215	1547	1070	843	1171	988	1417	838	1101	626	803	543	695	845	640	1105	778	733	927	610	921	940	1230	818	1195	882	896	1524	737	1091	1070	1204	784	1267	796	1086	32	49					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1169	14	6	11	23	17	6	33	25	13	22	13	22	49	28	13	21	22	17	12	16	9	17	8	10	6	14	39	19	10	13	14	11	6	18	18	19	14	16	24	15	13	28	16	18	19	6	12	368	6					
6	Число погашенных избирательных бюллетеней	24266	303	324	260	500	396	438	458	317	412	334	531	263	254	302	244	558	190	916	500	483	415	480	249	445	699	346	856	552	507	710	526	618	601	602	564	386	454	738	802	498	696	902	430	598	814	498	752	400	145					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1167	14	6	11	23	17	6	33	25	13	22	13	22	49	28	13	21	22	17	12	16	9	17	8	10	6	14	39	19	10	13	14	11	6	18	18	19	14	16	24	15	13	28	16	18	19	6	12	366	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	44735	483	1169	1526	876	1114	795	905	1324	623	1096	706	962	1359	1070	843	988	902	1417	804	1013	625	803	543	692	841	636	1105	777	733	922	610	921	937	1227	816	1195	882	893	1519	736	1087	1070	1195	778	1267	794	1075	32	49					
9	Число недействительных избирательных бюллетеней	777	15	23	24	9	22	12	20	26	7	20	13	9	28	22	6	16	16	19	21	18	11	7	7	14	14	11	28	14	11	12	10	14	13	22	17	21	28	15	15	14	20	20	21	7	17	12	24	8	4					
10	Число действительных избирательных бюллетеней	45125	482	1152	1513	890	1109	789	918	1323	629	1098	706	975	1380	1076	850	993	908	1415	795	1011	623	813	544	688	833	639	1116	782	732	923	614	918	930	1223	817	1193	868	894	1528	737	1080	1078	1190	789	1269	788	1063	390	51					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2250	24	103	165	40	49	38	42	47	32	29	37	60	52	43	34	53	35	70	38	48	32	39	25	32	45	28	61	40	38	49	35	47	47	57	42	48	40	49	72	37	56	53	48	42	64	39	46	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1535	8	103	162	27	35	32	24	35	15	28	16	55	33	36	20	29	24	36	25	31	17	22	15	15	22	24	27	27	30	39	20	34	29	22	25	29	30	34	52	28	30	39	25	35	40	20	31	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1177	19	46	45	68	17	12	24	19	22	20	24	29	15	18	17	16	34	31	13	17	26	21	33	40	52	56	34	25	11	22	7	22	17	24	33	26	12	12	30	16	20	28	22	15	25	11	21	8	2					
14	Число погашенных неиспользованных открепительных удостоверений	712	16	0	3	13	14	6	18	12	17	1	21	5	19	7	14	24	11	34	13	17	15	17	10	17	23	4	34	13	8	10	15	13	18	35	17	19	10	15	20	6	26	14	23	7	24	19	15	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	49	1	0	0	0	1	2	0	0	0	1	2	1	3	0	0	0	2	0	1	0	2	0	7	0	0	1	0	0	3	1	0	0	1	0	3	2	0	3	1	4	0	3	0	0	2	2	0	0	0					
16	Число утраченных открепительных удостоверений	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																								
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	12163	149	262	351	244	311	191	251	294	179	279	194	228	309	226	232	269	193	393	193	287	159	245	138	172	237	189	364	249	233	280	168	243	266	344	264	252	258	236	450	199	273	278	365	194	372	238	342	107	13					
		26.50%	29.98%	22.30%	22.84%	27.14%	27.50%	23.85%	26.76%	21.79%	28.14%	24.96%	26.98%	23.17%	21.95%	20.58%	27.10%	26.66%	20.89%	27.41%	23.65%	27.89%	25.08%	29.88%	25.05%	24.50%	27.98%	29.08%	31.82%	31.28%	31.36%	29.95%	26.92%	26.07%	28.21%	27.63%	31.65%	20.76%	28.79%	25.96%	29.16%	26.50%	24.82%	25.32%	30.14%	24.37%	28.93%	29.75%	31.46%	26.88%	23.64%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	4415	30	115	242	80	86	73	84	114	72	95	69	107	119	103	65	88	80	160	89	104	61	68	44	74	85	71	73	71	74	87	53	139	91	103	58	129	59	77	131	77	128	112	123	80	117	77	131	41	6					
		9.62%	6.04%	9.79%	15.74%	8.90%	7.60%	9.11%	8.96%	8.45%	11.32%	8.50%	9.60%	10.87%	8.45%	9.38%	7.59%	8.72%	8.66%	11.16%	10.91%	10.11%	9.62%	8.29%	7.99%	10.54%	10.04%	10.92%	6.38%	8.92%	9.96%	9.30%	8.49%	14.91%	9.65%	8.27%	6.95%	10.63%	6.58%	8.47%	8.49%	10.25%	11.64%	10.20%	10.16%	10.05%	9.10%	9.63%	12.05%	10.30%	10.91%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	594	5	16	20	14	12	15	5	18	8	10	6	17	22	6	6	13	67	20	7	13	12	9	10	10	10	7	4	8	7	15	7	10	14	10	9	14	6	12	18	8	7	10	18	11	20	10	17	1	0					
		1.29%	1.01%	1.36%	1.30%	1.56%	1.06%	1.87%	0.53%	1.33%	1.26%	0.89%	0.83%	1.73%	1.56%	0.55%	0.70%	1.29%	7.25%	1.39%	0.86%	1.26%	1.89%	1.10%	1.81%	1.42%	1.18%	1.08%	0.35%	1.01%	0.94%	1.60%	1.12%	1.07%	1.48%	0.80%	1.08%	1.15%	0.67%	1.32%	1.17%	1.07%	0.64%	0.91%	1.49%	1.38%	1.56%	1.25%	1.56%	0.25%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	7296	87	209	294	151	170	141	171	189	90	132	114	166	196	134	125	178	156	258	102	156	94	142	91	111	137	102	201	135	104	132	119	154	146	212	128	158	159	142	269	118	149	204	204	118	215	106	155	63	9					
		15.89%	17.51%	17.79%	19.13%	16.80%	15.03%	17.60%	18.23%	14.01%	14.15%	11.81%	15.86%	16.87%	13.92%	12.20%	14.60%	17.64%	16.88%	17.99%	12.50%	15.16%	14.83%	17.32%	16.52%	15.81%	16.17%	15.69%	17.57%	16.96%	13.99%	14.12%	19.07%	16.52%	15.48%	17.03%	15.35%	13.01%	17.75%	15.62%	17.43%	15.71%	13.55%	18.58%	16.85%	14.82%	16.72%	13.25%	14.26%	15.83%	16.36%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	8624	119	200	183	196	198	185	198	232	138	235	113	163	261	173	137	201	150	279	160	215	144	152	112	141	182	110	216	156	173	223	125	158	183	284	189	116	181	177	334	144	235	198	194	164	251	132	176	37	1					
