Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва															
Дата голосования: 18.09.2016															
															
Наименование Избирательной комиссии:    Аяно-Майская															
															
Сводная таблица итогов голосования по федеральному избирательному округу															
															
		Сумма	УИК №461	УИК №462	УИК №463	УИК №464									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	2135	112	869	148	1006									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	2900	145	955	200	1600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	640	0	240	0	400									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	789	65	354	104	266									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	72	3	47	5	17									
6	Число погашенных избирательных бюллетеней	1399	77	314	91	917									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	712	3	287	5	417									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	789	65	354	104	266									
9	Число недействительных избирательных бюллетеней	41	2	21	0	18									
10	Число действительных избирательных бюллетеней	1460	66	620	109	665									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	69	5	34	10	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	69	5	34	10	20									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	11	0	4	1	6									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	31	0	31	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0									
															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	13	1	7	2	3									
		0.87%	1.47%	1.09%	1.83%	0.44%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	53	0	29	5	19									
		3.53%	0.00%	4.52%	4.59%	2.78%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	60	2	25	3	30									
		3.99%	2.94%	3.90%	2.75%	4.39%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	691	54	305	69	263									
		46.04%	79.41%	47.58%	63.30%	38.51%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	17	0	8	1	8									
		1.13%	0.00%	1.25%	0.92%	1.17%									
24	"6. Политическая партия ""Гражданская Платформа"""	2	0	1	0	1									
		0.13%	0.00%	0.16%	0.00%	0.15%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	389	8	131	16	234									
		25.92%	11.76%	20.44%	14.68%	34.26%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	5	0	4	0	1									
		0.33%	0.00%	0.62%	0.00%	0.15%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	6	0	2	2	2									
		0.40%	0.00%	0.31%	1.83%	0.29%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	0	2	0	2									
		0.27%	0.00%	0.31%	0.00%	0.29%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	9	0	7	0	2									
		0.60%	0.00%	1.09%	0.00%	0.29%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	153	1	65	7	80									
		10.19%	1.47%	10.14%	6.42%	11.71%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	3	0	2	1	0									
		0.20%	0.00%	0.31%	0.92%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	55	0	32	3	20									
		3.66%	0.00%	4.99%	2.75%	2.93%									
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
