Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																											
Дата голосования: 02.12.2007																																																																											
																																																																											
Наименование Избирательной комиссии:    Иркутская городская № 4																																																																											
																																																																											
Сводная таблица результатов выборов																																																																											
																																																																											
		Сумма	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №1647					
1	"Число избирателей, внесенных в списки избирателей"	150011	1930	2134	1947	2021	2429	2568	2496	2162	2359	2056	2107	2766	2771	2798	2924	2833	2711	2687	2665	2240	2525	1586	653	2325	2620	1769	2154	748	2697	1425	1653	2890	2396	2533	1758	2720	1209	2027	2947	2546	2733	1567	1453	2252	1753	2347	2388	1795	1696	2970	2824	2960	2052	2576	2845	2430	1541	2127	2500	1072	2676	2605	2528	2262	2660	2661	606	347					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	132565	1640	1945	1775	1810	2170	2335	2230	1925	2125	1830	1750	2490	2515	2550	2625	2485	2470	2395	2385	2025	2295	1430	585	2110	2390	1550	1730	665	2310	1275	1630	2340	2020	2490	1445	2300	1050	1740	2330	2205	2045	1185	1385	1960	1595	2060	2115	1620	1535	2570	2395	2600	1805	2305	2520	2205	1395	1715	2275	825	2435	2365	2270	2040	2360	2320	1000	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	76606	909	1094	1026	1038	1134	1369	1191	965	1160	1012	879	1451	1262	1328	1489	1292	1326	1325	1210	1196	1192	901	525	1212	1386	686	1224	300	1392	758	859	1404	1120	1285	854	1305	603	1049	1835	1303	1826	1079	1188	1304	932	1232	1394	1033	812	1343	1416	1337	1169	1325	1573	1213	704	1014	1122	562	1233	1271	1248	1152	1300	1302	415	258					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2956	140	29	67	22	28	9	51	33	24	38	155	19	27	44	19	35	35	34	53	9	31	9	0	15	12	28	45	5	56	6	17	189	104	27	28	31	18	35	45	29	36	27	4	25	17	96	13	41	26	124	22	21	28	32	37	66	27	131	49	179	36	31	25	11	21	45	184	1					
6	Число погашенных избирательных бюллетеней	53003	591	822	682	750	1008	957	988	927	941	780	716	1020	1226	1178	1117	1158	1109	1036	1122	820	1072	520	60	883	992	836	461	360	862	511	754	747	796	1178	563	964	429	656	450	873	183	79	193	631	646	732	708	546	697	1103	957	1242	608	948	910	926	664	570	1104	84	1166	1063	997	877	1039	973	401	41					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2956	140	29	67	22	28	9	51	33	24	38	155	19	27	44	19	35	35	34	53	9	31	9	0	15	12	28	45	5	56	6	17	189	104	27	28	31	18	35	45	29	36	27	4	25	17	96	13	41	26	124	22	21	28	32	37	66	27	131	49	179	36	31	25	11	21	45	184	1					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	76538	908	1094	1025	1038	1134	1366	1190	964	1160	1012	879	1447	1262	1328	1489	1292	1326	1325	1210	1192	1190	901	524	1212	1383	686	1223	300	1391	758	859	1394	1120	1283	854	1304	603	1049	1832	1303	1826	1077	1188	1304	931	1229	1392	1030	812	1340	1411	1332	1169	1325	1570	1213	704	1013	1121	562	1233	1271	1248	1152	1300	1302	415	258					
9	Число недействительных избирательных бюллетеней	858	19	9	13	7	8	13	9	9	14	14	7	19	12	14	13	9	16	12	9	14	6	7	10	13	18	13	11	2	17	10	18	22	15	13	7	8	6	14	17	12	15	12	14	15	8	10	16	9	11	18	23	25	19	17	19	7	13	13	11	12	14	19	9	6	14	13	12	5					
10	Число действительных избирательных бюллетеней	78636	1029	1114	1079	1053	1154	1362	1232	988	1170	1036	1027	1447	1277	1358	1495	1318	1345	1347	1254	1187	1215	903	514	1214	1377	701	1257	303	1430	754	858	1561	1209	1297	875	1327	615	1070	1860	1320	1847	1092	1178	1314	940	1315	1389	1062	827	1446	1410	1328	1178	1340	1588	1272	718	1131	1159	729	1255	1283	1264	1157	1307	1334	587	254					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	4756	60	60	48	45	60	100	70	60	80	50	65	100	90	100	60	105	70	60	60	50	60	60	120	80	90	30	30	10	60	50	55	50	45	45	40	100	30	103	50	60	80	300	300	40	60	60	60	40	40	100	100	100	60	80	50	90	55	70	70	30	60	60	40	60	100	80	0	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	3331	51	53	40	36	52	71	57	48	67	41	38	61	70	73	56	72	70	56	51	44	59	37	95	55	52	24	26	9	45	33	41	44	40	41	30	52	16	91	45	51	46	45	115	40	43	38	40	33	26	58	53	62	51	67	50	73	42	60	62	22	54	46	35	57	50	65	0	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	2669	17	21	32	29	29	28	28	48	16	60	35	37	22	12	43	26	24	41	35	22	30	28	23	31	23	36	72	11	40	14	12	57	28	26	118	24	52	34	50	14	171	51	33	30	13	18	44	24	13	29	126	100	90	46	69	31	27	43	29	41	23	13	16	31	27	38	32	133					
14	Число погашенных неиспользованных открепительных удостоверений	1425	9	7	8	9	8	29	13	12	13	9	27	39	20	27	4	33	0	4	9	6	1	23	25	25	38	6	4	1	15	17	14	6	5	4	10	48	14	12	5	9	34	255	185	0	17	22	20	7	14	42	47	38	9	13	0	17	13	10	8	8	6	14	5	3	50	15	0	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	2	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																											
18	1.Политическая партия «Аграрная партия России»	3598	75	64	47	54	58	73	83	34	95	55	68	52	60	95	64	45	73	49	49	44	34	38	21	39	43	21	104	9	71	40	30	67	48	57	48	38	31	51	87	58	71	33	33	46	50	55	59	42	32	67	59	69	49	81	85	67	27	57	58	29	51	61	55	56	58	53	19	4					
		4.53%	7.16%	5.70%	4.30%	5.09%	4.99%	5.31%	6.69%	3.41%	8.02%	5.24%	6.58%	3.55%	4.65%	6.92%	4.24%	3.39%	5.36%	3.61%	3.88%	3.66%	2.78%	4.18%	4.01%	3.18%	3.08%	2.94%	8.20%	2.95%	4.91%	5.24%	3.42%	4.23%	3.92%	4.35%	5.44%	2.85%	4.99%	4.70%	4.64%	4.35%	3.81%	2.99%	2.77%	3.46%	5.27%	4.15%	4.20%	3.92%	3.82%	4.58%	4.12%	5.10%	4.09%	5.97%	5.29%	5.24%	3.69%	4.98%	4.96%	3.91%	4.02%	4.69%	4.32%	4.82%	4.39%	3.93%	3.17%	1.54%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1272	11	22	17	13	15	15	18	11	8	12	5	23	25	19	18	20	15	16	17	24	18	22	16	28	27	10	14	0	23	17	13	36	27	20	19	35	13	18	42	36	26	16	18	28	35	23	40	26	16	21	22	15	16	20	44	23	6	14	10	8	14	22	11	12	12	13	1	2					
		1.60%	1.05%	1.96%	1.56%	1.23%	1.29%	1.09%	1.45%	1.10%	0.68%	1.14%	0.48%	1.57%	1.94%	1.38%	1.19%	1.51%	1.10%	1.18%	1.35%	1.99%	1.47%	2.42%	3.05%	2.28%	1.94%	1.40%	1.10%	0.00%	1.59%	2.23%	1.48%	2.27%	2.21%	1.53%	2.15%	2.62%	2.09%	1.66%	2.24%	2.70%	1.40%	1.45%	1.51%	2.11%	3.69%	1.74%	2.85%	2.43%	1.91%	1.43%	1.54%	1.11%	1.34%	1.47%	2.74%	1.80%	0.82%	1.22%	0.85%	1.08%	1.10%	1.69%	0.86%	1.03%	0.91%	0.97%	0.17%	0.77%					
20	3.Политическая партия «Демократическая партия России»	164	0	2	4	2	4	3	0	2	4	1	1	6	4	1	4	2	3	4	1	2	0	4	4	1	5	4	3	2	1	3	2	5	2	4	1	1	1	2	0	1	6	5	6	1	1	2	1	4	0	5	1	4	3	4	5	4	0	2	0	2	0	1	2	3	1	4	1	0					
		0.21%	0.00%	0.18%	0.37%	0.19%	0.34%	0.22%	0.00%	0.20%	0.34%	0.10%	0.10%	0.41%	0.31%	0.07%	0.27%	0.15%	0.22%	0.29%	0.08%	0.17%	0.00%	0.44%	0.76%	0.08%	0.36%	0.56%	0.24%	0.66%	0.07%	0.39%	0.23%	0.32%	0.16%	0.31%	0.11%	0.07%	0.16%	0.18%	0.00%	0.08%	0.32%	0.45%	0.50%	0.08%	0.11%	0.15%	0.07%	0.37%	0.00%	0.34%	0.07%	0.30%	0.25%	0.29%	0.31%	0.31%	0.00%	0.17%	0.00%	0.27%	0.00%	0.08%	0.16%	0.26%	0.08%	0.30%	0.17%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	10740	122	184	170	127	145	227	177	124	171	128	158	193	191	176	188	151	211	184	169	139	148	97	33	134	191	62	175	16	183	81	114	220	165	190	122	139	93	159	257	203	219	110	74	201	145	212	204	167	115	211	190	141	200	174	222	172	72	135	217	121	208	207	213	164	192	232	72	33					
