Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Советская 																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	30506	1999	1996	2028	2185	2162	2119	2196	2294	1611	1443	1400	1994	1897	1627	1731	1824									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23600	1500	1500	1600	1700	1700	1700	1700	1800	1300	1100	1100	1500	1400	1300	1300	1400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13339	503	641	703	1098	815	953	982	1007	703	683	644	1107	841	794	737	1128									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	829	205	7	11	10	13	12	22	25	176	14	8	13	79	6	7	221									
6	Число погашенных избирательных бюллетеней	9432	792	852	886	592	872	735	696	768	421	403	448	380	480	500	556	51									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	829	205	7	11	10	13	12	22	25	176	14	8	13	79	6	7	221									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13303	488	641	703	1098	815	941	982	1003	698	683	644	1107	841	794	737	1128									
9	Число недействительных избирательных бюллетеней	367	10	9	17	16	28	53	16	20	47	14	16	26	30	30	19	16									
10	Число действительных избирательных бюллетеней	13765	683	639	697	1092	800	900	988	1008	827	683	636	1094	890	770	725	1333									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	365	20	20	30	30	30	30	30	30	15	10	10	30	20	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	129	8	12	6	8	11	6	15	9	10	8	4	20	4	2	3	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	110	2	5	11	3	10	11	8	4	7	11	7	8	3	4	12	4									
14	Число погашенных неиспользованных открепительных удостоверений	236	12	8	24	22	19	24	15	21	5	2	6	10	16	18	17	17									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	55	2	6	5	8	3	0	1	5	3	0	2	7	5	2	5	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	221	6	17	13	12	11	17	10	14	6	10	14	18	12	21	25	15									
		1.56%	0.87%	2.62%	1.82%	1.08%	1.33%	1.78%	0.99%	1.36%	0.69%	1.43%	2.15%	1.61%	1.30%	2.63%	3.36%	1.11%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	335	9	17	25	18	21	30	24	21	10	18	27	24	26	26	21	18									
		2.37%	1.30%	2.62%	3.50%	1.62%	2.54%	3.15%	2.39%	2.04%	1.14%	2.58%	4.14%	2.14%	2.83%	3.25%	2.82%	1.33%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	267	17	20	13	13	15	20	20	12	11	9	20	22	17	22	22	14									
		1.89%	2.45%	3.09%	1.82%	1.17%	1.81%	2.10%	1.99%	1.17%	1.26%	1.29%	3.07%	1.96%	1.85%	2.75%	2.96%	1.04%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6749	432	255	198	710	285	322	378	503	545	400	264	585	341	303	273	955									
		47.76%	62.34%	39.35%	27.73%	64.08%	34.42%	33.79%	37.65%	48.93%	62.36%	57.39%	40.49%	52.23%	37.07%	37.88%	36.69%	70.79%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	73	5	2	3	9	7	2	1	3	6	2	3	10	9	5	3	3									
		0.52%	0.72%	0.31%	0.42%	0.81%	0.85%	0.21%	0.10%	0.29%	0.69%	0.29%	0.46%	0.89%	0.98%	0.63%	0.40%	0.22%									
24	"6. Политическая партия ""Гражданская Платформа"""	14	2	2	0	1	1	1	0	2	0	0	0	1	0	1	1	2									
		0.10%	0.29%	0.31%	0.00%	0.09%	0.12%	0.10%	0.00%	0.19%	0.00%	0.00%	0.00%	0.09%	0.00%	0.13%	0.13%	0.15%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2302	123	133	174	114	180	163	198	183	102	109	94	153	167	156	128	125									
		16.29%	17.75%	20.52%	24.37%	10.29%	21.74%	17.10%	19.72%	17.80%	11.67%	15.64%	14.42%	13.66%	18.15%	19.50%	17.20%	9.27%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	105	3	12	2	6	7	14	10	5	3	1	7	9	10	5	4	7									
		0.74%	0.43%	1.85%	0.28%	0.54%	0.85%	1.47%	0.99%	0.49%	0.34%	0.14%	1.07%	0.80%	1.09%	0.63%	0.54%	0.52%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	194	6	4	15	11	11	17	24	8	6	7	7	18	17	13	21	9									
		1.37%	0.87%	0.62%	2.10%	0.99%	1.33%	1.78%	2.39%	0.78%	0.69%	1.00%	1.07%	1.61%	1.85%	1.63%	2.82%	0.67%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	13	0	1	2	1	0	1	1	1	0	0	1	0	2	1	1	1									
		0.09%	0.00%	0.15%	0.28%	0.09%	0.00%	0.10%	0.10%	0.10%	0.00%	0.00%	0.15%	0.00%	0.22%	0.13%	0.13%	0.07%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	191	9	10	5	15	17	18	18	11	6	4	11	22	15	13	11	6									
		1.35%	1.30%	1.54%	0.70%	1.35%	2.05%	1.89%	1.79%	1.07%	0.69%	0.57%	1.69%	1.96%	1.63%	1.63%	1.48%	0.44%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1709	22	90	113	94	132	141	148	121	78	65	99	114	157	117	106	112									
		12.09%	3.17%	13.89%	15.83%	8.48%	15.94%	14.80%	14.74%	11.77%	8.92%	9.33%	15.18%	10.18%	17.07%	14.63%	14.25%	8.30%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	726	22	29	63	35	56	63	81	68	28	22	38	57	47	38	46	33									
		5.14%	3.17%	4.48%	8.82%	3.16%	6.76%	6.61%	8.07%	6.61%	3.20%	3.16%	5.83%	5.09%	5.11%	4.75%	6.18%	2.45%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	866	27	47	71	53	57	91	75	56	26	36	51	61	70	49	63	33									
		6.13%	3.90%	7.25%	9.94%	4.78%	6.88%	9.55%	7.47%	5.45%	2.97%	5.16%	7.82%	5.45%	7.61%	6.13%	8.47%	2.45%									
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
