Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва													
Дата голосования: 07.12.2003 0:00:00													
													
Наименование Избирательной комиссии:    Верхнетуринская городская  													
													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)													
													
		Сумма	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227					
1	"Число избирателей, внесенных в списки"	8453	1203	1020	1070	1087	2055	2018					
2	"Число бюллетеней, полученных участковыми комиссиями"	8988	1200	1100	1188	1200	2200	2100					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3545	513	425	406	521	848	832					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	137	19	20	21	21	17	39					
6	Число погашенных бюллетеней	5306	668	655	761	658	1335	1229					
7	Число бюллетеней в переносных ящиках для голосования	137	19	20	21	21	17	39					
8	Число бюллетеней в стационарных ящиках для голосования	3545	513	425	406	521	848	832					
9	Число недействительных бюллетеней	89	18	10	12	10	32	7					
10	Число действительных бюллетеней	3593	514	435	415	532	833	864					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	15	15	15	15	20	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	18	1	1	0	4	7	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	22	4	3	1	2	2	10					
14	Число погашенных открепительных удостоверений	82	14	14	15	11	13	15					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0					
													
18	"1. ""ЕДИНЕНИЕ"""	57	10	10	3	8	14	12					
		1.54%	1.87%	2.24%	0.70%	1.47%	1.61%	1.37%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	113	18	12	12	9	33	29					
		3.06%	3.38%	2.69%	2.81%	1.66%	3.81%	3.32%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	185	26	26	19	26	42	46					
		5.02%	4.88%	5.84%	4.44%	4.79%	4.85%	5.28%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	93	18	10	8	17	16	24					
		2.52%	3.38%	2.24%	1.87%	3.13%	1.84%	2.75%					
22	"5. ""За Русь Святую"""	34	5	3	3	3	12	8					
		0.92%	0.93%	0.67%	0.70%	0.55%	1.38%	0.91%					
23	"6. ""Объединенная Российская партия ""Русь"""	20	4	4	2	0	8	2					
		0.54%	0.75%	0.89%	0.46%	0.0%	0.92%	0.22%					
24	"7. ""Новый курс - Автомобильная Россия"""	20	4	1	6	2	2	5					
		0.54%	0.75%	0.22%	1.40%	0.36%	0.23%	0.57%					
25	"8. ""Народно-республиканская партия России"""	8	2	0	0	2	2	2					
		0.21%	0.37%	0.0%	0.0%	0.36%	0.23%	0.22%					
26	"9. ""Российская экологическая партия ""Зеленые"""	8	2	2	3	0	1	0					
		0.21%	0.37%	0.44%	0.70%	0.0%	0.11%	0.0%					
27	"10. ""Аграрная партия России"""	69	12	13	4	8	16	16					
		1.87%	2.25%	2.92%	0.93%	1.47%	1.84%	1.83%					
28	"11. ""Истинные патриоты России"""	10	0	2	2	0	2	4					
		0.27%	0.0%	0.44%	0.46%	0.0%	0.23%	0.45%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	102	13	20	9	13	24	23					
		2.77%	2.44%	4.49%	2.10%	2.39%	2.77%	2.64%					
30	"13. ""Демократическая партия России"""	15	1	1	2	5	3	3					
		0.40%	0.18%	0.22%	0.46%	0.92%	0.34%	0.34%					
31	"14. ""Великая Россия - Евразийский Союз"""	13	1	2	2	4	1	3					
		0.35%	0.18%	0.44%	0.46%	0.73%	0.11%	0.34%					
32	"15. ""Партия СЛОН"""	8	1	1	0	2	2	2					
		0.21%	0.18%	0.22%	0.0%	0.36%	0.23%	0.22%					
33	"16. ""Родина"" (народно-патриотический союз)"""	173	17	24	26	37	32	37					
		4.69%	3.19%	5.39%	6.08%	6.82%	3.69%	4.24%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	11	4	0	0	3	1	3					
		0.29%	0.75%	0.0%	0.0%	0.55%	0.11%	0.34%					
35	"18. ""ЛДПР"""	474	75	52	54	65	118	110					
		12.87%	14.09%	11.68%	12.64%	11.99%	13.64%	12.62%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	341	55	33	44	46	70	93					
		9.26%	10.33%	7.41%	10.30%	8.48%	8.09%	10.67%					
37	"20. ""Политическая партия ""Единая Россия"""	1315	197	152	173	194	297	302					
		35.71%	37.03%	34.15%	40.51%	35.79%	34.33%	34.67%					
38	"21. ""Российская Конституционно-демократическая партия"""	9	3	1	1	1	1	2					
		0.24%	0.56%	0.22%	0.23%	0.18%	0.11%	0.22%					
39	"22. ""Развитие предпринимательства"""	13	1	0	0	1	7	4					
		0.35%	0.18%	0.0%	0.0%	0.18%	0.80%	0.45%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	323	24	48	25	52	91	83					
		8.77%	4.51%	10.78%	5.85%	9.59%	10.52%	9.52%					
													
41	Против всех	179	21	18	17	34	38	51					
		4.86%	3.94%	4.04%	3.98%	6.27%	4.39%	5.85%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
