Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																														
Дата голосования: 07.12.2003 0:00:00																														
																														
Наименование Избирательной комиссии:    Парабельская																														
																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																														
																														
		Сумма	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551					
1	"Число избирателей, внесенных в списки"	10113	77	62	329	527	162	821	303	150	61	408	1279	1436	1497	842	249	375	115	145	270	49	45	156	755					
2	"Число бюллетеней, полученных участковыми комиссиями"	9968	85	60	338	523	165	831	305	159	61	388	1113	1448	1487	829	250	375	112	152	264	50	51	161	761					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6064	53	55	196	281	111	455	247	94	48	270	651	825	868	470	177	226	95	109	177	44	20	77	515					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	760	6	0	24	50	8	46	0	30	0	32	199	89	51	37	12	35	7	5	40	0	14	35	40					
6	Число погашенных бюллетеней	3144	26	5	118	192	46	330	58	35	13	86	263	534	568	322	61	114	10	38	47	6	17	49	206					
7	Число бюллетеней в переносных ящиках для голосования	760	6	0	24	50	8	46	0	30	0	32	199	89	51	37	12	35	7	5	40	0	14	35	40					
8	Число бюллетеней в стационарных ящиках для голосования	6064	53	55	196	281	111	455	247	94	48	270	651	825	868	470	177	226	95	109	177	44	20	77	515					
9	Число недействительных бюллетеней	54	3	0	3	4	1	4	0	0	0	0	7	11	9	2	2	1	0	1	2	0	3	0	1					
10	Число действительных бюллетеней	6770	56	55	217	327	118	497	247	124	48	302	843	903	910	505	187	260	102	113	215	44	31	112	554					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	650	10	10	15	25	10	45	15	10	10	25	65	75	80	55	20	25	20	20	25	10	10	25	45					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	95	4	0	9	4	0	8	2	0	0	4	9	11	21	12	0	2	0	1	4	0	2	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	156	3	1	1	1	2	2	2	1	2	3	117	4	3	5	1	1	0	2	2	1	1	0	1					
14	Число погашенных открепительных удостоверений	555	6	10	6	21	10	37	13	10	10	21	56	64	59	43	20	23	20	19	21	10	8	25	43					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																														
18	"1. ""ЕДИНЕНИЕ"""	93	1	0	2	4	2	13	1	0	0	3	10	15	10	8	2	3	0	0	4	0	0	2	13					
		1.36%	1.69%	0.0%	0.90%	1.20%	1.68%	2.59%	0.40%	0.0%	0.0%	0.99%	1.17%	1.64%	1.08%	1.57%	1.05%	1.14%	0.0%	0.0%	1.84%	0.0%	0.0%	1.78%	2.34%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	185	3	0	5	9	2	15	1	0	0	6	28	35	37	19	7	2	0	3	4	0	0	0	9					
		2.71%	5.08%	0.0%	2.27%	2.71%	1.68%	2.99%	0.40%	0.0%	0.0%	1.98%	3.29%	3.82%	4.02%	3.74%	3.70%	0.76%	0.0%	2.63%	1.84%	0.0%	0.0%	0.0%	1.62%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	256	1	1	15	5	17	29	7	3	1	12	19	40	32	16	4	8	6	3	6	0	1	3	27					
		3.75%	1.69%	1.81%	6.81%	1.51%	14.28%	5.78%	2.83%	2.41%	2.08%	3.97%	2.23%	4.37%	3.48%	3.15%	2.11%	3.06%	5.88%	2.63%	2.76%	0.0%	2.94%	2.67%	4.86%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	213	1	0	9	8	4	26	3	2	0	7	31	30	43	19	0	5	0	3	1	1	0	0	20					
		3.12%	1.69%	0.0%	4.09%	2.41%	3.36%	5.18%	1.21%	1.61%	0.0%	2.31%	3.64%	3.28%	4.67%	3.74%	0.0%	1.91%	0.0%	2.63%	0.46%	2.27%	0.0%	0.0%	3.60%					
22	"5. ""За Русь Святую"""	21	0	0	1	0	0	0	2	2	0	0	4	3	3	2	0	2	0	1	0	0	0	0	1					
		0.30%	0.0%	0.0%	0.45%	0.0%	0.0%	0.0%	0.80%	1.61%	0.0%	0.0%	0.47%	0.32%	0.32%	0.39%	0.0%	0.76%	0.0%	0.87%	0.0%	0.0%	0.0%	0.0%	0.18%					
23	"6. ""Объединенная Российская партия ""Русь"""	14	0	0	0	0	0	2	0	1	0	1	2	2	2	1	0	1	0	0	0	0	0	0	2					
		0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.80%	0.0%	0.33%	0.23%	0.21%	0.21%	0.19%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%					
24	"7. ""Новый курс - Автомобильная Россия"""	39	0	0	3	0	0	0	1	2	1	5	4	7	4	2	0	0	0	0	2	0	3	0	5					
		0.57%	0.0%	0.0%	1.36%	0.0%	0.0%	0.0%	0.40%	1.61%	2.08%	1.65%	0.47%	0.76%	0.43%	0.39%	0.0%	0.0%	0.0%	0.0%	0.92%	0.0%	8.82%	0.0%	0.90%					
25	"8. ""Народно-республиканская партия России"""	4	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0					
		0.05%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.40%	0.0%	0.0%	0.0%	0.11%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	20	0	0	1	2	0	1	0	0	0	1	6	0	4	0	0	0	0	0	1	0	0	0	4					
		0.29%	0.0%	0.0%	0.45%	0.60%	0.0%	0.19%	0.0%	0.0%	0.0%	0.33%	0.70%	0.0%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.0%	0.72%					
27	"10. ""Аграрная партия России"""	178	2	2	5	4	7	20	5	3	1	11	25	24	19	11	1	8	5	0	3	0	1	2	19					
		2.60%	3.38%	3.63%	2.27%	1.20%	5.88%	3.99%	2.02%	2.41%	2.08%	3.64%	2.94%	2.62%	2.06%	2.16%	0.52%	3.06%	4.90%	0.0%	1.38%	0.0%	2.94%	1.78%	3.42%					
28	"11. ""Истинные патриоты России"""	7	0	0	1	0	0	1	0	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0					
		0.10%	0.0%	0.0%	0.45%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.33%	0.0%	0.10%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	97	0	1	1	3	4	8	2	1	0	5	14	17	11	13	0	3	0	1	5	0	1	1	6					
		1.42%	0.0%	1.81%	0.45%	0.90%	3.36%	1.59%	0.80%	0.80%	0.0%	1.65%	1.64%	1.85%	1.19%	2.56%	0.0%	1.14%	0.0%	0.87%	2.30%	0.0%	2.94%	0.89%	1.08%					
30	"13. ""Демократическая партия России"""	20	1	0	1	1	1	0	0	2	1	0	1	5	3	1	0	0	0	0	0	0	0	2	1					
		0.29%	1.69%	0.0%	0.45%	0.30%	0.84%	0.0%	0.0%	1.61%	2.08%	0.0%	0.11%	0.54%	0.32%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.78%	0.18%					
31	"14. ""Великая Россия - Евразийский Союз"""	15	2	0	0	0	0	1	0	0	0	3	1	1	0	2	0	2	0	0	1	0	0	0	2					
		0.21%	3.38%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.99%	0.11%	0.10%	0.0%	0.39%	0.0%	0.76%	0.0%	0.0%	0.46%	0.0%	0.0%	0.0%	0.36%					
32	"15. ""Партия СЛОН"""	6	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	2					
		0.08%	0.0%	0.0%	0.0%	0.0%	0.84%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.10%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%					
33	"16. ""Родина"" (народно-патриотический союз)"""	380	3	1	12	24	3	34	17	3	1	13	63	52	51	28	8	9	8	5	12	0	2	3	28					
		5.56%	5.08%	1.81%	5.45%	7.25%	2.52%	6.78%	6.88%	2.41%	2.08%	4.30%	7.41%	5.68%	5.54%	5.52%	4.23%	3.44%	7.84%	4.38%	5.52%	0.0%	5.88%	2.67%	5.04%					
