Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Ельнинская																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11112	1597	1549	1504	1478	1634	148	118	153	445	105	195	115	300	88	170	90	231	226	154	264	172	124	252									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9710	1200	1200	1510	1200	1668	130	100	120	400	100	150	100	250	80	150	82	200	200	120	250	150	110	240									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3916	648	434	552	449	615	54	54	53	156	47	62	33	116	17	59	39	77	74	54	71	66	50	136									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	631	38	18	24	12	10	13	23	10	70	4	39	24	37	24	10	16	59	26	15	57	35	16	51									
6	Число погашенных избирательных бюллетеней	5163	514	748	934	739	1043	63	23	57	174	49	49	43	97	39	81	27	64	100	51	122	49	44	53									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	631	38	18	24	12	10	13	23	10	70	4	39	24	37	24	10	16	59	26	15	57	35	16	51									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3916	648	434	552	449	615	54	54	53	156	47	62	33	116	17	59	39	77	74	54	71	66	50	136									
9	Число недействительных избирательных бюллетеней	57	8	7	8	9	12	0	0	1	3	0	1	1	3	0	1	0	0	2	0	0	0	1	0									
10	Число действительных избирательных бюллетеней	4490	678	445	568	452	613	67	77	62	223	51	100	56	150	41	68	55	136	98	69	128	101	65	187									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	184	20	20	20	20	30	3	8	3	5	3	3	8	5	3	3	3	3	3	3	3	6	3	6									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	111	16	16	13	14	28	0	5	1	1	1	0	3	4	0	0	0	0	0	0	1	2	0	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	81	8	3	2	0	6	3	5	7	5	1	4	4	3	1	3	0	10	3	4	1	2	0	6									
14	Число погашенных неиспользованных открепительных удостоверений	73	4	4	7	6	2	3	3	2	4	2	3	5	1	3	3	3	3	3	3	2	4	3	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	21	2	3	5	3	6	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																		
