Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																			
Дата голосования: 02.12.2007																																																																			
																																																																			
Наименование Избирательной комиссии:    Славянская																																																																			
																																																																			
Сводная таблица результатов выборов																																																																			
																																																																			
		Сумма	УИК №4201	УИК №4202	УИК №4203	УИК №4204	УИК №4205	УИК №4206	УИК №4207	УИК №4208	УИК №4209	УИК №4210	УИК №4211	УИК №4212	УИК №4213	УИК №4214	УИК №4215	УИК №4216	УИК №4217	УИК №4218	УИК №4219	УИК №4220	УИК №4221	УИК №4222	УИК №4223	УИК №4224	УИК №4225	УИК №4226	УИК №4227	УИК №4228	УИК №4229	УИК №4230	УИК №4231	УИК №4232	УИК №4233	УИК №4234	УИК №4235	УИК №4236	УИК №4237	УИК №4238	УИК №4239	УИК №4240	УИК №4241	УИК №4242	УИК №4243	УИК №4244	УИК №4245	УИК №4246	УИК №4247	УИК №4248	УИК №4249	УИК №4250	УИК №4251	УИК №4252	УИК №4253	УИК №4254	УИК №4255	УИК №4256	УИК №4257	УИК №4258	УИК №4259	УИК №4260					
1	"Число избирателей, внесенных в списки избирателей"	95791	3103	1530	1659	1216	2610	1733	2510	2894	1969	2480	2792	2577	1450	2324	1440	2923	1314	1181	2813	1892	2615	2444	1261	1839	1737	1289	2338	259	1118	2125	193	1711	677	336	2884	665	748	1526	2172	1773	1847	1873	1721	513	315	2806	1312	1293	2006	857	1146	1234	1299	1124	1384	1078	696	323	451	393					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	94026	2500	1600	1500	1200	2700	1600	2600	2800	1600	2500	2700	2500	1500	2300	1400	2600	1300	1100	2800	1500	2500	2700	1200	2400	1700	1300	2500	240	1100	2000	220	1700	700	350	2900	600	700	1500	2200	1800	1800	1800	1600	790	310	2700	1300	1300	2000	900	1100	1230	1300	1100	1300	1000	690	336	460	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	60830	1866	912	1092	513	1405	916	1513	1546	939	1364	1686	1399	885	1318	812	1739	766	620	1570	812	1240	1981	595	1649	1169	1015	1535	197	783	1666	184	1193	538	288	1881	441	431	733	1822	1450	1243	1300	1115	507	242	1678	946	898	1537	716	891	997	873	711	867	700	328	216	308	293					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	8665	84	177	182	368	243	144	249	258	161	176	116	231	203	170	116	223	212	197	213	548	244	330	199	190	133	89	260	29	67	174	9	125	58	19	297	53	63	398	123	21	66	36	129	6	24	164	54	102	86	36	116	54	96	46	60	87	139	76	79	57					
6	Число погашенных избирательных бюллетеней	24531	550	511	226	319	1052	540	838	996	500	960	898	870	412	812	472	638	322	283	1017	140	1016	389	406	561	398	196	705	14	250	160	27	382	104	43	722	106	206	369	255	329	491	464	356	277	44	858	300	300	377	148	93	179	331	343	373	213	223	44	73	50					
7	Число избирательных бюллетеней в переносных ящиках для голосования	8663	84	177	182	368	243	144	249	258	161	176	116	231	203	170	116	223	212	197	213	548	244	330	199	190	133	89	260	29	67	174	9	125	58	19	295	53	63	398	123	21	66	36	129	6	24	164	54	102	86	36	116	54	96	46	60	87	139	76	79	57					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	60800	1866	912	1092	513	1405	916	1513	1546	931	1360	1686	1399	885	1318	812	1739	766	620	1570	804	1231	1981	595	1649	1169	1015	1535	197	783	1666	184	1193	537	288	1881	441	431	733	1822	1450	1243	1300	1115	507	242	1678	946	898	1537	716	891	997	873	711	867	700	328	216	308	293					
9	Число недействительных избирательных бюллетеней	1022	53	14	35	11	24	19	36	23	15	16	25	26	18	16	12	30	10	14	15	36	20	26	5	13	15	12	26	4	18	13	3	37	1	17	16	22	17	14	12	8	41	13	6	10	9	18	16	20	41	3	7	18	21	20	5	10	9	4	2	2					
10	Число действительных избирательных бюллетеней	68441	1897	1075	1239	870	1624	1041	1726	1781	1077	1520	1777	1604	1070	1472	916	1932	968	803	1768	1316	1455	2285	789	1826	1287	1092	1769	222	832	1827	190	1281	594	290	2160	472	477	1117	1933	1463	1268	1323	1238	503	257	1824	984	980	1582	749	1000	1033	948	737	922	777	458	288	385	348					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	943	17	10	17	10	16	16	15	30	19	15	21	16	10	35	20	25	10	10	22	10	15	15	10	15	10	10	20	5	15	50	5	35	10	5	55	9	15	10	15	10	10	10	10	5	5	15	10	10	25	25	10	10	20	25	15	20	5	10	10	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	766	10	10	17	5	5	16	10	21	18	9	21	13	10	34	16	21	10	8	22	7	15	13	6	12	8	10	20	1	11	46	3	34	3	1	55	8	9	9	9	7	10	9	6	1	1	14	5	10	25	16	1	6	19	23	11	10	4	7	10	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	911	316	8	150	7	23	14	14	13	40	24	32	19	10	28	6	20	18	9	9	35	5	9	3	5	4	2	1	1	3	5	5	3	3	0	11	3	2	1	4	1	0	5	3	1	0	9	5	2	2	0	0	2	1	3	2	1	2	0	1	6					
14	Число погашенных неиспользованных открепительных удостоверений	177	7	0	0	5	11	0	5	9	1	6	0	3	0	1	4	4	0	2	0	3	0	2	4	3	2	0	0	4	4	4	2	1	7	4	0	1	6	1	6	3	0	1	4	4	4	1	5	0	0	9	9	4	1	2	4	10	1	3	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	57	0	0	0	0	0	0	2	3	0	2	5	1	0	2	2	2	0	0	1	1	1	1	0	1	1	0	2	0	1	2	0	3	4	0	2	0	0	0	1	3	2	0	2	1	0	4	0	0	0	1	0	0	1	1	1	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																			
18	1.Политическая партия «Аграрная партия России»	1575	35	17	31	18	31	29	43	35	10	22	46	31	24	41	19	44	21	17	28	20	37	30	21	43	20	33	52	1	38	50	2	60	20	9	58	15	9	11	42	40	28	17	34	12	7	56	14	19	30	9	36	32	21	16	27	30	15	3	6	10					
