Выборы Президента Российской Федерации																																																																																					
Дата голосования: 04.03.2012																																																																																					
																																																																																					
Наименование Избирательной комиссии:    Новосибирск, Дзержинская  																																																																																					
																																																																																					
Сводная таблица итогов голосования																																																																																					
																																																																																					
	Число участковых избирательных комиссий	74																																																																																			
	Число участковых избирательных комиссий, приступивших к передаче сведений	74																																																																																			
																																																																																					
		Сумма	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513									
1	Число избирателей, включенных в список избирателей	123212	1191	2146	2620	2340	2121	1493	1493	2502	2540	2318	2008	1315	1820	1624	151	237	1475	1467	1540	1691	970	1280	2088	1963	1385	1933	1489	1003	1357	1694	1337	1139	2327	2431	1374	1202	1181	587	1310	1201	1441	1780	1583	1390	1353	1548	1765	1891	1532	1851	2057	1961	2053	2229	1777	1969	1516	2168	2118	2230	2056	1724	2001	1797	1981	1956	1624	1630	198	1916	1739	1684	1320	2031									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	119086	1000	2100	2600	2300	2000	1500	1500	2500	2500	2200	1900	1300	1700	1600	151	237	1500	1400	1400	1600	900	1200	2100	1900	1400	1900	1400	900	1300	1700	1300	1100	2300	2400	1300	1200	1000	500	1300	1200	1400	1700	1500	1300	1300	1500	1700	1900	1500	1800	2000	2000	2000	2200	1700	1900	1500	2000	2000	2000	2000	1700	2000	1700	2000	1500	1600	1600	198	1900	1700	1700	1300	2000									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	72343	591	1257	1430	1410	1360	929	751	1527	1617	1487	1238	617	749	708	151	212	1475	741	755	881	516	748	1168	1258	805	1234	970	628	895	1015	833	696	1585	1642	909	677	687	335	797	732	891	1048	633	653	829	983	757	877	686	1096	1272	1264	1315	1351	959	1109	852	1245	1297	1236	1284	1073	1206	1059	1271	1240	974	930	198	1080	921	853	714	1171									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	2819	33	49	38	49	8	38	38	66	41	27	60	43	58	29	0	25	0	43	23	25	24	30	51	32	18	20	39	29	29	52	54	18	31	39	33	53	29	11	31	19	37	27	94	60	47	21	83	71	51	38	28	28	26	34	48	82	31	46	19	45	39	40	53	60	41	21	44	39	0	44	57	50	40	40									
6	Число погашенных избирательных бюллетеней	43924	376	794	1132	841	632	533	711	907	842	686	602	640	893	863	0	0	25	616	622	694	360	422	881	610	577	646	391	243	376	633	413	386	684	719	358	470	284	154	472	449	472	625	773	587	424	496	860	952	763	666	700	708	659	815	693	709	617	709	684	719	677	587	741	581	688	239	582	631	0	776	722	797	546	789									
7	Число избирательных бюллетеней в переносных ящиках для голосования	2819	33	49	38	49	8	38	38	66	41	27	60	43	58	29	0	25	0	43	23	25	24	30	51	32	18	20	39	29	29	52	54	18	31	39	33	53	29	11	31	19	37	27	94	60	47	21	83	71	51	38	28	28	26	34	48	82	31	46	19	45	39	40	53	60	41	21	44	39	0	44	57	50	40	40									
8	Число бюллетеней в стационарных ящиках для голосования	72294	591	1257	1430	1410	1359	929	751	1527	1616	1487	1238	617	749	708	151	212	1475	741	753	881	516	748	1168	1258	805	1234	970	628	895	1015	833	696	1579	1639	907	677	687	335	797	732	891	1048	633	653	829	983	757	877	686	1096	1244	1264	1315	1351	959	1107	852	1245	1297	1236	1284	1073	1203	1059	1271	1239	974	930	198	1080	921	853	714	1171									
