Выборы Президента Российской Федерации																																																																																
																																																																																
"Наименование Избирательной комиссии:    Новосибирск, Дзержинская"																																																																																
																																																																																
Итоги голосования 																																																																																
																																																																																
		Сумма	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500					
1	"Число избирателей, внесенных в список"	120961	897	1777	1768	1420	1347	1324	2068	2021	1900	1456	1274	1306	1128	1348	2078	2018	1532	2177	1487	1058	1480	1543	1461	950	2494	2310	1419	1290	1229	496	1395	1318	1572	1888	1007	1006	1386	2028	1041	235	205	1992	1869	2096	2026	1966	1909	2267	2501	2643	1461	1635	2191	1837	1925	2046	2058	2120	1706	1591	155	1771	1774	1859	1358	2140	2014	1995	2070	2215	2322	2136	2176					
2	Число полученных избирательных бюллетеней	119785	850	1740	1750	1400	1300	1300	2030	2020	1900	1400	1250	1300	1110	1340	2100	2030	1510	2100	1450	1040	1460	1500	1430	930	2530	2300	1420	1290	1200	470	1400	1300	1530	1860	960	950	1340	2000	1020	235	250	1950	1860	2050	1950	1850	1890	2240	2500	2700	1500	1600	2150	1820	1950	2020	2050	2200	1670	1530	180	1790	1810	1880	1370	2180	2040	1970	2060	2200	2300	2130	2100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	67213	430	676	760	660	590	643	1063	1033	1889	647	618	569	565	729	1103	1197	842	1232	873	587	935	937	872	504	1566	1501	906	712	674	216	808	751	922	1054	341	402	540	1039	622	235	205	1176	1059	1259	1207	1066	1077	1310	1324	1581	718	931	1313	1085	1102	1076	1262	1267	990	862	155	986	931	950	748	1136	1216	1135	1045	1160	1274	1142	1222					
5	"Число избирательных бюллетеней, выданных вне помещения"	3550	42	85	54	82	98	57	74	44	11	41	67	67	17	31	39	17	35	13	35	47	34	55	45	21	42	51	54	68	44	54	42	36	35	46	97	121	37	72	19	0	0	57	30	26	27	38	41	46	47	111	89	41	35	56	56	69	43	45	54	74	0	59	77	91	44	38	55	46	60	49	25	45	47					
6	Число погашенных избирательных бюллетеней	49022	378	979	936	658	612	600	893	943	0	712	565	664	528	580	958	816	633	855	542	406	491	508	513	405	922	748	460	510	482	200	550	513	573	760	522	427	763	889	379	0	45	717	771	765	716	746	772	884	1129	1008	693	628	802	679	792	875	745	888	626	594	25	745	802	839	578	1006	769	789	955	991	1001	943	831					
7	Число избирательных бюллетеней в переносных ящиках	3548	42	85	54	82	98	57	74	44	11	41	67	66	17	31	39	17	35	13	34	47	34	55	45	21	42	51	54	68	44	54	42	36	35	46	97	121	37	72	19	0	0	57	30	26	27	38	41	46	47	111	89	41	35	56	56	69	43	45	54	74	0	59	77	91	44	38	55	46	60	49	25	45	47					
8	Число бюллетеней в стационарных ящиках для голосования	67018	430	676	760	660	587	642	1063	1033	1889	647	618	565	565	729	1102	1197	842	1231	873	587	935	936	872	504	1566	1449	906	711	672	216	808	751	922	1054	340	402	540	1036	622	235	205	1176	1059	1259	1207	1066	1074	1310	1324	1470	716	931	1313	1084	1102	1070	1262	1267	990	862	155	986	931	950	748	1135	1215	1135	1045	1160	1274	1142	1222					
9	Число недействительных избирательных бюллетеней	756	11	8	10	10	6	13	23	12	42	4	5	7	3	4	8	10	18	10	14	4	11	10	5	3	10	12	4	9	6	1	7	9	10	12	10	12	12	7	5	5	5	19	6	12	11	6	9	10	20	22	7	13	15	10	10	8	13	12	20	1	0	9	5	14	13	7	23	9	16	11	12	17	9					
10	Число действительных избирательных бюллетеней	69810	461	753	804	732	679	686	1114	1065	1858	684	680	624	579	756	1133	1204	859	1234	893	630	958	981	912	522	1598	1488	956	770	710	269	843	778	947	1088	427	511	565	1101	636	230	200	1214	1083	1273	1223	1098	1106	1346	1351	1559	798	959	1333	1130	1148	1131	1292	1300	1024	935	155	1036	1003	1027	779	1166	1247	1172	1089	1198	1287	1170	1260					
