Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Шкотовская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №3901	УИК №3902	УИК №3903	УИК №3904	УИК №3905	УИК №3906	УИК №3907	УИК №3908	УИК №3909	УИК №3910	УИК №3911	УИК №3912	УИК №3913	УИК №3914	УИК №3915	УИК №3916	УИК №3917	УИК №3918	УИК №3919	УИК №3920	УИК №3921	УИК №3922	УИК №3923	УИК №3924	УИК №3925									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18199	944	1029	577	402	229	1305	1100	727	461	632	619	1192	984	1061	1103	1544	645	458	322	253	460	951	903	121	177									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17300	900	900	500	400	200	1300	1000	700	450	600	600	1200	1000	1000	1100	1300	600	400	300	200	450	1000	950	100	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6795	378	390	242	217	150	426	329	252	295	292	255	554	234	408	386	591	247	136	132	78	150	322	249	32	50									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	401	7	28	22	5	3	34	12	17	2	62	30	41	8	12	6	6	23	9	2	14	22	20	10	0	6									
6	Число погашенных избирательных бюллетеней	10104	515	482	236	178	47	840	659	431	153	246	315	605	758	580	708	703	330	255	166	108	278	658	691	68	94									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	401	7	28	22	5	3	34	12	17	2	62	30	41	8	12	6	6	23	9	2	14	22	20	10	0	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6795	378	390	242	217	150	426	329	252	295	292	255	554	234	408	386	591	247	136	132	78	150	322	249	32	50									
9	Число недействительных избирательных бюллетеней	263	22	15	3	4	1	19	12	11	16	3	16	21	7	14	14	34	7	4	6	5	6	13	8	0	2									
10	Число действительных избирательных бюллетеней	6933	363	403	261	218	152	441	329	258	281	351	269	574	235	406	378	563	263	141	128	87	166	329	251	32	54									
