Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																				
Дата голосования: 07.12.2003 0:00:00																																																				
																																																				
Наименование Избирательной комиссии:    Арзамасская городская																																																				
																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																				
																																																				
		Сумма	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152					
1	"Число избирателей, внесенных в списки"	84698	2082	1802	2515	1792	2683	1875	2587	879	2681	2028	1754	2002	2145	1584	1627	2203	2067	2312	1923	1983	2563	1933	2116	2167	2066	1550	1512	1141	709	2429	2415	953	1727	1222	748	2423	999	1379	2384	1611	2739	946	3016	2502	924					
2	"Число бюллетеней, полученных участковыми комиссиями"	73200	1800	1600	2200	1600	2300	1600	2200	700	2400	1800	1600	1700	1900	1400	1400	1900	1800	2000	1700	1700	2200	1700	1800	1800	1800	1600	1300	1000	600	2200	2000	700	1500	1000	600	2000	800	1200	2000	1400	2400	800	2600	2100	800					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	41872	762	748	1283	859	1299	897	1315	357	1262	896	882	1006	1098	715	608	1040	1163	1270	1077	1069	1378	1085	1052	1202	1146	746	810	631	346	1323	1220	642	885	482	269	1231	409	492	1041	837	1381	405	1494	1251	508					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1425	46	114	23	51	32	38	72	28	31	13	16	7	30	15	34	29	33	38	44	28	24	53	30	45	18	21	11	53	17	31	35	18	35	20	10	56	30	24	30	32	67	8	11	7	17					
6	Число погашенных бюллетеней	29903	992	738	894	690	969	665	813	315	1107	891	702	687	772	670	758	831	604	692	579	603	798	562	718	553	636	833	479	316	237	846	745	40	580	498	321	713	361	684	929	531	952	387	1095	842	275					
7	Число бюллетеней в переносных ящиках для голосования	1424	46	114	22	51	32	38	72	28	31	13	16	7	30	15	34	29	33	38	44	28	24	53	30	45	18	21	11	53	17	31	35	18	35	20	10	56	30	24	30	32	67	8	11	7	17					
8	Число бюллетеней в стационарных ящиках для голосования	41840	762	747	1272	858	1299	897	1315	357	1262	896	882	1006	1098	713	608	1040	1163	1267	1077	1069	1378	1085	1052	1202	1144	741	810	631	346	1322	1220	642	883	482	269	1230	409	492	1041	837	1380	405	1493	1251	507					
9	Число недействительных бюллетеней	397	19	12	7	11	13	8	0	4	7	17	8	6	16	8	5	9	0	7	12	9	12	8	15	14	11	2	2	5	3	13	14	7	8	9	2	21	10	11	15	10	5	7	7	6	2					
10	Число действительных бюллетеней	42867	789	849	1287	898	1318	927	1387	381	1286	892	890	1007	1112	720	637	1060	1196	1298	1109	1088	1390	1130	1067	1233	1151	760	819	679	360	1340	1241	653	910	493	277	1265	429	505	1056	859	1442	406	1497	1252	522					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	940	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	30	20	20	30	20	20	30	20	20	20	20	20	20	20	20	20	20	30	20	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	412	6	3	10	8	15	6	14	0	8	8	7	9	9	8	9	8	10	16	13	6	12	8	13	5	11	4	10	13	5	12	15	24	7	5	3	8	1	2	15	8	15	5	26	10	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	306	8	5	4	8	9	3	41	2	19	3	1	4	5	2	1	0	7	6	10	2	1	8	1	10	8	1	1	35	3	3	2	4	10	3	3	28	7	2	10	5	10	2	3	3	3					
