Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																					
Дата голосования: 18.09.2016																					
																					
Наименование Избирательной комиссии:    Енисейская городская																					
																					
Сводная таблица итогов голосования по федеральному избирательному округу																					
																					
		Сумма	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14366	1270	1309	1530	1534	1706	1303	1506	1440	1386	1382									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13600	1200	1300	1500	1500	1500	1200	1400	1400	1300	1300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5340	493	465	482	571	568	364	589	476	491	841									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	386	30	10	42	22	156	38	45	10	26	7									
6	Число погашенных избирательных бюллетеней	7874	677	825	976	907	776	798	766	914	783	452									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	386	30	10	42	22	156	38	45	10	26	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5337	493	465	482	571	568	364	589	475	489	841									
9	Число недействительных избирательных бюллетеней	161	18	11	12	21	35	4	14	12	9	25									
10	Число действительных избирательных бюллетеней	5562	505	464	512	572	689	398	620	473	506	823									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	400	40	40	40	40	40	40	40	40	40	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	103	8	8	5	16	11	6	10	7	13	19									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	48	2	3	3	3	11	7	3	7	6	3									
14	Число погашенных неиспользованных открепительных удостоверений	297	32	32	35	24	29	34	30	33	27	21									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	46	2	4	2	5	5	1	3	2	4	18									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0									
																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	172	20	18	8	22	20	15	15	9	22	23									
		3.01%	3.82%	3.79%	1.53%	3.71%	2.76%	3.73%	2.37%	1.86%	4.27%	2.71%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	207	25	27	18	24	20	11	28	10	18	26									
		3.62%	4.78%	5.68%	3.44%	4.05%	2.76%	2.74%	4.42%	2.06%	3.50%	3.07%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	116	10	10	12	11	12	8	13	15	12	13									
		2.03%	1.91%	2.11%	2.29%	1.85%	1.66%	1.99%	2.05%	3.09%	2.33%	1.53%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1918	201	143	157	167	239	137	198	168	136	372									
		33.51%	38.43%	30.11%	29.96%	28.16%	33.01%	34.08%	31.23%	34.64%	26.41%	43.87%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	50	3	2	5	8	11	1	6	4	1	9									
		0.87%	0.57%	0.42%	0.95%	1.35%	1.52%	0.25%	0.95%	0.82%	0.19%	1.06%									
24	"6. Политическая партия ""Гражданская Платформа"""	9	0	1	2	0	1	1	1	1	0	2									
		0.16%	0.00%	0.21%	0.38%	0.00%	0.14%	0.25%	0.16%	0.21%	0.00%	0.24%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1684	128	149	178	171	236	98	179	125	179	241									
		29.43%	24.47%	31.37%	33.97%	28.84%	32.60%	24.38%	28.23%	25.77%	34.76%	28.42%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	29	0	2	4	7	2	2	2	3	3	4									
		0.51%	0.00%	0.42%	0.76%	1.18%	0.28%	0.50%	0.32%	0.62%	0.58%	0.47%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	46	3	3	7	6	6	4	5	2	3	7									
		0.80%	0.57%	0.63%	1.34%	1.01%	0.83%	0.99%	0.79%	0.41%	0.58%	0.83%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	15	1	1	0	1	7	0	1	1	0	3									
		0.26%	0.19%	0.21%	0.00%	0.17%	0.97%	0.00%	0.16%	0.21%	0.00%	0.35%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	67	0	4	9	8	5	3	18	6	9	5									
		1.17%	0.00%	0.84%	1.72%	1.35%	0.69%	0.75%	2.84%	1.24%	1.75%	0.59%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1036	95	92	94	120	102	100	132	111	102	88									
		18.10%	18.16%	19.37%	17.94%	20.24%	14.09%	24.88%	20.82%	22.89%	19.81%	10.38%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	48	4	3	6	5	7	4	7	2	4	6									
		0.84%	0.76%	0.63%	1.15%	0.84%	0.97%	0.99%	1.10%	0.41%	0.78%	0.71%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	165	15	9	12	22	21	14	15	16	17	24									
		2.88%	2.87%	1.89%	2.29%	3.71%	2.90%	3.48%	2.37%	3.30%	3.30%	2.83%									
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
