Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																										
Дата голосования: 02.12.2007																																																										
																																																										
"Наименование Избирательной комиссии:    Казань, Вахитовская"																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90					
1	"Число избирателей, внесенных в списки избирателей"	70260	1670	1054	807	1416	1340	1463	1383	2086	2513	1869	1844	2060	1494	1444	944	1178	1136	1911	2166	2785	1141	2214	2552	2126	2100	1235	1790	1347	2353	2071	1872	2605	2165	1701	1272	2118	1945	1937	657	196	183	73	189	298	134	611	127	109	141	166	269					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	63430	1250	1100	800	1200	1100	1300	1100	1750	2200	1650	1700	2050	1450	1220	750	1000	1050	1600	2050	2100	1100	2050	2300	1900	1750	1100	1600	1100	2200	1850	1650	2500	1900	1500	1100	2000	1800	1800	800	200	200	150	200	350	150	800	150	110	150	200	350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	57437	1182	995	649	1117	894	1070	985	1630	1982	1590	1636	1873	1294	1209	688	953	1011	1244	1872	2022	1017	1914	2089	1669	1711	954	1529	1045	1978	1771	1596	2198	1845	1372	1060	1652	1604	1390	657	190	183	73	189	298	134	611	127	109	141	166	269					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2311	22	59	46	67	187	151	39	77	66	60	64	61	51	8	44	24	28	267	103	38	37	53	113	34	39	37	39	26	158	54	16	19	53	34	18	43	42	34	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	3682	46	46	105	16	19	79	76	43	152	0	0	116	105	3	18	23	11	89	75	40	46	83	98	197	0	109	32	29	64	25	38	283	2	94	22	305	154	376	143	10	17	77	11	52	16	189	23	1	9	34	81					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2309	22	58	46	67	187	151	39	77	66	60	64	61	51	8	44	24	28	267	103	38	37	53	113	34	39	37	39	26	158	53	16	19	53	34	18	43	42	34	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	57427	1182	995	649	1114	894	1070	985	1630	1982	1590	1636	1873	1294	1208	688	952	1011	1244	1872	2022	1017	1914	2089	1669	1711	954	1529	1045	1978	1770	1596	2198	1843	1372	1060	1652	1604	1390	657	190	183	73	189	298	134	609	127	109	141	166	269					
9	Число недействительных избирательных бюллетеней	404	11	5	7	17	10	3	0	6	28	17	6	12	12	10	7	3	8	24	0	22	5	15	7	23	14	7	22	1	26	5	22	6	10	0	10	0	8	11	0	1	0	0	0	0	0	0	0	1	0	2	0					
10	Число действительных избирательных бюллетеней	59332	1193	1048	688	1164	1071	1218	1024	1701	2020	1633	1694	1922	1333	1206	725	973	1031	1487	1975	2038	1049	1952	2195	1680	1736	984	1546	1070	2110	1818	1590	2211	1886	1406	1068	1695	1638	1413	657	189	183	73	189	298	134	609	127	108	141	164	269					
