Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Струго-Красненская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №652									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10766	982	692	931	441	1065	1094	524	98	286	250	257	203	755	311	252	447	144	277	349	136	1272									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9510	800	600	800	380	950	820	450	90	280	230	230	190	650	280	240	400	130	250	330	150	1260									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5132	392	214	383	167	412	724	179	70	113	88	101	87	223	83	77	136	63	98	159	109	1254									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1212	39	57	50	24	78	1	60	19	37	45	46	61	116	93	106	172	37	69	75	27	0									
6	Число погашенных избирательных бюллетеней	3166	369	329	367	189	460	95	211	1	130	97	83	42	311	104	57	92	30	83	96	14	6									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1212	39	57	50	24	78	1	60	19	37	45	46	61	116	93	106	172	37	69	75	27	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5132	392	214	383	167	412	724	179	70	113	88	101	87	223	83	77	136	63	98	159	109	1254									
9	Число недействительных избирательных бюллетеней	97	10	8	4	3	4	27	9	0	3	0	1	5	11	2	1	4	2	1	0	0	2									
10	Число действительных избирательных бюллетеней	6247	421	263	429	188	486	698	230	89	147	133	146	143	328	174	182	304	98	166	234	136	1252									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	400	30	30	30	20	30	30	15	5	20	20	20	20	20	20	20	20	5	20	20	5	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	205	20	9	23	20	20	14	3	0	20	14	5	10	1	3	13	11	0	5	9	5	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	153	7	3	17	9	12	11	3	10	3	2	9	5	9	1	4	11	3	9	6	8	11									
14	Число погашенных неиспользованных открепительных удостоверений	195	10	21	7	0	10	16	12	5	0	6	15	10	19	17	7	9	5	15	11	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	40	6	5	5	1	7	6	0	0	6	0	2	0	0	1	0	1	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	66	5	5	5	1	2	13	2	1	1	2	3	2	7	4	0	1	0	5	4	1	2									
		1.04%	1.16%	1.85%	1.15%	0.52%	0.41%	1.79%	0.84%	1.12%	0.67%	1.50%	2.04%	1.35%	2.06%	2.27%	0.00%	0.32%	0.00%	2.99%	1.71%	0.74%	0.16%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	105	4	10	11	2	14	13	7	2	3	4	3	7	6	2	2	4	1	3	2	2	3									
		1.66%	0.93%	3.69%	2.54%	1.05%	2.86%	1.79%	2.93%	2.25%	2.00%	3.01%	2.04%	4.73%	1.77%	1.14%	1.09%	1.30%	1.00%	1.80%	0.85%	1.47%	0.24%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	106	9	6	11	2	18	18	8	0	1	2	4	2	11	3	5	1	0	1	2	0	2									
		1.67%	2.09%	2.21%	2.54%	1.05%	3.67%	2.48%	3.35%	0.00%	0.67%	1.50%	2.72%	1.35%	3.24%	1.70%	2.73%	0.32%	0.00%	0.60%	0.85%	0.00%	0.16%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4023	202	134	216	118	285	393	123	48	62	78	66	94	199	110	121	201	74	93	167	89	1150									
		63.41%	46.87%	49.45%	49.88%	61.78%	58.16%	54.21%	51.46%	53.93%	41.33%	58.65%	44.90%	63.51%	58.70%	62.50%	66.12%	65.26%	74.00%	55.69%	71.37%	65.44%	91.71%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	46	1	3	1	3	6	9	2	0	1	1	0	0	3	2	3	2	0	2	1	1	5									
