Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Мошенская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	5277	142	168	180	149	771	108	256	170	504	183	1832	55	431	241	87									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5300	140	160	180	150	800	100	270	180	520	180	1800	60	440	240	80									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2814	91	80	47	72	481	46	133	82	306	119	927	39	250	96	45									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	597	16	33	44	36	74	35	34	31	67	21	74	2	56	59	15									
6	Число погашенных избирательных бюллетеней	1889	33	47	89	42	245	19	103	67	147	40	799	19	134	85	20									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	597	16	33	44	36	74	35	34	31	67	21	74	2	56	59	15									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2810	91	80	47	72	481	46	133	82	306	119	923	39	250	96	45									
9	Число недействительных избирательных бюллетеней	82	2	1	0	1	6	0	10	1	10	4	27	2	13	5	0									
10	Число действительных избирательных бюллетеней	3325	105	112	91	107	549	81	157	112	363	136	970	39	293	150	60									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	216	5	10	10	15	30	5	25	10	20	15	35	2	20	10	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	186	0	3	9	15	30	0	25	10	20	15	32	2	20	5	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	56	2	3	1	1	4	1	8	4	4	6	12	0	7	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	30	5	7	1	0	0	5	0	0	0	0	3	0	0	5	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	0	0	0	1	1	0	0	0	1	0	11	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	61	0	0	0	2	4	1	0	1	35	1	11	1	5	0	0									
		1.79%	0.00%	0.00%	0.00%	1.85%	0.72%	1.23%	0.00%	0.88%	9.38%	0.71%	1.10%	2.44%	1.63%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	65	0	4	1	3	11	0	3	4	5	3	21	0	8	2	0									
		1.91%	0.00%	3.54%	1.10%	2.78%	1.98%	0.00%	1.80%	3.54%	1.34%	2.14%	2.11%	0.00%	2.61%	1.29%	0.00%									
