Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
Наименование Избирательной комиссии:    Москаленская																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22337	515	929	103	91	742	150	187	629	412	261	107	279	368	819	187	172	166	597	198	580	268	173	1070	104	157	201	172	95	602	329	332	166	429	123	768	650	1288	126	328	181	1337	1278	751	1369	1163	880	505									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23000	525	978	107	93	770	156	182	653	423	267	113	293	378	823	191	178	174	619	203	594	272	179	1108	109	163	206	172	96	630	340	334	171	440	129	791	665	1334	131	340	187	1371	1310	763	1397	1205	912	525									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10532	265	463	95	74	487	111	107	270	202	125	52	142	169	289	90	121	85	233	89	244	127	82	415	95	87	143	117	77	401	179	203	99	132	46	360	329	489	50	150	84	492	480	389	546	597	368	282									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	949	9	9	0	0	52	9	12	26	14	12	2	10	15	108	10	2	14	28	4	11	10	7	47	0	9	9	21	0	31	9	4	12	20	0	31	45	41	18	24	10	50	49	16	29	56	30	24									
6	Число погашенных избирательных бюллетеней	11519	251	506	12	19	231	36	63	357	207	130	59	141	194	426	91	55	75	358	110	339	135	90	646	14	67	54	34	19	198	152	127	60	288	83	400	291	804	63	166	93	829	781	358	822	552	514	219									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	949	9	9	0	0	52	9	12	26	14	12	2	10	15	108	10	2	14	28	4	11	10	7	47	0	9	9	21	0	31	9	4	12	20	0	31	45	41	18	24	10	50	49	16	29	56	30	24									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10532	265	463	95	74	487	111	107	270	202	125	52	142	169	289	90	121	85	233	89	244	127	82	415	95	87	143	117	77	401	179	203	99	132	46	360	329	489	50	150	84	492	480	389	546	597	368	282									
9	Число недействительных избирательных бюллетеней	322	18	4	0	2	14	0	2	8	9	2	1	0	5	4	2	1	1	41	0	7	0	5	15	0	1	3	2	0	0	0	3	0	0	0	5	18	9	5	7	2	30	17	16	28	18	12	5									
10	Число действительных избирательных бюллетеней	11159	256	468	95	72	525	120	117	288	207	135	53	152	179	393	98	122	98	220	93	248	137	84	447	95	95	149	136	77	432	188	204	111	152	46	386	356	521	63	167	92	512	512	389	547	635	386	301									
