Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																													
Дата голосования: 04.12.2011																																																																													
																																																																													
Наименование Избирательной комиссии:    ТИК Левобережной части г.Владикавказа																																																																													
																																																																													
Сводная таблица результатов выборов																																																																													
																																																																													
		Сумма	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368					
1	"Число избирателей, внесенных в список избирателей"	130517	778	912	1142	700	2350	1297	712	2532	2785	1322	2271	1295	2574	2563	2591	2095	1600	30	595	133	2682	106	1937	2399	1254	2260	1232	2516	2257	300	2010	1579	2617	2554	1731	1912	1688	1548	1888	2169	1490	1805	2544	2640	2631	2458	2475	1770	1571	1929	2367	2040	2169	2568	2492	2373	2201	2184	2269	2383	2616	1651	2075	2537	1978	2033	1266	2112	2374	600					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	127586	750	899	1228	700	2400	1248	710	2500	2700	1300	2204	1250	2500	2500	2500	2000	1596	30	550	133	2600	106	1900	2402	1200	2200	1200	2500	2190	301	1947	1504	2595	2500	1700	1900	1649	1498	1854	2100	1450	1800	2497	2602	2600	2401	2400	1700	1500	1900	2300	1999	2102	2547	2400	2300	2150	2100	2200	2350	2600	1600	2000	2500	1946	2000	1198	2000	2300	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	230	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	117194	679	819	871	627	2212	1123	629	2303	2509	1149	2039	1059	2328	2323	2279	1811	1458	26	514	124	2409	106	1753	2212	1120	2041	1115	2304	2026	296	1785	1411	2393	2314	1571	1745	1528	1384	1719	1955	1343	1653	2307	2457	2395	2228	2234	1580	1406	1744	2117	1803	1955	2339	2225	2138	1937	1920	2042	2160	2389	1448	1832	2303	1762	1826	1035	1814	2133	600					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2267	17	23	26	17	48	28	23	47	51	25	34	28	39	42	45	39	33	0	0	0	44	0	36	41	23	32	22	34	41	0	40	25	38	41	24	33	28	31	27	32	26	31	40	44	47	43	39	37	26	39	42	39	34	43	47	42	38	44	41	47	44	32	37	43	38	39	27	29	32	0					
6	Число погашенных избирательных бюллетеней	7895	54	57	101	56	140	97	58	150	140	126	131	163	133	135	176	150	105	4	36	9	147	0	111	149	57	127	63	162	123	5	122	68	164	145	105	122	93	83	108	113	81	116	150	101	158	130	127	83	68	117	141	157	113	165	128	120	175	136	117	143	167	120	131	154	146	135	136	157	135	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2497	17	23	256	17	48	28	23	47	51	25	34	28	39	42	45	39	33	0	0	0	44	0	36	41	23	32	22	34	41	0	40	25	38	41	24	33	28	31	27	32	26	31	40	44	47	43	39	37	26	39	42	39	34	43	47	42	38	44	41	47	44	32	37	43	38	39	27	29	32	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	117194	679	819	871	627	2212	1123	629	2303	2509	1149	2039	1059	2328	2323	2279	1811	1458	26	514	124	2409	106	1753	2212	1120	2041	1115	2304	2026	296	1785	1411	2393	2314	1571	1745	1528	1384	1719	1955	1343	1653	2307	2457	2395	2228	2234	1580	1406	1744	2117	1803	1955	2339	2225	2138	1937	1920	2042	2160	2389	1448	1832	2303	1762	1826	1035	1814	2133	600					
9	Число недействительных избирательных бюллетеней	1537	11	14	15	9	35	19	15	37	41	18	31	17	34	29	27	30	22	0	10	2	36	8	19	34	14	18	17	21	23	3	25	14	34	31	19	22	18	15	17	22	17	22	23	31	29	28	31	29	21	24	26	23	29	25	28	29	22	20	25	26	35	24	25	21	19	22	17	19	21	0					
10	Число действительных избирательных бюллетеней	118154	685	828	1112	635	2225	1132	637	2313	2519	1156	2042	1070	2333	2336	2297	1820	1469	26	504	122	2417	98	1770	2219	1129	2055	1120	2317	2044	293	1800	1422	2397	2324	1576	1756	1538	1400	1729	1965	1352	1662	2324	2470	2413	2243	2242	1588	1411	1759	2133	1819	1960	2357	2244	2151	1953	1944	2058	2181	2398	1456	1844	2325	1781	1843	1045	1824	2144	600					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	4773	60	60	260	60	60	60	60	80	60	60	80	60	80	80	80	80	80	0	0	0	60	0	60	80	60	60	60	80	80	173	60	60	80	60	60	60	60	60	60	80	60	60	80	80	80	80	80	80	80	80	80	60	60	80	80	60	60	60	60	60	60	80	80	80	60	80	80	60	60	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	4603	58	57	256	57	58	59	57	76	58	57	78	57	79	76	77	78	75	0	0	0	56	0	56	76	58	57	56	79	79	173	58	57	78	58	59	58	57	56	57	78	57	58	77	78	77	78	77	78	77	78	77	57	58	77	76	59	58	57	59	57	57	78	77	77	58	76	78	56	57	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1020	9	10	12	6	15	12	16	17	11	20	15	15	14	16	18	11	21	0	10	12	11	0	15	17	12	16	15	15	14	77	12	11	15	16	10	15	14	15	12	11	10	14	15	17	16	20	12	11	10	11	21	7	12	14	15	12	18	19	20	12	15	15	16	18	19	20	17	14	12	5					
14	Число погашенных неиспользованных открепительных удостоверений	170	2	3	4	3	2	1	3	4	2	3	2	3	1	4	3	2	5	0	0	0	4	0	4	4	2	3	4	1	1	0	2	3	2	2	1	2	3	4	3	2	3	2	3	2	3	2	3	2	3	2	3	3	2	3	4	1	2	3	1	3	3	2	3	3	2	4	2	4	3	0					
