Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																							
Дата голосования: 02.12.2007																																																																							
																																																																							
Наименование Избирательной комиссии:    ТИК Левобережной части г.Владикавказа																																																																							
																																																																							
Сводная таблица результатов выборов																																																																							
																																																																							
		Сумма	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380					
1	"Число избирателей, внесенных в списки избирателей"	121982	753	980	609	2246	1217	1633	2718	2500	2599	825	2451	2994	2400	2436	1642	39	520	73	2882	95	2000	2300	2801	1326	2859	2554	278	1971	1574	2882	2225	1900	1603	1680	1679	1872	2436	1501	1935	1680	2181	2280	1750	2558	1376	2110	2088	1889	2491	2218	2500	2557	1507	2454	1821	2879	2845	2801	2853	1455	2020	1131	2395	1155					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	113918	680	1050	880	2299	1149	1604	2470	2596	2200	1100	2350	2600	2397	2000	1450	90	550	150	2470	100	1698	2299	2431	1210	2195	2250	280	1618	1350	2370	2550	1500	1600	1570	1390	1600	1997	1350	1710	2100	2426	2300	2145	2230	1556	2490	1870	2020	1886	2060	2468	2260	1440	2422	1530	2380	2400	2120	2190	1860	1742	1220	2250	1400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	154	0	0	0	121	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	66220	233	394	604	1790	767	953	1711	1427	934	505	1397	1534	940	1035	1021	33	347	0	1194	82	1060	1379	1262	650	1898	1316	261	1165	817	1481	1364	1170	945	1035	1101	865	1037	726	898	1068	1431	1343	1202	1328	868	1169	1367	1076	1044	1067	1209	1344	870	1380	638	1045	1060	2073	1353	944	1231	565	1512	702					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1981	60	47	5	42	15	17	28	57	27	15	14	26	20	20	14	0	0	73	53	0	67	32	76	14	53	93	0	39	19	50	43	27	28	57	33	28	42	24	39	24	60	43	35	40	18	12	18	68	19	29	28	29	30	24	16	19	23	22	24	12	21	37	7	26					
6	Число погашенных избирательных бюллетеней	45551	387	609	271	346	367	634	731	1112	1239	580	924	1040	1437	945	415	57	202	77	1223	18	571	888	1093	546	244	841	19	414	514	839	1143	303	627	478	256	707	918	600	773	1008	935	914	908	862	670	1309	467	876	823	964	1231	887	540	1007	876	1316	1317	25	813	904	490	618	731	672					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1981	60	47	5	42	15	17	28	57	27	15	14	26	20	20	14	0	0	73	53	0	67	32	76	14	53	93	0	39	19	50	43	27	28	57	33	28	42	24	39	24	60	43	35	40	18	12	18	68	19	29	28	29	30	24	16	19	23	22	24	12	21	37	7	26					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	66071	233	394	604	1790	767	936	1711	1427	934	505	1397	1534	940	1015	1021	33	347	0	1194	82	1060	1379	1262	650	1898	1316	259	1161	817	1481	1321	1170	944	1035	1101	865	1037	726	898	1068	1430	1343	1202	1328	868	1169	1367	1076	1044	1067	1209	1344	870	1369	638	1045	1037	2073	1353	917	1231	565	1512	702					
9	Число недействительных избирательных бюллетеней	2038	24	38	31	33	31	32	0	0	99	16	6	28	0	0	5	2	1	0	53	1	0	66	31	25	12	41	44	0	31	2	0	244	43	5	0	54	37	11	0	126	60	18	59	60	36	11	14	0	34	31	28	115	47	49	4	36	44	18	64	49	44	5	10	30					
10	Число действительных избирательных бюллетеней	66014	269	403	578	1799	751	921	1739	1484	862	504	1405	1532	960	1035	1030	31	346	73	1194	81	1127	1345	1307	639	1939	1368	215	1200	805	1529	1364	953	929	1087	1134	839	1042	739	937	966	1430	1368	1178	1308	850	1170	1371	1144	1029	1065	1209	1258	853	1344	650	1028	1016	2077	1313	880	1208	597	1509	698					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	6530	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	500	80	100	0	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	150	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2224	1	2	71	11	8	9	100	21	28	15	35	53	30	33	6	0	347	66	41	0	23	28	32	17	50	67	0	34	39	55	39	13	27	18	20	29	27	23	39	37	33	122	30	24	16	38	19	14	48	32	38	25	11	34	5	14	23	23	34	34	34	24	28	27					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1903	40	19	10	17	6	18	71	0	9	0	18	16	10	22	0	15	347	66	6	82	57	30	5	19	341	63	159	45	5	18	46	5	11	6	19	12	7	15	11	13	13	54	10	11	6	1	15	7	11	12	12	10	10	5	8	2	13	18	15	2	1	5	0	3					
14	Число погашенных неиспользованных открепительных удостоверений	4306	99	98	29	89	92	91	0	79	72	85	65	47	70	67	94	0	153	14	59	0	77	72	68	83	50	33	0	66	61	45	61	87	73	82	80	71	73	77	61	63	67	28	70	76	84	62	81	86	52	68	62	75	89	66	95	86	77	77	66	66	66	76	72	73					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0					
