Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																							
Дата голосования: 18.09.2016																																																							
																																																							
Наименование Избирательной комиссии:    Усманская																																																							
																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																							
																																																							
		Сумма	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	38963	2038	2400	2279	2262	2223	2088	1088	2445	496	270	506	390	631	1158	1195	292	1160	277	761	477	339	585	490	825	279	782	797	976	937	410	499	1001	1703	424	176	785	341	1257	309	238	575	305	370	124									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	33518	1645	1930	1845	1825	1815	1680	880	1975	441	265	400	330	630	930	960	292	1140	275	610	380	275	585	400	780	275	780	795	780	760	410	495	1000	1380	420	170	630	335	1255	250	235	565	295	300	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	22546	1207	1353	937	952	1152	806	404	1044	374	205	228	148	444	749	606	270	937	243	495	227	185	462	302	605	167	574	480	686	538	337	435	671	1039	352	123	184	260	1120	199	163	435	217	178	53									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4877	159	188	219	111	111	171	76	263	64	54	104	54	77	122	98	17	107	32	62	64	85	73	81	175	108	202	290	84	136	58	57	262	239	51	43	217	30	101	51	62	112	78	100	29									
6	Число погашенных избирательных бюллетеней	6095	279	389	689	762	552	703	400	668	3	6	68	128	109	59	256	5	96	0	53	89	5	50	17	0	0	4	25	10	86	15	3	67	102	17	4	229	45	34	0	10	18	0	22	18									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4877	159	188	219	111	111	171	76	263	64	54	104	54	77	122	98	17	107	32	62	64	85	73	81	175	108	202	290	84	136	58	57	262	239	51	43	217	30	101	51	62	112	78	100	29									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	22543	1207	1350	937	952	1152	806	404	1044	374	205	228	148	444	749	606	270	937	243	495	227	185	462	302	605	167	574	480	686	538	337	435	671	1039	352	123	184	260	1120	199	163	435	217	178	53									
9	Число недействительных избирательных бюллетеней	255	37	37	0	8	0	9	14	18	3	0	4	3	6	0	20	0	13	2	8	4	0	0	0	14	0	0	0	6	0	1	0	0	12	3	0	7	4	15	0	0	2	0	3	2									
10	Число действительных избирательных бюллетеней	27165	1329	1501	1156	1055	1263	968	466	1289	435	259	328	199	515	871	684	287	1031	273	549	287	270	535	383	766	275	776	770	764	674	394	492	933	1266	400	166	394	286	1206	250	225	545	295	275	80									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	372	13	13	13	13	24	13	10	10	7	7	7	12	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	12	7	7	7	7	7	7	7	7	7	7	7									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	170	13	13	13	11	24	9	7	10	0	0	1	12	1	2	1	0	8	0	3	0	0	3	0	2	1	1	3	1	4	0	2	0	12	0	0	2	1	5	0	1	3	1	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	82	9	10	0	1	3	0	0	1	1	2	12	1	2	0	1	0	0	0	0	1	2	2	0	6	3	1	1	7	0	0	1	1	3	2	0	0	4	1	1	0	2	0	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	202	0	0	0	2	0	4	3	0	7	7	6	0	6	5	6	7	0	7	4	7	7	4	7	5	6	6	4	6	3	7	5	7	0	7	7	5	6	2	7	6	4	6	7	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	32	1	6	5	3	2	4	1	3	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0									
