Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																									
Дата голосования: 18.09.2016																																																									
																																																									
Наименование Избирательной комиссии:    Трубчевская																																																									
																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																									
																																																									
		Сумма	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	27770	1339	1253	2013	1436	836	1798	1467	379	1558	1197	1373	1486	337	254	84	228	409	89	156	362	808	128	738	255	238	289	648	100	323	316	275	421	96	820	507	702	798	49	103	289	127	474	373	383	148	308									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23250	1100	1000	1600	1100	700	1400	1300	350	1200	1000	1100	1200	350	250	100	200	350	100	150	350	700	150	650	200	200	250	500	100	250	250	250	350	100	750	450	600	700	50	100	250	150	350	300	300	150	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15921	931	596	886	715	521	934	1138	285	978	532	925	1068	225	138	31	82	237	60	115	199	285	65	491	123	150	109	269	63	183	223	185	245	47	344	380	330	564	43	33	132	75	292	184	233	89	188									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2271	35	54	99	95	19	62	12	17	77	185	98	77	18	33	19	46	75	22	14	48	60	13	33	27	17	68	166	19	38	23	41	37	15	84	6	109	114	0	55	31	36	20	42	48	16	48									
6	Число погашенных избирательных бюллетеней	5058	134	350	615	290	160	404	150	48	145	283	77	55	107	79	50	72	38	18	21	103	355	72	126	50	33	73	65	18	29	4	24	68	38	322	64	161	22	7	12	87	39	38	74	19	45	14									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2271	35	54	99	95	19	62	12	17	77	185	98	77	18	33	19	46	75	22	14	48	60	13	33	27	17	68	166	19	38	23	41	37	15	84	6	109	114	0	55	31	36	20	42	48	16	48									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15919	931	596	886	715	521	934	1138	285	978	532	925	1068	225	138	31	82	237	60	115	197	285	65	491	123	150	109	269	63	183	223	185	245	47	344	380	330	564	43	33	132	75	292	184	233	89	188									
9	Число недействительных избирательных бюллетеней	183	5	8	9	9	2	10	8	0	7	2	16	8	1	2	1	3	5	1	2	3	4	0	8	6	5	0	14	0	2	2	0	4	1	5	5	5	7	0	0	0	0	4	1	6	0	2									
10	Число действительных избирательных бюллетеней	18007	961	642	976	801	538	986	1142	302	1048	715	1007	1137	242	169	49	125	307	81	127	242	341	78	516	144	162	177	421	82	219	244	226	278	61	423	381	434	671	43	88	163	111	308	225	275	105	234									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	205	8	10	20	10	5	10	10	5	15	15	15	15	5	0	0	0	5	0	0	0	5	0	0	0	0	0	10	0	5	5	0	5	0	5	5	5	5	0	0	0	2	5	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	205	8	10	20	10	5	10	10	5	15	15	15	15	5	0	0	0	5	0	0	0	5	0	0	0	0	0	10	0	5	5	0	5	0	5	5	5	5	0	0	0	2	5	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	154	12	6	8	15	5	6	7	3	8	1	3	2	2	1	5	3	1	6	2	2	1	1	4	2	0	2	3	2	1	1	4	2	2	4	2	1	1	4	5	1	4	2	2	1	1	3									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	145	15	5	26	13	2	14	11	4	7	2	2	2	0	1	0	3	1	0	0	1	2	4	2	0	0	2	1	0	0	1	0	0	2	6	4	2	1	0	0	0	3	3	1	0	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	193	6	9	11	6	3	15	11	0	10	12	10	23	0	3	1	1	1	0	0	6	9	1	13	6	2	0	3	0	0	2	0	1	0	7	3	1	2	0	0	1	1	8	0	2	2	1									
		1.06%	0.62%	1.38%	1.12%	0.74%	0.56%	1.51%	0.96%	0.00%	0.95%	1.67%	0.98%	2.01%	0.00%	1.75%	2.00%	0.78%	0.32%	0.00%	0.00%	2.45%	2.61%	1.28%	2.48%	4.00%	1.20%	0.00%	0.69%	0.00%	0.00%	0.81%	0.00%	0.35%	0.00%	1.64%	0.78%	0.23%	0.29%	0.00%	0.00%	0.61%	0.90%	2.56%	0.00%	0.71%	1.90%	0.42%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	383	6	5	37	27	1	27	17	0	21	18	29	15	8	4	4	4	8	4	5	5	9	3	8	2	3	1	12	0	10	5	2	9	1	8	9	11	4	0	1	8	1	5	5	11	3	7									
