Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																				
Дата голосования: 18.09.2016																																																																				
																																																																				
Наименование Избирательной комиссии:    Алексинская																																																																				
																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																				
																																																																				
		Сумма	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	59523	937	1670	1027	1145	917	975	1341	1148	1513	1164	1719	1155	1214	871	948	1389	1180	1225	1140	798	1155	1436	1208	1336	1384	1295	1094	1107	1601	1650	1490	1454	1116	1388	945	1565	1324	1463	1321	1202	648	393	448	728	237	446	250	365	338	577	696	704	364	302	270	1433	1314									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	54090	900	1500	1000	1000	900	900	1200	1000	1500	1000	1500	1000	1000	800	900	1200	1000	1000	1000	750	1000	1300	1000	1200	1200	1000	1000	1000	1500	1500	1300	1300	1000	1300	900	1500	1200	1300	1200	1000	650	400	450	700	240	440	220	350	340	580	680	670	370	270	280	1400	1300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	30879	542	668	546	522	334	412	619	587	674	622	1041	562	525	382	398	613	452	638	522	430	661	713	575	971	681	584	483	471	750	777	873	812	494	702	466	781	515	640	791	739	320	274	270	498	145	263	192	263	248	330	510	418	237	210	158	1057	918									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2133	18	26	23	10	11	12	13	16	26	16	73	9	20	39	18	29	13	6	6	24	15	9	16	9	42	16	16	43	9	22	18	99	78	9	12	65	12	13	15	9	54	57	44	98	54	87	28	62	30	125	76	127	70	60	62	69	95									
6	Число погашенных избирательных бюллетеней	21078	340	806	431	468	555	476	568	397	800	362	386	429	455	379	484	558	535	356	472	296	324	578	409	220	477	400	501	486	741	701	409	389	428	589	422	654	673	647	394	252	276	69	136	104	41	90	0	25	62	125	94	125	63	0	60	274	287									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2133	18	26	23	10	11	12	13	16	26	16	73	9	20	39	18	29	13	6	6	24	15	9	16	9	42	16	16	43	9	22	18	99	78	9	12	65	12	13	15	9	54	57	44	98	54	87	28	62	30	125	76	127	70	60	62	69	95									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	30874	542	668	546	522	334	412	619	587	674	619	1041	562	525	382	398	613	452	638	522	430	661	711	575	971	681	584	483	471	750	777	873	812	494	702	466	781	515	640	791	739	320	274	270	498	145	263	192	263	248	330	510	418	237	210	158	1057	918									
9	Число недействительных избирательных бюллетеней	610	8	18	11	15	0	4	6	10	32	23	20	8	15	4	18	5	6	18	18	0	26	32	2	31	8	16	38	2	15	13	12	9	14	14	11	18	10	21	20	7	10	2	0	5	0	0	2	0	1	0	5	4	1	0	3	12	7									
10	Число действительных избирательных бюллетеней	32397	552	676	558	517	345	420	626	593	668	612	1094	563	530	417	398	637	459	626	510	454	650	688	589	949	715	584	461	512	744	786	879	902	558	697	467	828	517	632	786	741	364	329	314	591	199	350	218	325	277	455	581	541	306	270	217	1114	1006									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	831	10	10	10	15	10	10	15	26	20	10	20	20	22	16	25	10	10	18	20	10	10	25	15	25	15	15	15	25	25	20	25	16	15	25	19	13	10	23	20	10	10	10	10	10	8	10	5	10	5	5	5	5	5	5	5	25	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	831	10	10	10	15	10	10	15	26	20	10	20	20	22	16	25	10	10	18	20	10	10	25	15	25	15	15	15	25	25	20	25	16	15	25	19	13	10	23	20	10	10	10	10	10	8	10	5	10	5	5	5	5	5	5	5	25	25									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	571	11	5	6	1	11	2	13	12	9	14	16	7	9	10	22	8	16	8	10	15	10	11	6	9	15	11	14	15	12	35	5	15	8	10	11	12	8	10	9	0	4	2	4	7	2	4	30	4	2	3	2	4	4	22	5	23	18									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	169	2	0	2	3	5	1	5	8	6	3	6	2	4	4	2	6	4	2	1	1	2	4	5	1	9	0	8	3	5	6	6	5	2	10	5	4	5	4	3	1	1	0	3	1	1	2	0	1	0	1	0	1	0	0	0	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	530	12	12	10	6	11	4	42	10	14	6	23	0	6	6	8	8	17	18	17	6	13	13	8	9	15	17	7	18	10	8	9	8	13	11	5	15	9	11	9	4	6	6	5	4	0	4	5	0	4	3	8	11	2	1	1	10	12									
		1.61%	2.14%	1.73%	1.76%	1.13%	3.19%	0.94%	6.65%	1.66%	2.00%	0.94%	2.06%	0.00%	1.10%	1.43%	1.92%	1.25%	3.66%	2.80%	3.22%	1.32%	1.92%	1.81%	1.35%	0.92%	2.07%	2.83%	1.40%	3.50%	1.32%	1.00%	1.01%	0.88%	2.27%	1.55%	1.05%	1.77%	1.71%	1.68%	1.12%	0.53%	1.60%	1.81%	1.59%	0.67%	0.00%	1.14%	2.27%	0.00%	1.44%	0.66%	1.37%	2.02%	0.65%	0.37%	0.45%	0.89%	1.18%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	781	14	25	20	19	10	19	26	16	18	10	21	11	15	10	12	0	17	23	13	11	25	27	20	18	21	20	19	19	9	2	11	19	27	13	19	15	15	14	12	7	7	14	2	7	6	6	3	0	6	5	13	8	5	4	5	33	15									
		2.37%	2.50%	3.60%	3.51%	3.57%	2.90%	4.48%	4.11%	2.65%	2.57%	1.57%	1.89%	1.93%	2.75%	2.38%	2.88%	0.00%	3.66%	3.57%	2.46%	2.42%	3.70%	3.75%	3.38%	1.84%	2.90%	3.33%	3.81%	3.70%	1.19%	0.25%	1.23%	2.09%	4.72%	1.83%	3.97%	1.77%	2.85%	2.14%	1.49%	0.94%	1.87%	4.23%	0.64%	1.17%	3.02%	1.71%	1.36%	0.00%	2.16%	1.10%	2.22%	1.47%	1.63%	1.48%	2.27%	2.93%	1.48%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	779	12	27	13	22	6	9	21	8	23	13	31	10	21	17	21	5	6	18	15	10	20	30	13	23	25	15	16	16	13	3	9	23	8	15	15	31	15	27	17	8	5	11	3	17	4	4	6	1	4	6	13	8	3	1	8	13	22									
		2.36%	2.14%	3.89%	2.28%	4.14%	1.74%	2.12%	3.32%	1.33%	3.29%	2.05%	2.78%	1.75%	3.85%	4.04%	5.05%	0.78%	1.29%	2.80%	2.84%	2.20%	2.96%	4.17%	2.20%	2.35%	3.46%	2.50%	3.21%	3.11%	1.71%	0.38%	1.01%	2.52%	1.40%	2.11%	3.14%	3.66%	2.85%	4.13%	2.11%	1.07%	1.34%	3.32%	0.96%	2.85%	2.01%	1.14%	2.73%	0.31%	1.44%	1.32%	2.22%	1.47%	0.98%	0.37%	3.64%	1.15%	2.17%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	18714	293	288	279	250	186	212	319	354	351	333	707	297	249	184	171	355	241	325	282	332	234	300	227	587	360	240	179	262	430	494	538	603	342	406	237	425	218	292	513	564	222	204	221	420	156	248	158	247	188	299	379	388	230	219	165	819	692									
		56.70%	52.32%	41.50%	49.03%	46.99%	53.91%	50.00%	50.47%	58.71%	50.14%	52.44%	63.46%	52.01%	45.69%	43.71%	41.11%	55.30%	51.83%	50.47%	53.41%	73.13%	34.62%	41.67%	38.41%	59.90%	49.79%	40.00%	35.87%	50.97%	56.65%	61.83%	60.38%	66.19%	59.79%	57.10%	49.58%	50.24%	41.37%	44.72%	63.65%	75.40%	59.36%	61.63%	70.38%	70.47%	78.39%	70.86%	71.82%	76.00%	67.63%	65.71%	64.68%	71.19%	74.92%	81.11%	75.00%	72.74%	68.31%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	217	4	8	5	6	2	6	6	3	5	4	3	3	7	1	2	0	3	6	4	3	11	4	8	5	8	9	1	2	3	1	1	5	2	5	4	15	6	8	2	4	0	4	6	2	0	1	1	0	1	2	3	2	0	2	1	3	4									
		0.66%	0.71%	1.15%	0.88%	1.13%	0.58%	1.42%	0.95%	0.50%	0.71%	0.63%	0.27%	0.53%	1.28%	0.24%	0.48%	0.00%	0.65%	0.93%	0.76%	0.66%	1.63%	0.56%	1.35%	0.51%	1.11%	1.50%	0.20%	0.39%	0.40%	0.13%	0.11%	0.55%	0.35%	0.70%	0.84%	1.77%	1.14%	1.23%	0.25%	0.53%	0.00%	1.21%	1.91%	0.34%	0.00%	0.29%	0.45%	0.00%	0.36%	0.44%	0.51%	0.37%	0.00%	0.74%	0.45%	0.27%	0.39%									
24	"6. Политическая партия ""Гражданская Платформа"""	50	1	0	1	4	0	0	9	0	2	0	2	0	1	0	0	0	1	1	0	0	5	1	0	2	1	0	0	1	3	0	1	1	0	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	1	2	1									
		0.15%	0.18%	0.00%	0.18%	0.75%	0.00%	0.00%	1.42%	0.00%	0.29%	0.00%	0.18%	0.00%	0.18%	0.00%	0.00%	0.00%	0.22%	0.16%	0.00%	0.00%	0.74%	0.14%	0.00%	0.20%	0.14%	0.00%	0.00%	0.19%	0.40%	0.00%	0.11%	0.11%	0.00%	0.14%	0.21%	0.12%	0.19%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.18%	0.33%	0.00%	0.45%	0.18%	0.10%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4238	70	118	71	67	37	33	37	78	105	71	127	74	64	66	79	123	68	70	58	43	150	121	115	117	107	97	89	76	110	102	103	122	73	88	81	110	88	108	89	78	57	52	31	48	19	40	11	28	25	57	69	64	26	22	16	83	107									
		12.84%	12.50%	17.00%	12.48%	12.59%	10.72%	7.78%	5.85%	12.94%	15.00%	11.18%	11.40%	12.96%	11.74%	15.68%	18.99%	19.16%	14.62%	10.87%	10.98%	9.47%	22.19%	16.81%	19.46%	11.94%	14.80%	16.17%	17.84%	14.79%	14.49%	12.77%	11.56%	13.39%	12.76%	12.38%	16.95%	13.00%	16.70%	16.54%	11.04%	10.43%	15.24%	15.71%	9.87%	8.05%	9.55%	11.43%	5.00%	8.62%	8.99%	12.53%	11.77%	11.74%	8.47%	8.15%	7.27%	7.37%	10.56%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	158	1	3	5	6	0	0	8	4	1	1	7	0	8	1	2	0	2	2	4	1	9	3	2	4	12	9	7	2	11	0	2	3	4	2	4	1	0	5	1	2	0	1	1	1	0	0	0	0	1	0	5	1	0	0	0	7	2									
		0.48%	0.18%	0.43%	0.88%	1.13%	0.00%	0.00%	1.27%	0.66%	0.14%	0.16%	0.63%	0.00%	1.47%	0.24%	0.48%	0.00%	0.43%	0.31%	0.76%	0.22%	1.33%	0.42%	0.34%	0.41%	1.66%	1.50%	1.40%	0.39%	1.45%	0.00%	0.22%	0.33%	0.70%	0.28%	0.84%	0.12%	0.00%	0.77%	0.12%	0.27%	0.00%	0.30%	0.32%	0.17%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.85%	0.18%	0.00%	0.00%	0.00%	0.62%	0.20%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	197	1	5	3	4	0	3	7	7	1	4	4	3	4	5	6	3	1	7	4	1	11	3	2	3	6	4	2	1	4	0	4	9	2	6	2	8	7	6	6	3	3	0	1	2	0	1	1	3	0	7	3	4	1	0	2	6	1									
		0.60%	0.18%	0.72%	0.53%	0.75%	0.00%	0.71%	1.11%	1.16%	0.14%	0.63%	0.36%	0.53%	0.73%	1.19%	1.44%	0.47%	0.22%	1.09%	0.76%	0.22%	1.63%	0.42%	0.34%	0.31%	0.83%	0.67%	0.40%	0.19%	0.53%	0.00%	0.45%	0.99%	0.35%	0.84%	0.42%	0.95%	1.33%	0.92%	0.74%	0.40%	0.80%	0.00%	0.32%	0.34%	0.00%	0.29%	0.45%	0.92%	0.00%	1.54%	0.51%	0.73%	0.33%	0.00%	0.91%	0.53%	0.10%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	42	0	1	0	0	0	1	11	0	1	1	3	0	0	0	0	0	1	0	0	0	4	6	1	0	0	0	0	0	0	0	2	0	0	0	2	0	1	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2									
		0.13%	0.00%	0.14%	0.00%	0.00%	0.00%	0.24%	1.74%	0.00%	0.14%	0.16%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.59%	0.83%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.42%	0.00%	0.19%	0.15%	0.00%	0.13%	0.27%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	375	4	11	8	11	5	3	28	9	7	5	18	3	17	9	3	0	3	9	5	1	7	9	6	8	7	14	11	4	8	2	7	6	2	9	5	22	9	2	10	2	4	2	4	10	0	6	7	0	3	4	0	5	6	2	1	6	6									
		1.14%	0.71%	1.59%	1.41%	2.07%	1.45%	0.71%	4.43%	1.49%	1.00%	0.79%	1.62%	0.53%	3.12%	2.14%	0.72%	0.00%	0.65%	1.40%	0.95%	0.22%	1.04%	1.25%	1.02%	0.82%	0.97%	2.33%	2.20%	0.78%	1.05%	0.25%	0.79%	0.66%	0.35%	1.27%	1.05%	2.60%	1.71%	0.31%	1.24%	0.27%	1.07%	0.60%	1.27%	1.68%	0.00%	1.71%	3.18%	0.00%	1.08%	0.88%	0.00%	0.92%	1.95%	0.74%	0.45%	0.53%	0.59%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4957	102	127	104	95	67	100	77	72	102	139	105	136	104	96	71	129	79	107	80	34	125	138	155	121	112	121	102	87	135	162	165	82	67	115	75	140	125	121	90	55	50	31	31	65	12	38	14	43	43	58	70	37	27	18	10	85	106									
