Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																										
Дата голосования: 02.12.2007																																																																										
																																																																										
Наименование Избирательной комиссии:    Новочеркасская городская																																																																										
																																																																										
Сводная таблица результатов выборов																																																																										
																																																																										
		Сумма	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №2487	УИК №2488					
1	"Число избирателей, внесенных в списки избирателей"	141384	2975	2797	1863	2006	1616	523	2221	2530	2419	1618	1632	1582	2770	1540	3045	2536	2187	1706	2681	1688	2125	2154	2446	2261	1240	2081	2246	2677	1234	2232	2832	1835	2457	1399	1070	405	2810	2758	2833	2860	2257	1654	1752	1926	1973	1873	2331	2413	2297	2573	1658	1586	2396	2054	2609	1680	955	1266	2051	2852	2684	2332	2880	2852	2647	2343	1600					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	124800	2600	2400	1600	1800	1400	500	1900	2300	2100	1400	1400	1400	2400	1400	2600	2100	1900	1500	2300	1400	1800	1900	2400	2000	1100	1800	2000	2300	1100	1800	2500	1500	2200	1200	900	350	2400	2500	2500	2600	2000	1500	1600	1700	1700	1700	2100	2200	2000	2300	1500	1400	2100	1800	2300	1500	850	1100	1800	2600	2600	2100	2600	2500	2400	2000	1600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	80120	1690	1645	1062	1118	878	287	1297	1508	1416	885	809	898	1405	827	2229	1385	1185	900	1253	823	1203	1052	1298	1056	617	1088	1001	1357	698	1201	1542	875	1144	764	572	312	1754	1805	1569	1655	1218	1082	1118	1195	1161	1250	1218	1401	1319	1461	975	951	1275	1274	1434	882	406	634	1192	1604	1109	1462	1814	1683	1589	1750	1600					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3186	21	101	24	28	28	0	28	46	41	17	51	35	68	44	49	110	28	31	34	245	53	48	46	74	31	30	49	42	28	4	57	141	87	29	22	5	48	53	30	36	35	43	24	48	15	53	32	20	20	42	31	27	50	25	58	27	23	39	28	38	341	57	43	86	30	9	0					
6	Число погашенных избирательных бюллетеней	41494	889	654	514	654	494	213	575	746	643	498	540	467	927	529	322	605	687	569	1013	332	544	800	1056	870	452	682	950	901	374	595	901	484	969	407	306	33	598	642	901	909	747	375	458	457	524	397	850	779	661	797	494	422	775	501	808	591	421	427	580	958	1150	581	743	731	781	241	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3186	21	101	24	28	28	0	28	46	41	17	51	35	68	44	49	110	28	31	34	245	53	48	46	74	31	30	49	42	28	4	57	141	87	29	22	5	48	53	30	36	35	43	24	48	15	53	32	20	20	42	31	27	50	25	58	27	23	39	28	38	341	57	43	86	30	9	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	80048	1689	1640	1062	1118	878	287	1294	1508	1416	885	809	898	1403	827	2227	1381	1185	900	1252	823	1203	1052	1298	1055	617	1088	999	1357	695	1201	1542	875	1142	764	572	312	1754	1803	1567	1654	1214	1080	1118	1195	1158	1250	1215	1396	1319	1461	974	951	1275	1271	1433	882	405	634	1192	1604	1109	1462	1814	1683	1572	1749	1600					
9	Число недействительных избирательных бюллетеней	842	21	18	7	14	12	1	17	15	15	5	5	9	10	5	31	15	17	6	14	14	13	11	17	9	4	11	9	12	13	14	16	20	8	10	6	5	20	18	23	11	16	13	5	14	8	10	15	14	10	11	5	14	13	11	14	10	3	5	5	18	23	14	13	37	29	9	2					
10	Число действительных избирательных бюллетеней	82392	1689	1723	1079	1132	894	286	1305	1539	1442	897	855	924	1461	866	2245	1476	1196	925	1272	1054	1243	1089	1327	1120	644	1107	1039	1387	710	1191	1583	996	1221	783	588	312	1782	1838	1574	1679	1233	1110	1137	1229	1165	1293	1232	1402	1329	1492	1000	964	1312	1285	1477	899	425	668	1215	1624	1427	1505	1844	1732	1573	1749	1598					
