Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																											
Дата голосования: 04.12.2011																																																																											
																																																																											
Наименование Избирательной комиссии:    Новочеркасская городская																																																																											
																																																																											
Сводная таблица результатов выборов																																																																											
																																																																											
		Сумма	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №2485	УИК №2487	УИК №2488					
1	"Число избирателей, внесенных в список избирателей"	137375	2850	2773	2462	1925	1551	502	2019	2404	2287	1702	1587	1518	2851	1203	1825	2541	2402	1637	2854	1745	1742	2145	2341	2439	1303	2141	2290	2219	1169	2550	2003	1880	2500	2288	1100	406	2789	2716	2691	2840	1781	1561	1621	1840	1989	1851	2652	2306	2193	2450	1639	1502	2347	1906	2586	1743	938	1669	1412	2738	1782	2205	2707	2839	2511	672	2396	1349					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	121000	2500	2400	2200	1700	1400	450	1800	2150	2050	1500	1400	1350	2450	1050	1300	2200	2150	1450	2450	1400	1550	1800	2100	2050	1100	1950	2050	1900	1000	2100	1800	1500	2250	2000	950	350	2500	2450	2450	2550	1600	1400	1450	1650	1750	1550	2400	2050	1950	2200	1450	1350	2100	1700	2300	1550	800	1500	1250	2450	1550	2000	2400	2450	2250	650	2000	1500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	74937	1512	1560	1367	1048	872	236	1140	1422	1325	996	817	899	1393	564	942	1403	1278	793	1631	775	832	939	1272	914	652	1024	997	1109	660	1913	1091	885	1170	1266	541	249	1578	1643	1531	1607	946	940	1009	1096	1139	1174	1328	1233	1175	1333	913	868	1198	1132	1365	771	311	803	777	1535	841	1269	1656	1467	1412	389	1687	1324					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2832	82	129	47	29	25	2	27	34	41	8	34	19	65	55	27	112	30	14	25	133	57	65	39	172	24	30	45	30	13	5	25	116	55	59	19	5	34	62	18	35	36	37	19	42	31	48	35	33	30	23	19	15	41	22	43	16	12	35	17	31	17	42	39	95	28	173	7	0					
6	Число погашенных избирательных бюллетеней	43231	906	711	786	623	503	212	633	694	684	496	549	432	992	431	331	685	842	643	794	492	661	796	789	964	424	896	1008	761	327	182	684	499	1025	675	390	96	888	745	901	908	618	423	422	512	580	328	1037	784	745	844	518	467	861	546	892	763	477	662	456	884	692	689	705	888	810	88	306	176					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2830	82	129	47	29	25	2	27	34	41	8	34	19	64	55	27	112	30	14	25	132	57	65	39	172	24	30	45	30	13	5	25	116	55	59	19	5	34	62	18	35	36	37	19	42	31	48	35	33	30	23	19	15	41	22	43	16	12	35	17	31	17	42	39	95	28	173	7	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	74893	1511	1560	1361	1048	872	236	1139	1422	1324	996	817	899	1390	564	940	1402	1278	792	1631	774	832	939	1272	914	652	1024	997	1109	660	1911	1091	885	1168	1266	541	249	1578	1643	1531	1597	946	939	1009	1096	1137	1172	1328	1233	1175	1332	913	868	1198	1130	1364	771	311	803	775	1535	841	1269	1656	1467	1412	389	1685	1324					
9	Число недействительных избирательных бюллетеней	1114	19	22	11	11	21	1	15	17	19	9	15	7	24	6	17	20	18	14	35	12	9	9	15	18	5	23	13	6	13	40	16	14	26	15	10	4	26	19	25	21	15	26	23	18	19	15	14	14	11	8	11	7	25	12	22	14	3	17	14	21	9	21	25	16	21	9	21	43					
10	Число действительных избирательных бюллетеней	76609	1574	1667	1397	1066	876	237	1151	1439	1346	995	836	911	1430	613	950	1494	1290	792	1621	894	880	995	1296	1068	671	1031	1029	1133	660	1876	1100	987	1197	1310	550	250	1586	1686	1524	1611	967	950	1005	1120	1149	1205	1349	1252	1194	1347	921	876	1214	1140	1385	773	320	821	778	1545	849	1290	1670	1546	1419	553	1671	1281					
