Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва													
Дата голосования: 18.09.2016													
													
Наименование Избирательной комиссии:    Молжаниновский район													
													
Сводная таблица итогов голосования по федеральному избирательному округу													
													
		Сумма	УИК №389	УИК №3416									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	4565	2201	2364									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3200	1600	1600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1430	632	798									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	101	63	38									
6	Число погашенных избирательных бюллетеней	1669	905	764									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	101	63	38									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1425	630	795									
9	Число недействительных избирательных бюллетеней	29	17	12									
10	Число действительных избирательных бюллетеней	1497	676	821									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	60	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	43	24	19									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	106	75	31									
14	Число погашенных неиспользованных открепительных удостоверений	17	6	11									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	3	3									
16	Число утраченных открепительных удостоверений	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0									
													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	49	27	22									
		3.21%	3.90%	2.64%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	32	10	22									
		2.10%	1.44%	2.64%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	45	19	26									
		2.95%	2.74%	3.12%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	669	307	362									
		43.84%	44.30%	43.46%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	20	10	10									
		1.31%	1.44%	1.20%									
24	"6. Политическая партия ""Гражданская Платформа"""	4	1	3									
		0.26%	0.14%	0.36%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	262	126	136									
		17.17%	18.18%	16.33%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	28	11	17									
		1.83%	1.59%	2.04%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	34	16	18									
		2.23%	2.31%	2.16%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	2	1	1									
		0.13%	0.14%	0.12%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	53	21	32									
		3.47%	3.03%	3.84%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	208	79	129									
		13.63%	11.40%	15.49%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	18	6	12									
		1.18%	0.87%	1.44%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	73	42	31									
		4.78%	6.06%	3.72%									
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
