Выборы Президента Российской Федерации																																																																																				
																																																																																				
"Наименование Избирательной комиссии:    Уфа, Советская"																																																																																				
																																																																																				
Итоги голосования 																																																																																				
																																																																																				
		Сумма	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413					
1	"Число избирателей, внесенных в список"	133890	1184	1342	1687	1330	1336	2244	2129	957	2352	898	2164	2072	2451	2654	1250	1252	1875	1293	2106	1813	2817	1664	2787	3168	1872	1215	3137	2804	1268	2669	1068	1501	2061	750	947	901	2155	2227	1457	2705	2318	1270	2292	2007	377	2233	1326	1387	2430	2158	728	1044	2474	1037	455	1440	2954	868	1422	1118	2883	2951	2453	1726	2065	2185	1720	1571	2576	1770	2128	3103	115	119	127	186	1312					
2	Число полученных избирательных бюллетеней	123375	1034	1309	1551	1197	1237	2080	1954	1046	2125	829	1979	1831	2236	2493	1128	1070	1818	1195	1904	1676	2557	1464	2556	3164	1662	1111	3071	2597	1163	2426	935	1379	1865	710	870	806	1888	1974	1314	2525	2176	1195	2163	1876	433	2039	1221	1279	2178	1959	638	955	2235	961	407	1287	2665	786	1306	1026	2626	2907	2263	1518	1962	1984	1707	1407	2366	1601	1925	2638	120	120	127	190	1400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	112683	993	1209	1411	1165	1066	2012	1892	928	2052	808	1897	1323	2109	2360	695	958	1740	1009	1868	1519	2404	1438	2489	3000	1515	1068	3028	2539	1087	2262	784	1310	1721	599	841	755	1790	1954	1242	2448	2101	1165	1998	1580	337	1309	1139	1116	1765	1928	603	905	2177	855	379	1224	2568	718	1222	874	2242	2770	2167	1376	1702	1778	1207	1366	2073	1123	1754	2538	102	119	81	186	848					
5	"Число избирательных бюллетеней, выданных вне помещения"	3158	41	14	23	16	70	47	32	29	44	25	57	49	17	108	2	25	36	29	36	14	105	5	47	12	18	38	16	26	8	67	12	43	52	21	19	38	42	4	34	57	3	18	23	68	9	59	28	21	57	25	35	38	52	37	22	52	48	23	58	23	38	37	27	43	70	54	37	41	107	42	24	38	13	0	46	0	464					
6	Число погашенных избирательных бюллетеней	7589	0	86	122	6	101	21	30	89	29	84	25	459	110	25	431	87	42	157	0	143	48	21	20	152	129	5	27	32	68	97	139	26	92	90	10	13	56	16	38	20	72	12	142	228	87	671	54	142	356	6	0	12	6	69	6	11	49	45	26	129	346	100	69	99	190	152	463	0	186	436	147	34	5	1	0	4	88					
7	Число избирательных бюллетеней в переносных ящиках	3153	41	14	23	16	70	47	32	29	39	25	57	49	17	108	2	25	36	29	36	14	105	5	47	12	18	38	16	26	8	67	12	43	52	21	19	38	42	4	34	57	3	18	23	68	9	59	28	21	57	25	35	38	52	37	22	52	48	23	58	23	38	37	27	43	70	54	37	41	107	42	24	38	13	0	46	0	464					
8	Число бюллетеней в стационарных ящиках для голосования	112623	993	1209	1411	1165	1066	2012	1892	928	2028	783	1894	1323	2109	2360	695	958	1740	1009	1868	1519	2404	1438	2489	3000	1515	1068	3028	2539	1087	2262	784	1310	1721	599	841	755	1790	1954	1242	2448	2101	1165	1998	1580	337	1309	1139	1116	1765	1928	603	905	2177	855	379	1224	2568	711	1222	874	2242	2770	2167	1376	1702	1778	1207	1366	2073	1123	1753	2538	102	119	81	186	848					
9	Число недействительных избирательных бюллетеней	1137	0	2	8	4	9	0	4	11	5	0	15	22	1	3	4	2	5	45	5	10	9	9	11	14	191	5	15	10	5	7	1	4	15	0	3	2	13	0	0	43	1	2	21	6	7	19	3	28	6	7	4	30	29	0	1	0	30	5	6	0	1	18	10	13	54	274	4	0	9	0	3	0	3	12	0	3	16					
10	Число действительных избирательных бюллетеней	114639	1034	1221	1426	1177	1127	2059	1920	946	2062	808	1936	1350	2125	2465	693	981	1771	993	1899	1523	2500	1434	2525	2998	1342	1101	3029	2555	1090	2322	795	1349	1758	620	857	791	1819	1958	1276	2462	2103	1181	2000	1642	339	1349	1164	1109	1816	1946	634	913	2200	892	400	1276	2586	729	1274	897	2279	2789	2184	1406	1718	1558	1240	1407	2171	1165	1774	2576	112	107	127	183	1296					
